  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA-0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.030 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.7153   0.22047   0.20925   0.0364   1.0000   0.1496
 -14.900  -0.7135   0.21850   0.20728   0.0358   1.0000   0.1496
 -14.800  -0.7115   0.21644   0.20523   0.0351   1.0000   0.1496
 -14.700  -0.7095   0.21430   0.20309   0.0345   1.0000   0.1496
 -14.600  -0.7074   0.21207   0.20086   0.0339   1.0000   0.1496
 -14.550  -0.7063   0.21092   0.19972   0.0336   1.0000   0.1496
 -14.400  -0.7029   0.20737   0.19617   0.0327   1.0000   0.1496
 -14.250  -0.6993   0.20363   0.19244   0.0318   1.0000   0.1495
 -14.100  -0.6953   0.19954   0.18835   0.0310   1.0000   0.1493
 -13.950  -0.6627   0.17363   0.16219   0.0303   1.0000   0.0833
 -13.800  -0.6634   0.17060   0.15917   0.0288   1.0000   0.0813
 -13.650  -0.6654   0.16744   0.15601   0.0268   1.0000   0.0794
 -13.500  -0.6765   0.16481   0.15331   0.0216   1.0000   0.0745
 -13.350  -0.6754   0.16155   0.15006   0.0205   1.0000   0.0746
 -13.200  -0.6753   0.15836   0.14687   0.0191   1.0000   0.0748
 -12.600  -0.6531   0.14895   0.13759   0.0206   1.0000   0.0887
 -12.450  -0.6546   0.14695   0.13562   0.0189   1.0000   0.0928
 -12.300  -0.6574   0.14531   0.13400   0.0165   1.0000   0.0966
 -12.150  -0.6614   0.14462   0.13335   0.0139   1.0000   0.0994
 -12.000  -0.6310   0.14728   0.13624   0.0257   1.0000   0.1698
 -11.850  -0.6520   0.14461   0.13350   0.0189   1.0000   0.1450
 -11.700  -0.6493   0.14147   0.13038   0.0182   1.0000   0.1443
 -11.550  -0.6438   0.13798   0.12689   0.0180   1.0000   0.1420
 -11.400  -0.6405   0.13488   0.12380   0.0174   1.0000   0.1400
 -11.250  -0.6382   0.13193   0.12087   0.0167   1.0000   0.1382
 -11.100  -0.6367   0.12904   0.11799   0.0159   1.0000   0.1365
 -10.950  -0.6357   0.12615   0.11513   0.0149   1.0000   0.1348
 -10.800  -0.6353   0.12326   0.11225   0.0139   1.0000   0.1333
 -10.650  -0.6355   0.12034   0.10935   0.0128   1.0000   0.1318
 -10.500  -0.6362   0.11737   0.10640   0.0116   1.0000   0.1304
 -10.350  -0.6375   0.11434   0.10340   0.0103   1.0000   0.1290
 -10.200  -0.6390   0.11126   0.10034   0.0089   1.0000   0.1277
 -10.050  -0.6412   0.10809   0.09721   0.0075   1.0000   0.1265
  -9.900  -0.6441   0.10483   0.09397   0.0059   1.0000   0.1253
  -9.750  -0.6479   0.10143   0.09060   0.0042   1.0000   0.1242
  -9.600  -0.6527   0.09783   0.08703   0.0021   1.0000   0.1231
  -9.450  -0.6589   0.09391   0.08314  -0.0003   1.0000   0.1220
  -9.300  -0.6671   0.08960   0.07884  -0.0033   1.0000   0.1209
  -9.150  -0.6778   0.08543   0.07466  -0.0061   1.0000   0.1198
  -9.000  -0.6898   0.08157   0.07079  -0.0081   1.0000   0.1189
  -8.850  -0.7019   0.07803   0.06721  -0.0094   1.0000   0.1181
  -8.700  -0.7120   0.07453   0.06364  -0.0106   1.0000   0.1173
  -8.550  -0.7205   0.07120   0.06020  -0.0114   1.0000   0.1167
  -8.400  -0.7257   0.06812   0.05701  -0.0119   1.0000   0.1163
  -8.250  -0.7291   0.06519   0.05393  -0.0121   1.0000   0.1160
  -8.100  -0.7305   0.06239   0.05098  -0.0121   1.0000   0.1158
  -7.950  -0.7300   0.05971   0.04813  -0.0120   1.0000   0.1157
  -7.800  -0.7277   0.05717   0.04541  -0.0118   1.0000   0.1158
  -7.650  -0.7238   0.05476   0.04281  -0.0115   1.0000   0.1160
  -7.500  -0.7185   0.05248   0.04033  -0.0111   1.0000   0.1165
  -7.350  -0.7117   0.05031   0.03796  -0.0107   1.0000   0.1171
  -7.200  -0.7037   0.04826   0.03571  -0.0103   1.0000   0.1180
  -7.050  -0.6945   0.04634   0.03358  -0.0099   1.0000   0.1191
  -6.900  -0.6842   0.04452   0.03155  -0.0095   1.0000   0.1205
  -6.750  -0.6727   0.04280   0.02963  -0.0091   1.0000   0.1224
  -6.600  -0.6602   0.04118   0.02780  -0.0087   1.0000   0.1248
  -6.450  -0.6467   0.03964   0.02606  -0.0084   1.0000   0.1278
  -6.300  -0.6321   0.03816   0.02437  -0.0081   1.0000   0.1318
  -6.150  -0.6168   0.03676   0.02274  -0.0079   1.0000   0.1368
  -6.000  -0.6011   0.03543   0.02118  -0.0076   1.0000   0.1431
  -5.850  -0.5853   0.03419   0.01976  -0.0073   1.0000   0.1505
  -5.700  -0.5733   0.03241   0.01824  -0.0068   1.0000   0.1655
  -5.550  -0.5635   0.03144   0.01737  -0.0060   1.0000   0.1901
  -5.400  -0.5570   0.03028   0.01671  -0.0047   1.0000   0.2233
  -5.250  -0.5516   0.02925   0.01620  -0.0031   1.0000   0.2673
  -5.100  -0.5463   0.02816   0.01567  -0.0009   1.0000   0.3264
  -4.950  -0.5417   0.02773   0.01555   0.0016   1.0000   0.3899
  -4.800  -0.5350   0.02723   0.01569   0.0047   1.0000   0.4498
  -4.650  -0.5286   0.02703   0.01542   0.0070   1.0000   0.4992
  -4.500  -0.5166   0.02690   0.01581   0.0102   1.0000   0.5504
  -4.350  -0.5089   0.02679   0.01565   0.0126   1.0000   0.5927
  -4.200  -0.4914   0.02677   0.01584   0.0148   1.0000   0.6319
  -4.050  -0.4764   0.02679   0.01583   0.0166   1.0000   0.6664
  -3.900  -0.4690   0.02653   0.01546   0.0185   1.0000   0.6968
  -3.750  -0.4382   0.02682   0.01576   0.0186   1.0000   0.7318
  -3.600  -0.4139   0.02700   0.01582   0.0188   1.0000   0.7648
  -3.450  -0.4043   0.02682   0.01554   0.0203   1.0000   0.7929
  -3.300  -0.3649   0.02682   0.01537   0.0175   1.0000   0.8212
  -3.150  -0.3203   0.02687   0.01517   0.0133   1.0000   0.8508
  -3.000  -0.2930   0.02668   0.01482   0.0113   1.0000   0.8784
  -2.850  -0.2805   0.02646   0.01453   0.0118   1.0000   0.9014
  -2.700  -0.2242   0.02612   0.01394   0.0041   1.0000   0.9238
  -2.550  -0.1960   0.02582   0.01350   0.0013   1.0000   0.9479
  -2.400  -0.1454   0.02515   0.01267  -0.0062   1.0000   0.9688
  -2.250  -0.1052   0.02458   0.01197  -0.0119   1.0000   0.9905
  -2.100  -0.0830   0.02413   0.01145  -0.0144   1.0000   1.0000
  -1.950  -0.0763   0.02375   0.01105  -0.0139   1.0000   1.0000
  -1.800  -0.0696   0.02341   0.01069  -0.0134   1.0000   1.0000
  -1.650  -0.0630   0.02310   0.01038  -0.0128   1.0000   1.0000
  -1.500  -0.0564   0.02284   0.01010  -0.0120   1.0000   1.0000
  -1.350  -0.0499   0.02260   0.00986  -0.0112   1.0000   1.0000
  -1.200  -0.0436   0.02239   0.00965  -0.0102   1.0000   1.0000
  -1.050  -0.0375   0.02222   0.00948  -0.0092   1.0000   1.0000
  -0.900  -0.0317   0.02206   0.00933  -0.0081   1.0000   1.0000
  -0.750  -0.0261   0.02194   0.00921  -0.0068   1.0000   1.0000
  -0.600  -0.0208   0.02183   0.00911  -0.0055   1.0000   1.0000
  -0.450  -0.0156   0.02175   0.00904  -0.0042   1.0000   1.0000
  -0.300  -0.0104   0.02170   0.00900  -0.0028   1.0000   1.0000
  -0.150  -0.0052   0.02166   0.00898  -0.0014   1.0000   1.0000
  -0.000  -0.0000   0.02165   0.00897   0.0000   1.0000   1.0000
   0.150   0.0052   0.02166   0.00897   0.0014   1.0000   1.0000
   0.300   0.0104   0.02170   0.00900   0.0028   1.0000   1.0000
   0.450   0.0156   0.02175   0.00904   0.0042   1.0000   1.0000
   0.600   0.0208   0.02183   0.00911   0.0055   1.0000   1.0000
   0.750   0.0261   0.02193   0.00921   0.0068   1.0000   1.0000
   0.900   0.0317   0.02206   0.00932   0.0081   1.0000   1.0000
   1.050   0.0376   0.02221   0.00947   0.0092   1.0000   1.0000
   1.200   0.0437   0.02239   0.00964   0.0102   1.0000   1.0000
   1.350   0.0500   0.02259   0.00985   0.0112   1.0000   1.0000
   1.500   0.0565   0.02283   0.01009   0.0120   1.0000   1.0000
   1.650   0.0632   0.02309   0.01036   0.0127   1.0000   1.0000
   1.800   0.0699   0.02340   0.01068   0.0134   1.0000   1.0000
   1.950   0.0766   0.02373   0.01103   0.0139   1.0000   1.0000
   2.100   0.0833   0.02411   0.01143   0.0144   1.0000   1.0000
   2.250   0.1052   0.02456   0.01195   0.0119   0.9907   1.0000
   2.400   0.1453   0.02513   0.01265   0.0062   0.9690   1.0000
   2.550   0.1963   0.02580   0.01349  -0.0013   0.9480   1.0000
   2.700   0.2242   0.02610   0.01392  -0.0041   0.9240   1.0000
   2.850   0.2803   0.02644   0.01451  -0.0118   0.9015   1.0000
   3.000   0.2933   0.02666   0.01480  -0.0114   0.8785   1.0000
   3.150   0.3204   0.02685   0.01516  -0.0133   0.8509   1.0000
   3.300   0.3649   0.02681   0.01536  -0.0175   0.8214   1.0000
   3.450   0.4044   0.02680   0.01553  -0.0203   0.7930   1.0000
   3.600   0.4140   0.02699   0.01581  -0.0188   0.7649   1.0000
   3.750   0.4382   0.02681   0.01575  -0.0186   0.7319   1.0000
   3.900   0.4690   0.02653   0.01545  -0.0185   0.6969   1.0000
   4.050   0.4764   0.02678   0.01582  -0.0166   0.6665   1.0000
   4.200   0.4914   0.02677   0.01584  -0.0148   0.6319   1.0000
   4.350   0.5089   0.02678   0.01564  -0.0126   0.5927   1.0000
   4.500   0.5166   0.02690   0.01581  -0.0102   0.5504   1.0000
   4.650   0.5286   0.02702   0.01541  -0.0070   0.4993   1.0000
   4.800   0.5350   0.02723   0.01568  -0.0046   0.4498   1.0000
   4.950   0.5417   0.02772   0.01555  -0.0016   0.3900   1.0000
   5.100   0.5463   0.02816   0.01566   0.0009   0.3264   1.0000
   5.250   0.5516   0.02925   0.01619   0.0031   0.2673   1.0000
   5.400   0.5570   0.03027   0.01670   0.0047   0.2232   1.0000
   5.550   0.5636   0.03144   0.01737   0.0059   0.1900   1.0000
   5.700   0.5734   0.03241   0.01823   0.0068   0.1654   1.0000
   5.850   0.5854   0.03420   0.01976   0.0073   0.1505   1.0000
   6.000   0.6012   0.03543   0.02118   0.0076   0.1430   1.0000
   6.150   0.6169   0.03676   0.02274   0.0078   0.1368   1.0000
   6.300   0.6322   0.03816   0.02437   0.0081   0.1317   1.0000
   6.450   0.6468   0.03964   0.02606   0.0083   0.1278   1.0000
   6.600   0.6603   0.04118   0.02780   0.0087   0.1248   1.0000
   6.750   0.6729   0.04280   0.02963   0.0090   0.1224   1.0000
   6.900   0.6844   0.04452   0.03155   0.0094   0.1205   1.0000
   7.050   0.6947   0.04634   0.03358   0.0099   0.1191   1.0000
   7.200   0.7040   0.04827   0.03571   0.0103   0.1179   1.0000
   7.350   0.7120   0.05032   0.03796   0.0107   0.1171   1.0000
   7.500   0.7188   0.05249   0.04034   0.0111   0.1165   1.0000
   7.650   0.7241   0.05477   0.04282   0.0114   0.1160   1.0000
   7.800   0.7280   0.05719   0.04542   0.0117   0.1158   1.0000
   7.950   0.7304   0.05973   0.04815   0.0119   0.1157   1.0000
   8.100   0.7310   0.06242   0.05101   0.0120   0.1158   1.0000
   8.250   0.7297   0.06523   0.05397   0.0119   0.1160   1.0000
   8.400   0.7264   0.06817   0.05706   0.0117   0.1163   1.0000
   8.550   0.7213   0.07126   0.06026   0.0112   0.1167   1.0000
   8.700   0.7129   0.07461   0.06371   0.0104   0.1173   1.0000
   8.850   0.7030   0.07813   0.06731   0.0092   0.1181   1.0000
   9.000   0.6911   0.08169   0.07091   0.0078   0.1189   1.0000
