  
       XFOIL         Version 6.99
  
 Calculated polar for: Selig S-1223                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.000 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   1.3517   0.00000  -0.00005  -0.3597   0.0000   0.0000
  -1.900   1.3636   0.00000  -0.00005  -0.3597   0.0000   0.0000
  -1.800   1.3755   0.00000  -0.00005  -0.3598   0.0000   0.0000
  -1.700   1.3874   0.00000  -0.00005  -0.3599   0.0000   0.0000
  -1.600   1.3993   0.00000  -0.00005  -0.3600   0.0000   0.0000
  -1.500   1.4112   0.00000  -0.00005  -0.3601   0.0000   0.0000
  -1.400   1.4232   0.00000  -0.00005  -0.3601   0.0000   0.0000
  -1.300   1.4351   0.00000  -0.00005  -0.3602   0.0000   0.0000
  -1.200   1.4469   0.00000  -0.00005  -0.3603   0.0000   0.0000
  -1.100   1.4588   0.00000  -0.00005  -0.3604   0.0000   0.0000
  -1.000   1.4707   0.00000  -0.00005  -0.3605   0.0000   0.0000
  -0.900   1.4826   0.00000  -0.00005  -0.3605   0.0000   0.0000
  -0.800   1.4945   0.00000  -0.00005  -0.3606   0.0000   0.0000
  -0.700   1.5064   0.00000  -0.00005  -0.3607   0.0000   0.0000
  -0.600   1.5182   0.00000  -0.00005  -0.3608   0.0000   0.0000
  -0.500   1.5301   0.00000  -0.00005  -0.3608   0.0000   0.0000
  -0.400   1.5420   0.00000  -0.00005  -0.3609   0.0000   0.0000
  -0.300   1.5538   0.00000  -0.00005  -0.3610   0.0000   0.0000
  -0.200   1.5657   0.00000  -0.00005  -0.3611   0.0000   0.0000
  -0.100   1.5775   0.00000  -0.00005  -0.3612   0.0000   0.0000
   0.000   1.5893   0.00000  -0.00005  -0.3612   0.0000   0.0000
   0.100   1.6012   0.00000  -0.00005  -0.3613   0.0000   0.0000
   0.200   1.6130   0.00000  -0.00005  -0.3614   0.0000   0.0000
   0.300   1.6248   0.00000  -0.00005  -0.3615   0.0000   0.0000
   0.400   1.6367   0.00000  -0.00005  -0.3616   0.0000   0.0000
   0.500   1.6485   0.00000  -0.00005  -0.3616   0.0000   0.0000
   0.600   1.6603   0.00000  -0.00005  -0.3617   0.0000   0.0000
   0.700   1.6721   0.00000  -0.00005  -0.3618   0.0000   0.0000
   0.800   1.6839   0.00000  -0.00005  -0.3619   0.0000   0.0000
   0.900   1.6957   0.00000  -0.00005  -0.3619   0.0000   0.0000
   1.000   1.7075   0.00000  -0.00005  -0.3620   0.0000   0.0000
   1.100   1.7193   0.00000  -0.00005  -0.3621   0.0000   0.0000
   1.200   1.7311   0.00000  -0.00005  -0.3622   0.0000   0.0000
   1.300   1.7428   0.00000  -0.00005  -0.3623   0.0000   0.0000
   1.400   1.7546   0.00000  -0.00005  -0.3623   0.0000   0.0000
   1.500   1.7664   0.00000  -0.00005  -0.3624   0.0000   0.0000
   1.600   1.7781   0.00000  -0.00005  -0.3625   0.0000   0.0000
   1.700   1.7899   0.00000  -0.00006  -0.3626   0.0000   0.0000
   1.800   1.8016   0.00000  -0.00006  -0.3626   0.0000   0.0000
   1.900   1.8134   0.00000  -0.00006  -0.3627   0.0000   0.0000
   2.000   1.8251   0.00000  -0.00006  -0.3628   0.0000   0.0000
   2.100   1.8368   0.00000  -0.00006  -0.3629   0.0000   0.0000
   2.200   1.8486   0.00000  -0.00006  -0.3630   0.0000   0.0000
   2.300   1.8603   0.00000  -0.00006  -0.3630   0.0000   0.0000
   2.400   1.8720   0.00000  -0.00006  -0.3631   0.0000   0.0000
   2.500   1.8837   0.00000  -0.00006  -0.3632   0.0000   0.0000
   2.600   1.8954   0.00000  -0.00006  -0.3633   0.0000   0.0000
   2.700   1.9071   0.00000  -0.00006  -0.3633   0.0000   0.0000
   2.800   1.9188   0.00000  -0.00006  -0.3634   0.0000   0.0000
   2.900   1.9305   0.00000  -0.00006  -0.3635   0.0000   0.0000
   3.000   1.9422   0.00000  -0.00006  -0.3636   0.0000   0.0000
   3.100   1.9539   0.00000  -0.00007  -0.3636   0.0000   0.0000
   3.200   1.9655   0.00000  -0.00007  -0.3637   0.0000   0.0000
   3.300   1.9772   0.00000  -0.00007  -0.3638   0.0000   0.0000
   3.400   1.9889   0.00000  -0.00007  -0.3639   0.0000   0.0000
   3.500   2.0005   0.00000  -0.00007  -0.3640   0.0000   0.0000
   3.600   2.0122   0.00000  -0.00007  -0.3640   0.0000   0.0000
   3.700   2.0238   0.00000  -0.00007  -0.3641   0.0000   0.0000
   3.800   2.0354   0.00000  -0.00007  -0.3642   0.0000   0.0000
   3.900   2.0471   0.00000  -0.00007  -0.3643   0.0000   0.0000
   4.000   2.0587   0.00000  -0.00008  -0.3643   0.0000   0.0000
   4.100   2.0703   0.00000  -0.00008  -0.3644   0.0000   0.0000
   4.200   2.0819   0.00000  -0.00008  -0.3645   0.0000   0.0000
   4.300   2.0935   0.00000  -0.00008  -0.3646   0.0000   0.0000
   4.400   2.1051   0.00000  -0.00008  -0.3646   0.0000   0.0000
   4.500   2.1167   0.00000  -0.00008  -0.3647   0.0000   0.0000
   4.600   2.1283   0.00000  -0.00009  -0.3648   0.0000   0.0000
   4.700   2.1399   0.00000  -0.00009  -0.3649   0.0000   0.0000
   4.800   2.1514   0.00000  -0.00009  -0.3649   0.0000   0.0000
   4.900   2.1630   0.00000  -0.00009  -0.3650   0.0000   0.0000
   5.000   2.1746   0.00000  -0.00009  -0.3651   0.0000   0.0000
   5.100   2.1861   0.00000  -0.00009  -0.3652   0.0000   0.0000
   5.200   2.1977   0.00000  -0.00010  -0.3652   0.0000   0.0000
   5.300   2.2092   0.00000  -0.00010  -0.3653   0.0000   0.0000
   5.400   2.2207   0.00000  -0.00010  -0.3654   0.0000   0.0000
   5.500   2.2323   0.00000  -0.00010  -0.3655   0.0000   0.0000
   5.600   2.2438   0.00000  -0.00011  -0.3655   0.0000   0.0000
   5.700   2.2553   0.00000  -0.00011  -0.3656   0.0000   0.0000
   5.800   2.2668   0.00000  -0.00011  -0.3657   0.0000   0.0000
   5.900   2.2783   0.00000  -0.00011  -0.3658   0.0000   0.0000
   6.000   2.2898   0.00000  -0.00012  -0.3658   0.0000   0.0000
   6.100   2.3013   0.00000  -0.00012  -0.3659   0.0000   0.0000
   6.200   2.3127   0.00000  -0.00012  -0.3660   0.0000   0.0000
   6.300   2.3242   0.00000  -0.00012  -0.3660   0.0000   0.0000
   6.400   2.3357   0.00000  -0.00013  -0.3661   0.0000   0.0000
   6.500   2.3471   0.00000  -0.00013  -0.3662   0.0000   0.0000
   6.600   2.3586   0.00000  -0.00013  -0.3663   0.0000   0.0000
   6.700   2.3700   0.00000  -0.00014  -0.3663   0.0000   0.0000
   6.800   2.3815   0.00000  -0.00014  -0.3664   0.0000   0.0000
   6.900   2.3929   0.00000  -0.00014  -0.3665   0.0000   0.0000
   7.000   2.4043   0.00000  -0.00015  -0.3666   0.0000   0.0000
   7.100   2.4157   0.00000  -0.00015  -0.3666   0.0000   0.0000
   7.200   2.4271   0.00000  -0.00015  -0.3667   0.0000   0.0000
   7.300   2.4385   0.00000  -0.00016  -0.3668   0.0000   0.0000
   7.400   2.4499   0.00000  -0.00016  -0.3668   0.0000   0.0000
   7.500   2.4613   0.00000  -0.00017  -0.3669   0.0000   0.0000
   7.600   2.4727   0.00000  -0.00017  -0.3670   0.0000   0.0000
   7.700   2.4841   0.00000  -0.00017  -0.3671   0.0000   0.0000
   7.800   2.4954   0.00000  -0.00018  -0.3671   0.0000   0.0000
   7.900   2.5068   0.00000  -0.00018  -0.3672   0.0000   0.0000
   8.000   2.5181   0.00000  -0.00019  -0.3673   0.0000   0.0000
   8.100   2.5295   0.00000  -0.00019  -0.3674   0.0000   0.0000
   8.200   2.5408   0.00000  -0.00020  -0.3674   0.0000   0.0000
   8.300   2.5521   0.00000  -0.00020  -0.3675   0.0000   0.0000
   8.400   2.5635   0.00000  -0.00021  -0.3676   0.0000   0.0000
   8.500   2.5748   0.00000  -0.00021  -0.3676   0.0000   0.0000
