  
       XFOIL         Version 6.99
  
 Calculated polar for: S3021-095-84                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.100 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0730   0.01318   0.00631  -0.0619   0.8683   0.6027
  -1.900   0.0812   0.01274   0.00633  -0.0604   0.8646   0.7333
  -1.800   0.1119   0.01243   0.00629  -0.0629   0.8635   0.8930
  -1.600   0.1724   0.01224   0.00584  -0.0700   0.8585   0.9897
  -1.500   0.1930   0.01219   0.00566  -0.0719   0.8544   1.0000
  -1.400   0.2025   0.01219   0.00556  -0.0716   0.8491   1.0000
  -1.300   0.2120   0.01220   0.00547  -0.0712   0.8439   1.0000
  -1.200   0.2233   0.01221   0.00539  -0.0712   0.8389   1.0000
  -1.100   0.2336   0.01223   0.00531  -0.0710   0.8340   1.0000
  -1.000   0.2440   0.01225   0.00525  -0.0708   0.8290   1.0000
  -0.900   0.2529   0.01227   0.00519  -0.0703   0.8237   1.0000
  -0.800   0.2639   0.01230   0.00513  -0.0702   0.8189   1.0000
  -0.700   0.2724   0.01233   0.00509  -0.0696   0.8138   1.0000
  -0.600   0.2828   0.01236   0.00504  -0.0694   0.8091   1.0000
  -0.500   0.2936   0.01239   0.00500  -0.0693   0.8043   1.0000
  -0.400   0.3029   0.01243   0.00497  -0.0688   0.7995   1.0000
  -0.300   0.3122   0.01247   0.00494  -0.0684   0.7948   1.0000
  -0.200   0.3231   0.01251   0.00492  -0.0683   0.7902   1.0000
  -0.100   0.3321   0.01255   0.00490  -0.0678   0.7855   1.0000
   0.000   0.3425   0.01259   0.00488  -0.0676   0.7809   1.0000
   0.100   0.3516   0.01264   0.00486  -0.0671   0.7762   1.0000
   0.200   0.3614   0.01268   0.00485  -0.0668   0.7716   1.0000
   0.300   0.3722   0.01273   0.00485  -0.0666   0.7671   1.0000
   0.400   0.3812   0.01278   0.00485  -0.0661   0.7626   1.0000
   0.500   0.3914   0.01283   0.00485  -0.0659   0.7580   1.0000
   0.600   0.4020   0.01288   0.00485  -0.0657   0.7534   1.0000
   0.700   0.4116   0.01293   0.00486  -0.0653   0.7489   1.0000
   0.800   0.4214   0.01298   0.00486  -0.0650   0.7443   1.0000
   0.900   0.4312   0.01304   0.00488  -0.0647   0.7397   1.0000
   1.000   0.4412   0.01309   0.00489  -0.0644   0.7351   1.0000
   1.100   0.4509   0.01314   0.00491  -0.0640   0.7305   1.0000
   1.200   0.4604   0.01320   0.00492  -0.0636   0.7259   1.0000
   1.300   0.4714   0.01326   0.00495  -0.0635   0.7212   1.0000
   1.400   0.4810   0.01331   0.00497  -0.0632   0.7166   1.0000
   1.500   0.4905   0.01337   0.00500  -0.0628   0.7120   1.0000
   1.600   0.5008   0.01343   0.00503  -0.0625   0.7072   1.0000
   1.700   0.5114   0.01349   0.00506  -0.0624   0.7026   1.0000
   1.800   0.5212   0.01355   0.00509  -0.0620   0.6979   1.0000
   1.900   0.5309   0.01361   0.00513  -0.0617   0.6932   1.0000
   2.000   0.5407   0.01367   0.00516  -0.0613   0.6884   1.0000
   2.100   0.5512   0.01373   0.00521  -0.0612   0.6837   1.0000
   2.200   0.5609   0.01379   0.00525  -0.0608   0.6790   1.0000
   2.300   0.5711   0.01385   0.00529  -0.0606   0.6742   1.0000
   2.400   0.5807   0.01392   0.00534  -0.0602   0.6695   1.0000
   2.500   0.5910   0.01398   0.00539  -0.0600   0.6646   1.0000
   2.600   0.6011   0.01404   0.00544  -0.0597   0.6598   1.0000
   2.700   0.6109   0.01411   0.00549  -0.0594   0.6550   1.0000
   2.800   0.6209   0.01417   0.00555  -0.0591   0.6501   1.0000
   2.900   0.6307   0.01423   0.00560  -0.0588   0.6452   1.0000
   3.000   0.6408   0.01430   0.00565  -0.0585   0.6403   1.0000
   3.100   0.6507   0.01437   0.00573  -0.0582   0.6350   1.0000
   3.200   0.6611   0.01444   0.00580  -0.0580   0.6298   1.0000
   3.300   0.6706   0.01451   0.00586  -0.0576   0.6245   1.0000
