x,y
1.000000000000000000e+00,0.000000000000000000e+00
9.966300000000000159e-01,3.899999999999999929e-04
9.867899999999999450e-01,1.719999999999999958e-03
9.710400000000000142e-01,4.190000000000000148e-03
9.499600000000000266e-01,7.689999999999999787e-03
9.239800000000000235e-01,1.192999999999999963e-02
8.933600000000000430e-01,1.669999999999999957e-02
8.584000000000000519e-01,2.197999999999999954e-02
8.195900000000000407e-01,2.775999999999999995e-02
7.774799999999999489e-01,3.393000000000000183e-02
7.326599999999999779e-01,4.037999999999999923e-02
6.857199999999999962e-01,4.694000000000000256e-02
6.372999999999999776e-01,5.340999999999999914e-02
5.880100000000000326e-01,5.954000000000000264e-02
5.383900000000000352e-01,6.504000000000000059e-02
4.889100000000000112e-01,6.963999999999999357e-02
4.399600000000000177e-01,7.312000000000000444e-02
3.919000000000000261e-01,7.535999999999999643e-02
3.451299999999999923e-01,7.631999999999999895e-02
2.999899999999999789e-01,7.595999999999999974e-02
2.568500000000000227e-01,7.432999999999999330e-02
2.161099999999999965e-01,7.151000000000000412e-02
1.781600000000000128e-01,6.753000000000000669e-02
1.433099999999999929e-01,6.242999999999999938e-02
1.118200000000000027e-01,5.630999999999999894e-02
8.391999999999999460e-02,4.929999999999999660e-02
5.983000000000000124e-02,4.155999999999999972e-02
3.967999999999999999e-02,3.329000000000000015e-02
2.358000000000000027e-02,2.471999999999999892e-02
1.159999999999999920e-02,1.615000000000000116e-02
3.739999999999999835e-03,7.990000000000000574e-03
8.000000000000000654e-05,9.899999999999999946e-04
1.910000000000000022e-03,-4.270000000000000358e-03
9.839999999999999789e-03,-8.519999999999999796e-03
2.319999999999999840e-02,-1.231999999999999935e-02
4.177999999999999770e-02,-1.546999999999999938e-02
6.542000000000000592e-02,-1.788999999999999965e-02
9.395000000000000573e-02,-1.957000000000000059e-02
1.271200000000000108e-01,-2.052999999999999964e-02
1.646400000000000086e-01,-2.085000000000000048e-02
2.061399999999999899e-01,-2.059000000000000066e-02
2.511800000000000144e-01,-1.985999999999999918e-02
2.992799999999999905e-01,-1.875999999999999890e-02
3.498800000000000243e-01,-1.742000000000000146e-02
4.023700000000000054e-01,-1.592000000000000012e-02
4.561200000000000254e-01,-1.433000000000000072e-02
5.104699999999999793e-01,-1.273000000000000000e-02
5.647600000000000398e-01,-1.115000000000000019e-02
6.183400000000000007e-01,-9.629999999999999671e-03
6.705600000000000449e-01,-8.210000000000000284e-03
7.207900000000000418e-01,-6.899999999999999883e-03
7.683999999999999719e-01,-5.700000000000000205e-03
8.128300000000000525e-01,-4.619999999999999975e-03
8.535500000000000309e-01,-3.650000000000000033e-03
8.900500000000000078e-01,-2.779999999999999919e-03
9.218699999999999672e-01,-1.930000000000000075e-03
9.487600000000000477e-01,-1.069999999999999988e-03
9.704800000000000093e-01,-3.499999999999999964e-04
9.866000000000000325e-01,3.000000000000000076e-05
9.966099999999999959e-01,6.000000000000000152e-05
1.000010000000000066e+00,-0.000000000000000000e+00
