  
       XFOIL         Version 6.99
  
 Calculated polar for: sd7037                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.050 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0952   0.02262   0.01203  -0.0434   1.0000   0.1816
  -1.900  -0.0846   0.02201   0.01176  -0.0437   1.0000   0.2337
  -1.800  -0.0742   0.02136   0.01158  -0.0440   1.0000   0.3126
  -1.700  -0.0628   0.02068   0.01155  -0.0443   0.9986   0.4327
  -1.600  -0.0524   0.02011   0.01168  -0.0437   0.9956   0.5832
  -1.500  -0.0459   0.01970   0.01179  -0.0418   0.9918   0.7301
  -1.400  -0.0231   0.01925   0.01155  -0.0432   0.9862   1.0000
  -1.300  -0.0053   0.01943   0.01148  -0.0448   0.9820   1.0000
  -1.200   0.0120   0.01961   0.01143  -0.0462   0.9774   1.0000
  -1.100   0.0310   0.01983   0.01142  -0.0480   0.9736   1.0000
  -1.000   0.0471   0.01998   0.01140  -0.0492   0.9688   1.0000
  -0.900   0.0640   0.02015   0.01140  -0.0505   0.9640   1.0000
  -0.800   0.0828   0.02035   0.01142  -0.0522   0.9601   1.0000
  -0.700   0.0980   0.02050   0.01142  -0.0532   0.9549   1.0000
  -0.600   0.1142   0.02065   0.01144  -0.0544   0.9499   1.0000
  -0.500   0.1331   0.02083   0.01149  -0.0560   0.9459   1.0000
  -0.400   0.1475   0.02096   0.01151  -0.0569   0.9405   1.0000
  -0.300   0.1631   0.02109   0.01154  -0.0579   0.9351   1.0000
  -0.200   0.1821   0.02125   0.01159  -0.0595   0.9311   1.0000
  -0.100   0.1954   0.02136   0.01160  -0.0601   0.9253   1.0000
   0.000   0.2110   0.02148   0.01163  -0.0610   0.9199   1.0000
   0.100   0.2301   0.02160   0.01167  -0.0626   0.9160   1.0000
   0.200   0.2423   0.02170   0.01171  -0.0629   0.9096   1.0000
   0.300   0.2581   0.02180   0.01174  -0.0639   0.9043   1.0000
   0.400   0.2779   0.02189   0.01175  -0.0655   0.9005   1.0000
   0.500   0.2883   0.02198   0.01180  -0.0655   0.8935   1.0000
   0.600   0.3051   0.02205   0.01181  -0.0665   0.8885   1.0000
   0.700   0.3256   0.02210   0.01180  -0.0682   0.8850   1.0000
   0.800   0.3341   0.02220   0.01187  -0.0678   0.8772   1.0000
   0.900   0.3521   0.02224   0.01186  -0.0690   0.8727   1.0000
   1.000   0.3677   0.02228   0.01187  -0.0698   0.8675   1.0000
   1.100   0.3797   0.02235   0.01191  -0.0699   0.8608   1.0000
   1.200   0.3981   0.02234   0.01187  -0.0710   0.8566   1.0000
   1.300   0.4088   0.02241   0.01192  -0.0710   0.8496   1.0000
   1.400   0.4239   0.02242   0.01190  -0.0715   0.8441   1.0000
   1.500   0.4428   0.02235   0.01182  -0.0726   0.8404   1.0000
   1.600   0.4505   0.02246   0.01191  -0.0720   0.8320   1.0000
   1.700   0.4675   0.02240   0.01184  -0.0728   0.8274   1.0000
   1.800   0.4786   0.02245   0.01188  -0.0727   0.8205   1.0000
   1.900   0.4927   0.02242   0.01185  -0.0730   0.8146   1.0000
   2.000   0.5107   0.02230   0.01172  -0.0738   0.8106   1.0000
   2.100   0.5185   0.02241   0.01183  -0.0732   0.8019   1.0000
   2.200   0.5350   0.02230   0.01171  -0.0737   0.7973   1.0000
   2.300   0.5447   0.02237   0.01178  -0.0734   0.7894   1.0000
   2.400   0.5595   0.02229   0.01170  -0.0736   0.7839   1.0000
   2.500   0.5717   0.02228   0.01169  -0.0735   0.7772   1.0000
   2.600   0.5843   0.02225   0.01168  -0.0735   0.7704   1.0000
   2.700   0.5992   0.02214   0.01157  -0.0737   0.7649   1.0000
   2.800   0.6091   0.02219   0.01164  -0.0733   0.7567   1.0000
   2.900   0.6252   0.02203   0.01147  -0.0736   0.7517   1.0000
   3.000   0.6337   0.02214   0.01159  -0.0730   0.7427   1.0000
   3.100   0.6491   0.02199   0.01144  -0.0732   0.7372   1.0000
   3.200   0.6581   0.02208   0.01154  -0.0727   0.7283   1.0000
   3.300   0.6729   0.02194   0.01140  -0.0728   0.7224   1.0000
   3.400   0.6820   0.02204   0.01154  -0.0723   0.7133   1.0000
   3.500   0.6965   0.02191   0.01140  -0.0723   0.7071   1.0000
   3.600   0.7055   0.02202   0.01153  -0.0718   0.6977   1.0000
   3.700   0.7195   0.02191   0.01141  -0.0717   0.6912   1.0000
   3.800   0.7285   0.02202   0.01154  -0.0712   0.6816   1.0000
   3.900   0.7406   0.02200   0.01152  -0.0709   0.6738   1.0000
   4.000   0.7514   0.02204   0.01156  -0.0705   0.6650   1.0000
   4.100   0.7619   0.02210   0.01163  -0.0701   0.6562   1.0000
   4.200   0.7740   0.02209   0.01164  -0.0699   0.6481   1.0000
   4.300   0.7833   0.02221   0.01177  -0.0694   0.6384   1.0000
   4.400   0.7954   0.02221   0.01175  -0.0691   0.6303   1.0000
   4.500   0.8049   0.02232   0.01189  -0.0686   0.6204   1.0000
   4.600   0.8151   0.02242   0.01199  -0.0682   0.6111   1.0000
   4.700   0.8267   0.02245   0.01200  -0.0679   0.6025   1.0000
   4.800   0.8355   0.02262   0.01219  -0.0674   0.5922   1.0000
   4.900   0.8460   0.02271   0.01227  -0.0670   0.5830   1.0000
   5.000   0.8564   0.02281   0.01237  -0.0665   0.5735   1.0000
   5.100   0.8655   0.02298   0.01259  -0.0661   0.5634   1.0000
   5.200   0.8760   0.02308   0.01268  -0.0657   0.5542   1.0000
   5.300   0.8856   0.02323   0.01283  -0.0652   0.5441   1.0000
   5.400   0.8947   0.02341   0.01303  -0.0647   0.5339   1.0000
   5.500   0.9050   0.02355   0.01314  -0.0643   0.5247   1.0000
   5.600   0.9142   0.02373   0.01333  -0.0638   0.5145   1.0000
   5.700   0.9231   0.02393   0.01355  -0.0633   0.5042   1.0000
   5.800   0.9330   0.02409   0.01368  -0.0629   0.4948   1.0000
   5.900   0.9420   0.02430   0.01391  -0.0624   0.4846   1.0000
   6.000   0.9507   0.02453   0.01419  -0.0619   0.4744   1.0000
   6.100   0.9603   0.02471   0.01435  -0.0614   0.4649   1.0000
   6.200   0.9690   0.02495   0.01460  -0.0609   0.4547   1.0000
   6.300   0.9776   0.02520   0.01488  -0.0604   0.4446   1.0000
   6.400   0.9869   0.02542   0.01506  -0.0600   0.4351   1.0000
   6.500   0.9953   0.02568   0.01535  -0.0595   0.4250   1.0000
   6.600   1.0036   0.02596   0.01565  -0.0589   0.4150   1.0000
   6.700   1.0129   0.02620   0.01585  -0.0585   0.4059   1.0000
   6.800   1.0208   0.02650   0.01619  -0.0580   0.3957   1.0000
   6.900   1.0290   0.02680   0.01655  -0.0574   0.3860   1.0000
   7.000   1.0382   0.02706   0.01674  -0.0570   0.3773   1.0000
   7.100   1.0456   0.02741   0.01717  -0.0564   0.3671   1.0000
   7.200   1.0538   0.02773   0.01749  -0.0559   0.3579   1.0000
   7.300   1.0623   0.02803   0.01777  -0.0554   0.3490   1.0000
   7.400   1.0697   0.02841   0.01821  -0.0549   0.3394   1.0000
   7.500   1.0781   0.02874   0.01851  -0.0544   0.3310   1.0000
   7.600   1.0855   0.02911   0.01892  -0.0539   0.3216   1.0000
   7.700   1.0930   0.02949   0.01933  -0.0533   0.3128   1.0000
   7.800   1.1012   0.02984   0.01964  -0.0528   0.3046   1.0000
   7.900   1.1081   0.03028   0.02016  -0.0522   0.2956   1.0000
   8.000   1.1162   0.03065   0.02050  -0.0518   0.2878   1.0000
   8.100   1.1227   0.03109   0.02104  -0.0511   0.2790   1.0000
   8.200   1.1301   0.03151   0.02145  -0.0506   0.2711   1.0000
   8.300   1.1371   0.03195   0.02193  -0.0500   0.2630   1.0000
   8.400   1.1441   0.03242   0.02243  -0.0495   0.2552   1.0000
   8.500   1.1509   0.03285   0.02287  -0.0489   0.2475   1.0000
   8.600   1.1571   0.03336   0.02343  -0.0483   0.2397   1.0000
   8.700   1.1640   0.03379   0.02385  -0.0477   0.2325   1.0000
   8.800   1.1701   0.03435   0.02449  -0.0471   0.2250   1.0000
   8.900   1.1767   0.03481   0.02492  -0.0465   0.2180   1.0000
   9.000   1.1820   0.03539   0.02559  -0.0458   0.2106   1.0000
   9.100   1.1881   0.03586   0.02604  -0.0452   0.2039   1.0000
   9.200   1.1935   0.03648   0.02678  -0.0445   0.1970   1.0000
   9.300   1.1992   0.03701   0.02731  -0.0439   0.1904   1.0000
   9.400   1.2042   0.03763   0.02799  -0.0432   0.1839   1.0000
   9.500   1.2089   0.03820   0.02861  -0.0425   0.1774   1.0000
   9.600   1.2144   0.03883   0.02923  -0.0418   0.1714   1.0000
   9.700   1.2183   0.03952   0.03003  -0.0411   0.1652   1.0000
   9.800   1.2243   0.04006   0.03045  -0.0405   0.1596   1.0000
   9.900   1.2265   0.04087   0.03148  -0.0396   0.1535   1.0000
  10.000   1.2310   0.04146   0.03203  -0.0389   0.1480   1.0000
  10.100   1.2346   0.04231   0.03296  -0.0381   0.1426   1.0000
  10.200   1.2371   0.04305   0.03379  -0.0372   0.1372   1.0000
  10.300   1.2415   0.04366   0.03427  -0.0366   0.1320   1.0000
  10.400   1.2415   0.04460   0.03544  -0.0355   0.1268   1.0000
  10.500   1.2436   0.04528   0.03612  -0.0347   0.1220   1.0000
  10.600   1.2455   0.04608   0.03690  -0.0338   0.1174   1.0000
  10.700   1.2437   0.04696   0.03795  -0.0326   0.1130   1.0000
  10.800   1.2433   0.04758   0.03853  -0.0316   0.1088   1.0000
  10.900   1.2430   0.04838   0.03932  -0.0306   0.1047   1.0000
  11.000   1.2402   0.04940   0.04053  -0.0296   0.1009   1.0000
  11.100   1.2384   0.05020   0.04135  -0.0286   0.0973   1.0000
  11.200   1.2392   0.05080   0.04175  -0.0280   0.0936   1.0000
  11.300   1.2353   0.05209   0.04329  -0.0270   0.0906   1.0000
