  
       XFOIL         Version 6.99
  
 Calculated polar for: MH60                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.100 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0910   0.01324   0.00651  -0.0183   0.8307   0.7308
  -1.900  -0.0808   0.01315   0.00648  -0.0177   0.8270   0.7616
  -1.800  -0.0693   0.01308   0.00645  -0.0173   0.8234   0.7932
  -1.700  -0.0561   0.01302   0.00641  -0.0172   0.8201   0.8254
  -1.600  -0.0403   0.01298   0.00638  -0.0176   0.8164   0.8568
  -1.500  -0.0228   0.01295   0.00633  -0.0185   0.8126   0.8853
  -1.400  -0.0046   0.01293   0.00626  -0.0195   0.8090   0.9108
  -1.300   0.0149   0.01292   0.00618  -0.0209   0.8054   0.9322
  -1.200   0.0337   0.01291   0.00610  -0.0222   0.8018   0.9506
  -1.100   0.0511   0.01289   0.00601  -0.0233   0.7978   0.9679
  -1.000   0.0710   0.01287   0.00591  -0.0250   0.7937   0.9821
  -0.900   0.0906   0.01284   0.00580  -0.0267   0.7897   0.9960
  -0.800   0.1039   0.01283   0.00572  -0.0272   0.7855   1.0000
  -0.700   0.1132   0.01284   0.00567  -0.0269   0.7812   1.0000
  -0.600   0.1217   0.01285   0.00561  -0.0263   0.7769   1.0000
  -0.500   0.1325   0.01286   0.00556  -0.0263   0.7726   1.0000
  -0.400   0.1411   0.01288   0.00552  -0.0258   0.7683   1.0000
  -0.300   0.1514   0.01289   0.00547  -0.0256   0.7640   1.0000
  -0.200   0.1598   0.01291   0.00543  -0.0250   0.7597   1.0000
  -0.100   0.1692   0.01292   0.00540  -0.0247   0.7554   1.0000
   0.000   0.1781   0.01294   0.00536  -0.0242   0.7512   1.0000
   0.100   0.1887   0.01296   0.00533  -0.0240   0.7468   1.0000
   0.200   0.1980   0.01298   0.00530  -0.0236   0.7425   1.0000
   0.300   0.2084   0.01299   0.00527  -0.0234   0.7380   1.0000
   0.400   0.2177   0.01301   0.00525  -0.0230   0.7335   1.0000
   0.500   0.2275   0.01303   0.00522  -0.0227   0.7289   1.0000
   0.600   0.2376   0.01305   0.00521  -0.0224   0.7243   1.0000
   0.700   0.2463   0.01308   0.00519  -0.0219   0.7197   1.0000
   0.800   0.2566   0.01310   0.00517  -0.0216   0.7150   1.0000
   0.900   0.2664   0.01312   0.00516  -0.0213   0.7101   1.0000
   1.000   0.2772   0.01314   0.00515  -0.0212   0.7052   1.0000
   1.100   0.2866   0.01317   0.00514  -0.0208   0.7002   1.0000
   1.200   0.2973   0.01319   0.00514  -0.0206   0.6952   1.0000
   1.300   0.3064   0.01321   0.00513  -0.0201   0.6902   1.0000
   1.400   0.3159   0.01324   0.00513  -0.0197   0.6852   1.0000
   1.500   0.3259   0.01326   0.00512  -0.0194   0.6800   1.0000
   1.600   0.3368   0.01328   0.00512  -0.0193   0.6749   1.0000
   1.700   0.3470   0.01330   0.00511  -0.0190   0.6697   1.0000
   1.800   0.3565   0.01332   0.00511  -0.0186   0.6645   1.0000
   1.900   0.3667   0.01335   0.00513  -0.0184   0.6587   1.0000
   2.000   0.3773   0.01338   0.00513  -0.0182   0.6531   1.0000
   2.100   0.3877   0.01340   0.00514  -0.0179   0.6475   1.0000
   2.200   0.3972   0.01343   0.00514  -0.0175   0.6421   1.0000
   2.300   0.4079   0.01346   0.00516  -0.0174   0.6358   1.0000
   2.400   0.4171   0.01349   0.00517  -0.0169   0.6300   1.0000
   2.500   0.4270   0.01352   0.00518  -0.0165   0.6242   1.0000
   2.600   0.4381   0.01356   0.00520  -0.0165   0.6177   1.0000
   2.700   0.4482   0.01359   0.00522  -0.0162   0.6114   1.0000
   2.800   0.4579   0.01362   0.00523  -0.0158   0.6053   1.0000
   2.900   0.4688   0.01367   0.00527  -0.0157   0.5984   1.0000
   3.000   0.4791   0.01370   0.00528  -0.0154   0.5920   1.0000
   3.100   0.4892   0.01375   0.00533  -0.0152   0.5850   1.0000
   3.200   0.4997   0.01379   0.00535  -0.0150   0.5785   1.0000
   3.300   0.5106   0.01385   0.00540  -0.0149   0.5711   1.0000
   3.400   0.5203   0.01390   0.00543  -0.0145   0.5644   1.0000
   3.500   0.5312   0.01396   0.00549  -0.0144   0.5569   1.0000
   3.600   0.5411   0.01402   0.00553  -0.0141   0.5497   1.0000
   3.700   0.5518   0.01408   0.00558  -0.0140   0.5423   1.0000
   3.800   0.5620   0.01415   0.00564  -0.0137   0.5346   1.0000
   3.900   0.5721   0.01422   0.00569  -0.0135   0.5270   1.0000
   4.000   0.5822   0.01429   0.00575  -0.0132   0.5195   1.0000
   4.100   0.5933   0.01438   0.00583  -0.0132   0.5113   1.0000
   4.200   0.6036   0.01446   0.00591  -0.0130   0.5034   1.0000
   4.300   0.6137   0.01455   0.00598  -0.0128   0.4956   1.0000
   4.400   0.6235   0.01465   0.00606  -0.0125   0.4877   1.0000
   4.500   0.6341   0.01475   0.00616  -0.0124   0.4794   1.0000
   4.600   0.6446   0.01486   0.00625  -0.0122   0.4712   1.0000
   4.700   0.6546   0.01497   0.00635  -0.0120   0.4631   1.0000
   4.800   0.6642   0.01508   0.00645  -0.0117   0.4554   1.0000
   4.900   0.6744   0.01521   0.00657  -0.0115   0.4471   1.0000
   5.000   0.6848   0.01533   0.00669  -0.0114   0.4387   1.0000
   5.100   0.6951   0.01546   0.00682  -0.0113   0.4304   1.0000
   5.200   0.7049   0.01560   0.00695  -0.0110   0.4224   1.0000
   5.300   0.7150   0.01574   0.00708  -0.0108   0.4143   1.0000
   5.400   0.7251   0.01589   0.00722  -0.0107   0.4060   1.0000
   5.500   0.7351   0.01604   0.00737  -0.0105   0.3977   1.0000
   5.600   0.7450   0.01620   0.00753  -0.0103   0.3894   1.0000
   5.700   0.7550   0.01636   0.00769  -0.0102   0.3812   1.0000
   5.800   0.7650   0.01653   0.00785  -0.0100   0.3731   1.0000
   5.900   0.7751   0.01670   0.00803  -0.0099   0.3647   1.0000
   6.000   0.7848   0.01687   0.00821  -0.0097   0.3565   1.0000
   6.100   0.7946   0.01705   0.00839  -0.0095   0.3482   1.0000
   6.200   0.8043   0.01724   0.00858  -0.0093   0.3400   1.0000
   6.300   0.8141   0.01744   0.00877  -0.0092   0.3319   1.0000
   6.400   0.8237   0.01763   0.00897  -0.0090   0.3237   1.0000
   6.500   0.8334   0.01784   0.00919  -0.0088   0.3155   1.0000
   6.600   0.8430   0.01805   0.00941  -0.0087   0.3073   1.0000
   6.700   0.8526   0.01826   0.00963  -0.0085   0.2991   1.0000
   6.800   0.8620   0.01848   0.00986  -0.0083   0.2913   1.0000
   6.900   0.8712   0.01871   0.01009  -0.0081   0.2832   1.0000
   7.000   0.8808   0.01895   0.01034  -0.0080   0.2751   1.0000
   7.100   0.8902   0.01919   0.01060  -0.0078   0.2671   1.0000
   7.200   0.8990   0.01944   0.01085  -0.0076   0.2596   1.0000
