mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.005,0.015,0.5,0.02,0.007853981633974483,12.658742248162325
0.1,0.005,0.015,0.525,0.02,0.008246680715673207,12.353667483418292
0.1,0.005,0.015,0.55,0.02,0.008639379797371933,12.069637160525419
0.1,0.005,0.015,0.575,0.02,0.009032078879070654,11.804338012686166
0.1,0.005,0.015,0.6,0.02,0.00942477796076938,11.555797798270273
0.1,0.005,0.015,0.625,0.02,0.009817477042468103,11.322323270615787
0.1,0.005,0.015,0.65,0.02,0.010210176124166827,11.10245140309146
0.1,0.005,0.015,0.675,0.02,0.010602875205865551,10.894910646903316
0.1,0.005,0.015,0.7,0.02,0.010995574287564275,10.698589870546016
0.1,0.005,0.015,0.725,0.02,0.011388273369263,10.512513243434514
0.1,0.005,0.015,0.75,0.02,0.011780972450961725,10.335819764469893
0.1,0.005,0.015,0.775,0.02,0.01217367153266045,10.167746453318651
0.1,0.005,0.015,0.8,0.02,0.012566370614359173,10.007614454298341
0.1,0.005,0.015,0.825,0.02,0.012959069696057897,9.854817474607232
0.1,0.005,0.015,0.8500000000000001,0.02,0.013351768777756623,9.708812107183553
0.1,0.005,0.015,0.875,0.02,0.013744467859455345,9.569109685572627
0.1,0.005,0.015,0.9,0.02,0.01413716694115407,9.435269392179823
0.1,0.005,0.015,0.925,0.02,0.014529866022852793,9.306892398165582
0.1,0.005,0.015,0.95,0.02,0.014922565104551517,9.183616857305983
0.1,0.005,0.015,0.9750000000000001,0.02,0.015315264186250245,9.06511361054041
0.1,0.005,0.015,1.0,0.02,0.015707963267948967,8.951082484968222
0.1,0.005,0.015,1.025,0.02,0.016100662349647687,8.841249092454868
0.1,0.005,0.015,1.05,0.02,0.016493361431346415,8.735362050048824
0.1,0.005,0.015,1.0750000000000002,0.02,0.01688606051304514,8.633190558062442
0.1,0.005,0.015,1.1,0.02,0.017278759594743866,8.53452228266867
0.1,0.005,0.015,1.125,0.02,0.017671458676442587,8.439161498774883
0.1,0.005,0.015,1.15,0.02,0.018064157758141308,8.346927456188522
0.1,0.005,0.015,1.175,0.02,0.018456856839840035,8.257652938023927
0.1,0.005,0.015,1.2000000000000002,0.02,0.018849555921538762,8.171182985177486
0.1,0.005,0.015,1.225,0.02,0.019242255003237486,8.087373764725562
0.1,0.005,0.015,1.25,0.02,0.019634954084936207,8.006091563438673
0.1,0.005,0.015,1.275,0.02,0.02002765316663493,7.927211890385084
0.1,0.005,0.015,1.3,0.02,0.020420352248333655,7.850618674920069
0.1,0.005,0.015,1.3250000000000002,0.02,0.020813051330032382,7.776203548305749
0.1,0.005,0.015,1.35,0.02,0.021205750411731103,7.70386519884685
0.1,0.005,0.015,1.375,0.02,0.021598449493429827,7.633508791813529
0.1,0.005,0.015,1.4,0.02,0.02199114857512855,7.565045446596796
0.1,0.005,0.015,1.425,0.02,0.02238384765682728,7.498391764540562
0.1,0.005,0.015,1.4500000000000002,0.02,0.022776546738526006,7.43346940174593
0.1,0.005,0.015,1.475,0.02,0.023169245820224726,7.370204681871546
0.1,0.005,0.015,1.5,0.02,0.02356194490192345,7.308528244578606
0.1,0.0055,0.0165,0.5,0.022,0.00863937979737193,12.06963716052542
0.1,0.0055,0.0165,0.525,0.022,0.009071348787240528,11.778759785419084
0.1,0.0055,0.0165,0.55,0.022,0.009503317777109124,11.507947498329386
0.1,0.0055,0.0165,0.575,0.022,0.009935286766977719,11.254994685905922
0.1,0.0055,0.0165,0.6,0.022,0.010367255756846317,11.01802088953729
0.1,0.0055,0.0165,0.625,0.022,0.010799224746714913,10.795411661876953
0.1,0.0055,0.0165,0.65,0.022,0.01123119373658351,10.58577206176494
0.1,0.0055,0.0165,0.675,0.022,0.011663162726452106,10.387889714995806
0.1,0.0055,0.0165,0.7,0.022,0.012095131716320703,10.200705199247471
0.1,0.0055,0.0165,0.725,0.022,0.012527100706189299,10.02328809656365
0.1,0.0055,0.0165,0.75,0.022,0.012959069696057895,9.854817474607234
0.1,0.0055,0.0165,0.775,0.022,0.013391038685926492,9.69456586017389
0.1,0.0055,0.0165,0.8,0.022,0.013823007675795088,9.541885989766913
0.1,0.0055,0.0165,0.825,0.022,0.014254976665663685,9.396199785881723
0.1,0.0055,0.0165,0.8500000000000001,0.022,0.014686945655532285,9.256989130214185
0.1,0.0055,0.0165,0.875,0.022,0.01511891464540088,9.123788097581151
0.1,0.0055,0.0165,0.9,0.022,0.015550883635269476,8.99617638489746
0.1,0.0055,0.0165,0.925,0.022,0.015982852625138072,8.873773723785076
0.1,0.0055,0.0165,0.95,0.022,0.016414821615006667,8.756235107406432
0.1,0.0055,0.0165,0.9750000000000001,0.022,0.01684679060487527,8.64324669491132
0.1,0.0055,0.0165,1.0,0.022,0.01727875959474386,8.534522282668672
0.1,0.0055,0.0165,1.025,0.022,0.017710728584612454,8.429800251857262
0.1,0.0055,0.0165,1.05,0.022,0.018142697574481056,8.328840918237237
