  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.050 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.5073   0.16573   0.15862   0.0167   1.0000   0.1379
 -14.900  -0.5059   0.16476   0.15765   0.0165   1.0000   0.1398
 -14.800  -0.5060   0.16400   0.15688   0.0161   1.0000   0.1418
 -14.700  -0.5080   0.16354   0.15642   0.0156   1.0000   0.1436
 -14.600  -0.5125   0.16351   0.15639   0.0149   1.0000   0.1450
 -14.500  -0.5181   0.16365   0.15653   0.0142   1.0000   0.1457
 -14.400  -0.5237   0.16374   0.15663   0.0136   1.0000   0.1461
 -14.300  -0.5294   0.16381   0.15670   0.0130   1.0000   0.1463
 -14.200  -0.5351   0.16385   0.15675   0.0125   1.0000   0.1465
 -14.100  -0.5241   0.16035   0.15325   0.0125   1.0000   0.1472
 -14.000  -0.5134   0.15743   0.15029   0.0127   1.0000   0.1482
 -13.900  -0.5074   0.15560   0.14845   0.0128   1.0000   0.1495
 -13.800  -0.5032   0.15420   0.14704   0.0128   1.0000   0.1513
 -13.700  -0.5014   0.15317   0.14599   0.0127   1.0000   0.1534
 -13.600  -0.5018   0.15241   0.14522   0.0125   1.0000   0.1556
 -13.500  -0.5048   0.15196   0.14478   0.0121   1.0000   0.1576
 -13.400  -0.5110   0.15192   0.14474   0.0116   1.0000   0.1592
 -13.300  -0.5182   0.15196   0.14478   0.0111   1.0000   0.1600
 -13.200  -0.5244   0.15168   0.14451   0.0105   1.0000   0.1604
 -13.100  -0.5295   0.15106   0.14389   0.0099   1.0000   0.1607
 -13.000  -0.5337   0.15021   0.14305   0.0092   1.0000   0.1609
 -12.900  -0.5368   0.14913   0.14198   0.0086   1.0000   0.1610
 -12.800  -0.5195   0.14574   0.13857   0.0095   1.0000   0.1626
 -12.700  -0.5180   0.14429   0.13711   0.0092   1.0000   0.1629
 -12.600  -0.5212   0.14318   0.13601   0.0086   1.0000   0.1625
 -12.500  -0.5398   0.14339   0.13624   0.0067   1.0000   0.1611
 -12.400  -0.5356   0.14149   0.13433   0.0066   1.0000   0.1609
 -12.300  -0.5313   0.13148   0.12420   0.0030   1.0000   0.0987
 -12.200  -0.5328   0.12967   0.12239   0.0024   1.0000   0.0972
 -12.100  -0.5362   0.12764   0.12036   0.0016   1.0000   0.0955
 -12.000  -0.5612   0.12286   0.11563  -0.0027   1.0000   0.0901
 -11.900  -0.5597   0.12124   0.11401  -0.0029   1.0000   0.0898
 -11.800  -0.5593   0.11954   0.11231  -0.0031   1.0000   0.0894
 -11.700  -0.5597   0.11776   0.11053  -0.0035   1.0000   0.0891
 -11.600  -0.5613   0.11584   0.10861  -0.0041   1.0000   0.0889
 -11.500  -0.5638   0.11381   0.10659  -0.0047   1.0000   0.0887
 -11.400  -0.5666   0.11172   0.10450  -0.0054   1.0000   0.0886
 -11.300  -0.5699   0.10954   0.10233  -0.0062   1.0000   0.0885
 -11.200  -0.5735   0.10728   0.10009  -0.0070   1.0000   0.0884
 -11.100  -0.5775   0.10494   0.09776  -0.0079   1.0000   0.0883
 -11.000  -0.5819   0.10250   0.09533  -0.0089   1.0000   0.0883
 -10.900  -0.5865   0.09998   0.09282  -0.0098   1.0000   0.0881
 -10.800  -0.5915   0.09735   0.09020  -0.0109   1.0000   0.0880
 -10.700  -0.5973   0.09455   0.08742  -0.0120   1.0000   0.0878
 -10.600  -0.6038   0.09158   0.08446  -0.0133   1.0000   0.0875
 -10.500  -0.6112   0.08834   0.08124  -0.0148   1.0000   0.0871
 -10.400  -0.6202   0.08477   0.07767  -0.0166   1.0000   0.0865
 -10.300  -0.6316   0.08090   0.07381  -0.0187   1.0000   0.0858
 -10.200  -0.6464   0.07673   0.06964  -0.0211   1.0000   0.0847
 -10.100  -0.6680   0.07194   0.06483  -0.0240   1.0000   0.0829
 -10.000  -0.7528   0.06300   0.05559  -0.0288   1.0000   0.0771
  -9.900  -0.7617   0.06114   0.05367  -0.0283   1.0000   0.0770
  -9.800  -0.7694   0.05926   0.05172  -0.0278   1.0000   0.0770
  -9.700  -0.7767   0.05729   0.04966  -0.0273   1.0000   0.0769
  -9.600  -0.7833   0.05531   0.04758  -0.0268   1.0000   0.0769
  -9.500  -0.7891   0.05335   0.04550  -0.0262   1.0000   0.0769
  -9.400  -0.7944   0.05137   0.04340  -0.0256   1.0000   0.0770
  -9.300  -0.7991   0.04944   0.04131  -0.0249   1.0000   0.0772
  -9.200  -0.8035   0.04751   0.03920  -0.0242   1.0000   0.0774
  -9.100  -0.8009   0.04593   0.03764  -0.0238   1.0000   0.0782
  -9.000  -0.7970   0.04468   0.03639  -0.0234   1.0000   0.0791
  -8.900  -0.7916   0.04368   0.03538  -0.0231   1.0000   0.0803
  -8.800  -0.7882   0.04253   0.03419  -0.0226   1.0000   0.0815
  -8.700  -0.7865   0.04115   0.03271  -0.0220   1.0000   0.0824
  -8.600  -0.7851   0.03969   0.03112  -0.0214   1.0000   0.0833
  -8.500  -0.7837   0.03819   0.02948  -0.0208   1.0000   0.0841
  -8.400  -0.7819   0.03668   0.02780  -0.0202   1.0000   0.0849
  -8.300  -0.7797   0.03518   0.02612  -0.0195   1.0000   0.0856
  -8.200  -0.7768   0.03371   0.02447  -0.0189   1.0000   0.0862
  -8.100  -0.7733   0.03230   0.02287  -0.0182   1.0000   0.0870
  -8.000  -0.7694   0.03095   0.02131  -0.0176   1.0000   0.0879
  -7.900  -0.7652   0.02970   0.01982  -0.0169   1.0000   0.0891
  -7.800  -0.7611   0.02854   0.01836  -0.0161   1.0000   0.0905
  -7.700  -0.7535   0.02756   0.01747  -0.0159   1.0000   0.0921
  -7.600  -0.7462   0.02677   0.01667  -0.0156   1.0000   0.0939
  -7.500  -0.7390   0.02595   0.01581  -0.0151   1.0000   0.0958
  -7.400  -0.7318   0.02508   0.01484  -0.0147   1.0000   0.0975
  -7.300  -0.7243   0.02418   0.01380  -0.0142   1.0000   0.0991
  -7.200  -0.7165   0.02328   0.01272  -0.0138   1.0000   0.1007
  -7.100  -0.7085   0.02241   0.01167  -0.0133   1.0000   0.1024
  -7.000  -0.7003   0.02158   0.01070  -0.0129   1.0000   0.1045
  -6.900  -0.6918   0.02086   0.01007  -0.0126   1.0000   0.1069
  -6.800  -0.6836   0.02025   0.00946  -0.0122   1.0000   0.1099
  -6.700  -0.6752   0.01960   0.00875  -0.0118   1.0000   0.1132
  -6.600  -0.6664   0.01893   0.00792  -0.0114   1.0000   0.1165
  -6.500  -0.6573   0.01821   0.00719  -0.0110   1.0000   0.1195
  -6.400  -0.6485   0.01755   0.00659  -0.0107   1.0000   0.1226
  -6.300  -0.6395   0.01691   0.00593  -0.0103   1.0000   0.1262
  -6.200  -0.6303   0.01629   0.00518  -0.0099   1.0000   0.1309
