  
       XFOIL         Version 6.99
  
 Calculated polar for: Selig S-1223                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.100 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.8112   0.02340   0.01465  -0.2397   0.6044   0.0483
  -1.900   0.8339   0.02301   0.01404  -0.2422   0.5963   0.0495
  -1.800   0.8582   0.02263   0.01341  -0.2450   0.5887   0.0509
  -1.700   0.8761   0.02241   0.01309  -0.2464   0.5820   0.0520
  -1.600   0.8955   0.02219   0.01267  -0.2481   0.5757   0.0534
  -1.400   0.9290   0.02190   0.01220  -0.2504   0.5644   0.0566
  -1.300   0.9454   0.02179   0.01204  -0.2514   0.5593   0.0583
  -1.200   0.9617   0.02171   0.01185  -0.2524   0.5545   0.0606
  -1.100   0.9778   0.02164   0.01176  -0.2535   0.5497   0.0629
  -1.000   0.9946   0.02159   0.01163  -0.2546   0.5454   0.0657
  -0.900   1.0106   0.02155   0.01154  -0.2556   0.5408   0.0692
  -0.800   1.0280   0.02152   0.01143  -0.2569   0.5369   0.0735
  -0.700   1.0450   0.02147   0.01135  -0.2582   0.5326   0.0795
  -0.600   1.0640   0.02141   0.01126  -0.2599   0.5289   0.0895
  -0.500   1.0863   0.02121   0.01119  -0.2624   0.5248   0.1236
  -0.400   1.1036   0.02125   0.01140  -0.2638   0.5212   0.2208
  -0.300   1.1164   0.02143   0.01153  -0.2641   0.5180   0.2522
  -0.200   1.1280   0.02161   0.01167  -0.2641   0.5146   0.2747
  -0.100   1.1399   0.02187   0.01189  -0.2642   0.5118   0.3023
   0.000   1.1506   0.02213   0.01215  -0.2640   0.5089   0.3271
   0.100   1.1626   0.02233   0.01233  -0.2641   0.5059   0.3436
   0.200   1.1739   0.02246   0.01240  -0.2641   0.5034   0.3532
   0.300   1.1861   0.02257   0.01246  -0.2642   0.5007   0.3604
   0.400   1.1988   0.02268   0.01252  -0.2645   0.4979   0.3670
   0.500   1.2115   0.02280   0.01256  -0.2648   0.4955   0.3734
   0.600   1.2249   0.02291   0.01261  -0.2651   0.4932   0.3794
   0.700   1.2360   0.02300   0.01269  -0.2651   0.4906   0.3845
   0.800   1.2484   0.02311   0.01275  -0.2653   0.4882   0.3903
   0.900   1.2619   0.02324   0.01280  -0.2657   0.4862   0.3966
   1.000   1.2739   0.02335   0.01290  -0.2659   0.4838   0.4021
   1.100   1.2858   0.02346   0.01299  -0.2660   0.4815   0.4080
   1.200   1.2979   0.02358   0.01306  -0.2662   0.4795   0.4144
   1.300   1.3119   0.02372   0.01314  -0.2667   0.4777   0.4216
   1.400   1.3232   0.02383   0.01326  -0.2667   0.4754   0.4280
   1.500   1.3342   0.02394   0.01337  -0.2666   0.4733   0.4349
   1.600   1.3461   0.02407   0.01347  -0.2667   0.4714   0.4425
   1.700   1.3598   0.02421   0.01357  -0.2672   0.4697   0.4514
   1.800   1.3710   0.02434   0.01369  -0.2672   0.4677   0.4597
   1.900   1.3805   0.02445   0.01381  -0.2668   0.4658   0.4682
   2.000   1.3937   0.02460   0.01395  -0.2672   0.4638   0.4787
   2.100   1.4046   0.02472   0.01406  -0.2671   0.4623   0.4887
   2.200   1.4167   0.02486   0.01416  -0.2672   0.4608   0.5004
   2.300   1.4276   0.02499   0.01434  -0.2672   0.4590   0.5126
   2.400   1.4388   0.02513   0.01450  -0.2672   0.4570   0.5258
   2.500   1.4486   0.02525   0.01464  -0.2668   0.4554   0.5391
   2.600   1.4614   0.02540   0.01479  -0.2671   0.4539   0.5554
   2.700   1.4749   0.02556   0.01493  -0.2676   0.4525   0.5744
   2.800   1.4844   0.02568   0.01512  -0.2672   0.4507   0.5925
   2.900   1.4947   0.02582   0.01532  -0.2670   0.4490   0.6131
   3.000   1.5040   0.02593   0.01548  -0.2666   0.4475   0.6356
   3.100   1.5139   0.02604   0.01562  -0.2663   0.4461   0.6626
   3.200   1.5255   0.02617   0.01577  -0.2663   0.4448   0.6941
   3.300   1.5386   0.02630   0.01598  -0.2666   0.4434   0.7346
   3.400   1.5423   0.02633   0.01611  -0.2649   0.4418   0.7765
   3.500   1.5450   0.02629   0.01617  -0.2631   0.4406   0.8457
   3.600   1.5538   0.02633   0.01623  -0.2625   0.4392   1.0000
   3.700   1.5655   0.02654   0.01638  -0.2627   0.4378   1.0000
   3.800   1.5774   0.02675   0.01652  -0.2628   0.4367   1.0000
   3.900   1.5884   0.02695   0.01668  -0.2628   0.4354   1.0000
   4.000   1.5979   0.02717   0.01692  -0.2625   0.4338   1.0000
   4.100   1.6096   0.02741   0.01716  -0.2626   0.4322   1.0000
   4.200   1.6207   0.02764   0.01735  -0.2627   0.4308   1.0000
   4.300   1.6316   0.02783   0.01752  -0.2626   0.4296   1.0000
   4.400   1.6426   0.02803   0.01767  -0.2626   0.4285   1.0000
   4.500   1.6555   0.02829   0.01790  -0.2630   0.4272   1.0000
   4.600   1.6627   0.02851   0.01816  -0.2622   0.4257   1.0000
   4.700   1.6742   0.02876   0.01843  -0.2623   0.4242   1.0000
   4.800   1.6826   0.02896   0.01863  -0.2618   0.4229   1.0000
   4.900   1.6952   0.02920   0.01884  -0.2621   0.4216   1.0000
   5.000   1.7073   0.02943   0.01904  -0.2623   0.4206   1.0000
   5.100   1.7160   0.02960   0.01918  -0.2618   0.4195   1.0000
   5.200   1.7260   0.02991   0.01954  -0.2616   0.4180   1.0000
   5.300   1.7344   0.03015   0.01982  -0.2611   0.4165   1.0000
