 
       XFOIL         Version 6.99
  
 Calculated polar for: S-1223                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.050 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2318   0.06920   0.06359  -0.0870   0.7245   0.1932
  -1.750   0.2961   0.06506   0.05925  -0.1040   0.7101   0.2030
  -1.500   0.3448   0.05917   0.05314  -0.1110   0.7001   0.1717
  -1.250   0.7473   0.03214   0.02335  -0.2139   0.6821   0.0812
  -1.000   0.8329   0.02999   0.02035  -0.2259   0.6632   0.0912
  -0.750   0.8961   0.02898   0.01879  -0.2328   0.6466   0.1023
  -0.500   0.9520   0.02848   0.01807  -0.2383   0.6317   0.1251
  -0.250   1.0122   0.02827   0.01789  -0.2445   0.6182   0.2221
   0.000   1.0439   0.02919   0.01902  -0.2447   0.6054   0.3371
   0.250   1.0754   0.02985   0.01959  -0.2447   0.5954   0.4039
   0.500   1.1076   0.03018   0.01978  -0.2453   0.5855   0.4345
   0.750   1.1510   0.03044   0.01966  -0.2482   0.5772   0.4610
   1.000   1.1825   0.03085   0.01996  -0.2491   0.5682   0.4813
   1.250   1.2206   0.03115   0.02002  -0.2509   0.5607   0.5026
   1.500   1.2507   0.03163   0.02043  -0.2514   0.5533   0.5249
   1.750   1.2810   0.03211   0.02086  -0.2520   0.5461   0.5491
   2.000   1.3165   0.03254   0.02115  -0.2534   0.5404   0.5813
   2.250   1.3444   0.03312   0.02177  -0.2535   0.5346   0.6173
   2.500   1.3679   0.03371   0.02249  -0.2527   0.5284   0.6588
   2.750   1.3928   0.03411   0.02299  -0.2519   0.5230   0.7193
   3.000   1.4106   0.03417   0.02314  -0.2496   0.5189   0.8293
   3.500   1.4596   0.03611   0.02498  -0.2494   0.5082   1.0000
   3.750   1.4893   0.03708   0.02580  -0.2501   0.5033   1.0000
   4.000   1.5225   0.03792   0.02642  -0.2512   0.4991   1.0000
   4.250   1.5433   0.03916   0.02769  -0.2503   0.4944   1.0000
   4.500   1.5596   0.04056   0.02920  -0.2487   0.4895   1.0000
   4.750   1.5811   0.04179   0.03044  -0.2479   0.4851   1.0000
   5.000   1.6076   0.04282   0.03140  -0.2479   0.4812   1.0000
   5.250   1.6396   0.04369   0.03214  -0.2487   0.4777   1.0000
   5.500   1.6433   0.04570   0.03444  -0.2453   0.4730   1.0000
   5.750   1.6518   0.04758   0.03648  -0.2426   0.4684   1.0000
   6.000   1.6670   0.04917   0.03815  -0.2410   0.4643   1.0000
   6.250   1.6907   0.05034   0.03931  -0.2405   0.4606   1.0000
   6.500   1.7241   0.05114   0.04001  -0.2415   0.4574   1.0000
   6.750   1.6986   0.05489   0.04418  -0.2344   0.4523   1.0000
   7.000   1.6840   0.05823   0.04782  -0.2291   0.4475   1.0000
   7.250   1.6901   0.06041   0.05010  -0.2266   0.4434   1.0000
   7.500   1.7187   0.06132   0.05100  -0.2267   0.4399   1.0000
   7.750   1.7131   0.06425   0.05407  -0.2228   0.4359   1.0000
   8.000   1.4856   0.08806   0.07867  -0.2057   0.4218   1.0000
   8.250   1.5272   0.08674   0.07732  -0.2052   0.4198   1.0000
   8.500   1.5862   0.08368   0.07421  -0.2054   0.4185   1.0000
