  
       XFOIL         Version 6.99
  
 Calculated polar for: S3021-095-84                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.200 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.800   0.1055   0.01059   0.00328  -0.0591   0.7812   0.3058
  -1.700   0.1149   0.01036   0.00323  -0.0588   0.7767   0.3624
  -1.600   0.1242   0.01013   0.00320  -0.0585   0.7723   0.4207
  -1.500   0.1329   0.00987   0.00317  -0.0580   0.7679   0.4886
  -1.400   0.1405   0.00955   0.00316  -0.0572   0.7637   0.5763
  -1.300   0.1472   0.00921   0.00317  -0.0561   0.7596   0.6716
  -1.200   0.1537   0.00888   0.00322  -0.0546   0.7556   0.7836
  -1.100   0.1754   0.00872   0.00326  -0.0559   0.7519   0.8983
  -1.000   0.1977   0.00871   0.00320  -0.0579   0.7479   0.9425
  -0.900   0.2160   0.00872   0.00314  -0.0593   0.7439   0.9626
  -0.800   0.2341   0.00873   0.00307  -0.0607   0.7397   0.9785
  -0.700   0.2540   0.00872   0.00299  -0.0625   0.7354   0.9906
  -0.600   0.2765   0.00871   0.00290  -0.0649   0.7311   0.9997
  -0.500   0.2864   0.00873   0.00287  -0.0647   0.7269   1.0000
  -0.400   0.2956   0.00876   0.00283  -0.0643   0.7226   1.0000
  -0.300   0.3066   0.00879   0.00281  -0.0642   0.7185   1.0000
  -0.200   0.3163   0.00882   0.00278  -0.0639   0.7142   1.0000
  -0.100   0.3266   0.00885   0.00276  -0.0637   0.7101   1.0000
   0.000   0.3373   0.00888   0.00273  -0.0636   0.7057   1.0000
   0.100   0.3480   0.00891   0.00272  -0.0635   0.7015   1.0000
   0.200   0.3558   0.00895   0.00270  -0.0628   0.6974   1.0000
   0.300   0.3668   0.00898   0.00269  -0.0627   0.6931   1.0000
   0.400   0.3775   0.00902   0.00268  -0.0626   0.6886   1.0000
   0.500   0.3872   0.00905   0.00267  -0.0623   0.6845   1.0000
