  
       XFOIL         Version 6.99
  
 Calculated polar for: sd7037                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.200 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1462   0.01067   0.00416  -0.0819   0.8912   0.3535
  -1.900   0.1572   0.01042   0.00408  -0.0818   0.8881   0.4059
  -1.800   0.1686   0.01021   0.00400  -0.0818   0.8855   0.4508
  -1.700   0.1778   0.01004   0.00396  -0.0813   0.8809   0.4931
  -1.600   0.1874   0.00986   0.00393  -0.0809   0.8765   0.5386
  -1.500   0.1976   0.00966   0.00388  -0.0805   0.8730   0.5876
  -1.400   0.2079   0.00946   0.00383  -0.0801   0.8701   0.6370
  -1.300   0.2159   0.00933   0.00384  -0.0792   0.8646   0.6798
  -1.200   0.2249   0.00919   0.00381  -0.0785   0.8601   0.7201
  -1.100   0.2344   0.00906   0.00376  -0.0778   0.8566   0.7572
  -1.000   0.2431   0.00897   0.00374  -0.0769   0.8519   0.7895
  -0.900   0.2518   0.00888   0.00370  -0.0760   0.8467   0.8206
  -0.800   0.2618   0.00879   0.00364  -0.0754   0.8426   0.8506
  -0.700   0.2730   0.00871   0.00357  -0.0750   0.8381   0.8813
  -0.600   0.2860   0.00864   0.00352  -0.0751   0.8327   0.9110
  -0.500   0.3036   0.00856   0.00342  -0.0762   0.8283   0.9411
  -0.400   0.3234   0.00849   0.00330  -0.0778   0.8238   0.9689
  -0.300   0.3422   0.00844   0.00321  -0.0793   0.8180   0.9953
  -0.200   0.3544   0.00842   0.00313  -0.0794   0.8124   1.0000
  -0.100   0.3645   0.00842   0.00308  -0.0792   0.8061   1.0000
   0.000   0.3749   0.00842   0.00303  -0.0789   0.7997   1.0000
   0.100   0.3855   0.00842   0.00297  -0.0787   0.7936   1.0000
   0.200   0.3958   0.00843   0.00293  -0.0784   0.7865   1.0000
   0.300   0.4065   0.00844   0.00288  -0.0782   0.7803   1.0000
   0.400   0.4168   0.00846   0.00285  -0.0780   0.7728   1.0000
