  
       XFOIL         Version 6.99
  
 Calculated polar for: mh32                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.100 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0179   0.01335   0.00690  -0.0508   0.9607   0.7445
  -1.750   0.0170   0.01308   0.00681  -0.0508   0.9552   0.8860
  -1.500   0.0768   0.01295   0.00646  -0.0571   0.9512   1.0000
  -1.250   0.1168   0.01300   0.00626  -0.0597   0.9430   1.0000
  -1.000   0.1536   0.01301   0.00605  -0.0616   0.9343   1.0000
  -0.750   0.1909   0.01303   0.00590  -0.0635   0.9260   1.0000
  -0.500   0.2246   0.01304   0.00577  -0.0646   0.9158   1.0000
  -0.250   0.2567   0.01306   0.00568  -0.0654   0.9055   1.0000
   0.000   0.2882   0.01304   0.00555  -0.0659   0.8947   1.0000
   0.250   0.3184   0.01303   0.00546  -0.0661   0.8834   1.0000
   0.500   0.3475   0.01302   0.00538  -0.0661   0.8719   1.0000
   0.750   0.3751   0.01300   0.00531  -0.0657   0.8587   1.0000
   1.000   0.4025   0.01297   0.00523  -0.0652   0.8452   1.0000
   1.250   0.4293   0.01294   0.00515  -0.0645   0.8308   1.0000
   1.500   0.4557   0.01290   0.00509  -0.0638   0.8155   1.0000
   1.750   0.4820   0.01288   0.00505  -0.0630   0.7998   1.0000
   2.000   0.5078   0.01288   0.00502  -0.0622   0.7825   1.0000
   2.250   0.5337   0.01290   0.00503  -0.0614   0.7649   1.0000
   2.500   0.5598   0.01290   0.00502  -0.0605   0.7459   1.0000
   2.750   0.5855   0.01295   0.00506  -0.0597   0.7250   1.0000
   3.000   0.6113   0.01303   0.00512  -0.0589   0.7034   1.0000
   3.250   0.6367   0.01312   0.00518  -0.0580   0.6801   1.0000
   3.500   0.6620   0.01327   0.00530  -0.0571   0.6556   1.0000
   3.750   0.6873   0.01345   0.00545  -0.0563   0.6304   1.0000
   4.000   0.7120   0.01368   0.00563  -0.0554   0.6035   1.0000
   4.250   0.7368   0.01395   0.00587  -0.0545   0.5759   1.0000
   4.500   0.7608   0.01425   0.00614  -0.0536   0.5465   1.0000
   4.750   0.7851   0.01459   0.00646  -0.0528   0.5171   1.0000
   5.000   0.8085   0.01496   0.00680  -0.0518   0.4857   1.0000
   5.250   0.8314   0.01537   0.00717  -0.0508   0.4534   1.0000
   5.500   0.8545   0.01584   0.00760  -0.0499   0.4203   1.0000
   5.750   0.8772   0.01636   0.00809  -0.0490   0.3859   1.0000
   6.000   0.8989   0.01692   0.00861  -0.0480   0.3515   1.0000
   6.250   0.9206   0.01754   0.00920  -0.0471   0.3169   1.0000
   6.500   0.9407   0.01823   0.00983  -0.0459   0.2820   1.0000
   6.750   0.9610   0.01899   0.01053  -0.0449   0.2479   1.0000
   7.000   0.9820   0.01984   0.01132  -0.0441   0.2126   1.0000
   7.250   1.0008   0.02077   0.01220  -0.0429   0.1782   1.0000
   7.500   1.0191   0.02180   0.01314  -0.0418   0.1457   1.0000
   7.750   1.0364   0.02297   0.01422  -0.0406   0.1143   1.0000
   8.000   1.0523   0.02434   0.01553  -0.0392   0.0889   1.0000
   8.250   1.0666   0.02586   0.01699  -0.0376   0.0683   1.0000
   8.500   1.0805   0.02749   0.01861  -0.0360   0.0539   1.0000
   8.750   1.0927   0.02918   0.02033  -0.0341   0.0441   1.0000
   9.000   1.1044   0.03101   0.02228  -0.0323   0.0367   1.0000
   9.250   1.1147   0.03283   0.02415  -0.0305   0.0305   1.0000
   9.500   1.1253   0.03480   0.02629  -0.0285   0.0271   1.0000
   9.750   1.1347   0.03700   0.02864  -0.0266   0.0233   1.0000
  10.000   1.1431   0.03921   0.03100  -0.0246   0.0214   1.0000
  10.250   1.1514   0.04147   0.03350  -0.0226   0.0200   1.0000
  10.500   1.1555   0.04411   0.03635  -0.0207   0.0179   1.0000
  10.750   1.1623   0.04691   0.03946  -0.0191   0.0176   1.0000
  11.000   1.1618   0.04993   0.04276  -0.0174   0.0163   1.0000
  11.250   1.1599   0.05255   0.04554  -0.0156   0.0158   1.0000
  12.000   1.1331   0.06473   0.05865  -0.0142   0.0151   1.0000
  12.250   1.1184   0.06950   0.06368  -0.0147   0.0151   1.0000
  12.500   1.1065   0.07445   0.06886  -0.0164   0.0152   1.0000
  12.750   1.0858   0.08100   0.07569  -0.0197   0.0151   1.0000
  13.000   1.0681   0.08793   0.08285  -0.0237   0.0151   1.0000
  13.250   1.0547   0.09434   0.08939  -0.0275   0.0153   1.0000
  13.500   1.0421   0.10084   0.09600  -0.0313   0.0154   1.0000
  13.750   0.9894   0.11981   0.11539  -0.0453   0.0173   1.0000
  14.000   0.9671   0.13116   0.12678  -0.0522   0.0177   1.0000
  14.250   0.9607   0.13850   0.13411  -0.0561   0.0184   1.0000
  14.500   0.9453   0.14931   0.14490  -0.0619   0.0186   1.0000
  15.000   0.9222   0.17319   0.16860  -0.0739   0.0213   1.0000
  15.250   0.9219   0.17959   0.17495  -0.0770   0.0213   1.0000
  15.500   0.9258   0.18489   0.18024  -0.0798   0.0217   1.0000
  15.750   0.9273   0.19093   0.18624  -0.0829   0.0214   1.0000
  16.000   0.9316   0.19594   0.19123  -0.0854   0.0217   1.0000
