  
       XFOIL         Version 6.99
  
 Calculated polar for: Selig S-1223                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.050 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.800   0.3688   0.05595   0.04981  -0.1277   0.7216   0.1025
  -1.700   0.4182   0.05172   0.04538  -0.1399   0.7166   0.0902
  -1.600   0.5283   0.04359   0.03674  -0.1682   0.7113   0.0810
  -1.500   0.6889   0.03465   0.02655  -0.2065   0.7025   0.0800
  -1.400   0.7520   0.03216   0.02335  -0.2184   0.6934   0.0828
  -1.300   0.7869   0.03118   0.02203  -0.2234   0.6855   0.0855
  -1.200   0.8188   0.03036   0.02090  -0.2276   0.6777   0.0889
  -1.100   0.8492   0.02971   0.01990  -0.2315   0.6702   0.0927
  -1.000   0.8720   0.02937   0.01944  -0.2337   0.6628   0.0967
  -0.900   0.8937   0.02906   0.01897  -0.2358   0.6558   0.1013
  -0.800   0.9160   0.02879   0.01856  -0.2379   0.6492   0.1072
  -0.700   0.9380   0.02856   0.01820  -0.2400   0.6431   0.1148
  -0.600   0.9605   0.02837   0.01791  -0.2422   0.6372   0.1256
  -0.500   0.9800   0.02828   0.01782  -0.2438   0.6311   0.1404
  -0.400   1.0009   0.02822   0.01781  -0.2457   0.6255   0.1680
  -0.300   1.0238   0.02830   0.01798  -0.2479   0.6203   0.2364
  -0.200   1.0377   0.02868   0.01843  -0.2483   0.6149   0.2918
  -0.100   1.0512   0.02904   0.01879  -0.2485   0.6104   0.3324
   0.000   1.0621   0.02938   0.01916  -0.2482   0.6059   0.3641
   0.100   1.0735   0.02964   0.01941  -0.2479   0.6019   0.3894
   0.200   1.0849   0.02982   0.01956  -0.2477   0.5977   0.4072
   0.300   1.1000   0.02994   0.01957  -0.2484   0.5939   0.4225
   0.400   1.1133   0.03007   0.01963  -0.2487   0.5898   0.4336
   0.500   1.1305   0.03016   0.01956  -0.2498   0.5863   0.4454
   0.600   1.1435   0.03030   0.01964  -0.2502   0.5823   0.4542
   0.700   1.1591   0.03038   0.01960  -0.2510   0.5790   0.4631
   0.800   1.1719   0.03053   0.01969  -0.2513   0.5754   0.4712
