t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,vx_mps,vy_mps,vz_mps,px_m,py_m,pz_m,roll_deg,pitch_deg,yaw_deg
391735.0,2025-12-16T03:20:20.435132,0.077386,0.333647,0.012558,-0.004172,0.942605,0.054552,-0.174835,0.061860,-0.057045,0.000833,0.005098,0.198249,-1.467029,1.857006,43.997238,39.171944,927.824097,0.029435,-1.516103,141.015461
391771.0,2025-12-16T03:20:21.453784,1.096039,0.333675,0.004904,0.005320,0.942660,-0.030563,0.041889,0.043081,-0.052897,0.004663,0.005142,0.197710,-1.458862,1.843435,44.005646,39.109814,927.902649,0.762262,-0.326288,141.012782
391811.0,2025-12-16T03:20:21.488528,1.130783,0.333499,0.013799,-0.001989,0.942647,0.084286,-0.147606,0.054466,-0.048787,0.003972,0.004364,0.197763,-1.451124,1.831349,44.013096,39.054981,927.971863,0.312591,-1.566719,141.029151
391852.0,2025-12-16T03:20:21.489697,1.131951,0.333968,0.013068,-0.002854,0.942490,0.073640,-0.144671,0.052535,-0.050082,0.002214,0.004951,0.199700,-1.446794,1.819468,44.020618,39.000122,928.040955,0.191996,-1.520763,140.974255
391887.0,2025-12-16T03:20:21.490947,1.133202,0.333989,0.003761,0.004942,0.942557,-0.045812,0.050239,0.090513,-0.052044,0.001746,0.005106,0.199107,-1.437919,1.807187,44.028946,38.939877,928.116699,0.677714,-0.217033,140.975814
391929.0,2025-12-16T03:20:21.490947,1.133202,0.333808,0.014267,-0.001655,0.942532,0.103525,-0.139421,0.073943,-0.050100,0.003244,0.004339,0.199103,-1.429143,1.795640,44.037102,38.881149,928.190491,0.367085,-1.604474,140.990585
391968.0,2025-12-16T03:20:21.490947,1.133202,0.333856,0.013386,-0.002223,0.942526,0.083220,-0.146236,0.084622,-0.050423,0.002814,0.004155,0.201434,-1.424677,1.784932,44.044670,38.827213,928.258179,0.272057,-1.530987,140.986602
392009.0,2025-12-16T03:20:21.492721,1.134975,0.333879,0.004327,0.004134,0.942597,-0.043991,0.039197,0.073410,-0.051295,0.001914,0.004896,0.200961,-1.416863,1.774274,44.052269,38.773540,928.325378,0.612100,-0.309252,140.988790
392045.0,2025-12-16T03:20:21.492721,1.134975,0.334010,0.004216,0.002992,0.942555,-0.055406,0.012945,0.065201,-0.054675,0.000892,0.004300,0.197935,-1.406165,1.763327,44.059795,38.720280,928.392151,0.484523,-0.340867,140.973289
392084.0,2025-12-16T03:20:21.492721,1.134975,0.333880,0.014945,0.003918,0.942489,0.146277,-0.042786,0.052343,-0.054765,0.002989,0.004145,0.198452,-1.397105,1.752092,44.067253,38.667549,928.458252,0.995301,-1.464356,140.973530
392122.0,2025-12-16T03:20:21.494747,1.137002,0.333880,0.003358,0.001772,0.942608,-0.072540,-0.000343,0.068523,-0.052426,0.002748,0.004105,0.198612,-1.388354,1.740999,44.074718,38.615181,928.523926,0.319873,-0.294870,140.989957
392158.0,2025-12-16T03:20:21.495929,1.138183,0.334662,0.003515,0.000338,0.942332,-0.084870,-0.018272,0.041113,-0.054180,0.001109,0.004882,0.194508,-1.379185,1.729739,44.082130,38.562992,928.589355,0.171305,-0.366657,140.895237
392194.0,2025-12-16T03:20:21.498656,1.140910,0.334565,0.011857,0.006929,0.942273,0.111794,0.034111,0.086218,-0.052263,0.003849,0.005086,0.193856,-1.369265,1.718673,44.089596,38.510162,928.655640,1.203050,-1.014705,140.893299
392236.0,2025-12-16T03:20:21.498656,1.140910,0.334690,0.011185,0.005695,0.942245,0.087053,0.020096,0.077410,-0.048621,0.004548,0.004350,0.196353,-1.358922,1.708553,44.096951,38.458736,928.720215,1.044058,-0.989297,140.880419
392272.0,2025-12-16T03:20:21.498656,1.140910,0.334606,0.000897,-0.002378,0.942355,-0.151364,-0.055122,0.050141,-0.050868,0.003127,0.004957,0.193753,-1.349656,1.696999,44.104870,38.403744,928.789368,-0.222427,-0.188026,140.903059
392315.0,2025-12-16T03:20:21.498656,1.140910,0.334541,0.009159,0.003917,0.942329,0.043874,0.006462,0.053821,-0.056141,0.004361,0.004316,0.190591,-1.341344,1.685889,44.112129,38.352921,928.853271,0.774206,-0.838822,140.903040
392351.0,2025-12-16T03:20:21.500726,1.142981,0.335129,0.008687,0.002345,0.942129,0.016261,-0.034811,0.063530,-0.062367,0.003079,0.004146,0.190563,-1.331986,1.674205,44.119930,38.298203,928.922058,0.586859,-0.847820,140.833265
392387.0,2025-12-16T03:20:21.500726,1.142981,0.335131,-0.000002,0.008865,0.942130,-0.096495,0.138145,0.061641,-0.058355,0.002772,0.004891,0.187970,-1.321136,1.663776,44.126987,38.248730,928.984314,0.957025,0.340696,140.840294
392427.0,2025-12-16T03:20:21.500726,1.142981,0.334973,0.008875,0.001604,0.942184,0.013661,-0.051161,0.043624,-0.053368,0.003478,0.004300,0.185367,-1.310667,1.653009,44.133976,38.199455,929.046387,0.513933,-0.896619,140.852477
392465.0,2025-12-16T03:20:21.500726,1.142981,0.334680,0.008332,0.000948,0.942295,0.003362,-0.056288,0.072848,-0.051251,0.002869,0.004940,0.184592,-1.303514,1.642008,44.141243,38.148106,929.111084,0.421963,-0.863363,140.889274
392500.0,2025-12-16T03:20:21.500726,1.142981,0.334687,0.003438,0.010451,0.942265,-0.024041,0.150599,0.045792,-0.050722,0.003505,0.004311,0.183153,-1.292960,1.631553,44.148182,38.099113,929.172852,1.260376,0.029563,140.890909
392546.0,2025-12-16T03:20:21.500726,1.142981,0.334911,0.003395,0.008970,0.942201,-0.038064,0.119879,0.080789,-0.049008,0.004459,0.004936,0.180969,-1.279294,1.621308,44.155056,38.050560,929.234253,1.098843,-0.022240,140.863706
