t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg
115402.0,2025-12-17T11:46:15.371400,107.767597,0.212122,-0.017502,-0.013989,0.976986,0.089855,-0.302818,0.105383,-0.161353,0.118640,-0.568715,-1.992810,1.619600,155.472130
115432.0,2025-12-17T11:46:15.371400,107.767597,0.216650,-0.021531,-0.011522,0.975944,0.308743,-0.448687,1.605180,-0.071051,0.190481,-0.505545,-1.824650,2.122321,154.933911
115456.0,2025-12-17T11:46:15.371400,107.767597,0.222879,-0.029543,-0.003151,0.974393,-0.088598,-0.063335,2.265250,0.009398,0.260106,-0.450272,-1.108200,3.219875,154.200946
115479.0,2025-12-17T11:46:15.433150,107.829347,0.227416,-0.026256,0.002013,0.973442,-0.446480,-0.044057,1.571898,0.093042,0.288169,-0.382308,-0.460261,2.982576,153.688769
115494.0,2025-12-17T11:46:15.434752,107.830949,0.231208,-0.028890,0.011870,0.972403,-0.181170,-0.385303,1.877051,0.166675,0.251189,-0.333509,0.558259,3.535907,153.267548
115526.0,2025-12-17T11:46:15.493839,107.890036,0.233491,-0.029130,0.018346,0.971749,-0.607693,-0.265861,0.857762,0.215985,0.172694,-0.291778,1.266313,3.737316,153.019617
115559.0,2025-12-17T11:46:15.493839,107.890036,0.236890,-0.020643,0.025377,0.970986,-1.324764,-0.094720,1.826646,0.248699,0.038402,-0.243292,2.266959,2.987093,152.638040
115588.0,2025-12-17T11:46:15.551608,107.947805,0.239432,-0.011453,0.030801,0.970357,-1.619945,0.116703,1.746003,0.255006,-0.008213,-0.195145,3.114373,2.119109,152.336353
115621.0,2025-12-17T11:46:15.551608,107.947805,0.241367,-0.000505,0.034203,0.969831,-2.072670,0.449493,0.707770,0.173887,-0.016929,-0.134758,3.790471,1.002222,152.081965
115658.0,2025-12-17T11:46:15.613164,108.009361,0.238891,0.008088,0.041554,0.970123,-1.525211,0.459612,-0.335728,0.167590,-0.124558,-0.098633,4.846667,0.238432,152.342640
115693.0,2025-12-17T11:46:15.613164,108.009361,0.240148,0.024309,0.041089,0.969562,-0.538891,0.335874,-2.288047,0.232397,-0.309491,-0.088980,5.243334,-1.570248,152.105171
115718.0,2025-12-17T11:46:15.671423,108.067620,0.241177,0.033853,0.034481,0.969278,0.020776,0.321980,-3.030664,0.202253,-0.474939,-0.080783,4.776673,-2.808307,151.937507
115751.0,2025-12-17T11:46:15.671423,108.067620,0.239431,0.038969,0.034776,0.969507,0.537084,0.525549,-2.752352,0.098240,-0.527936,-0.065687,4.947470,-3.377103,152.109491
115776.0,2025-12-17T11:46:15.731385,108.127582,0.240144,0.040625,0.025215,0.969559,0.694705,0.555621,-2.344967,-0.031297,-0.442253,-0.035113,3.931195,-3.822554,152.046242
115802.0,2025-12-17T11:46:15.731385,108.127582,0.240566,0.040191,0.016291,0.969663,0.608265,0.473879,-2.539380,-0.104620,-0.335938,-0.026002,2.926585,-4.020040,152.030583
115830.0,2025-12-17T11:46:15.792066,108.188263,0.238721,0.038939,0.014701,0.970196,0.876675,0.329012,-1.932142,-0.107278,-0.194964,-0.030157,2.706929,-3.929977,152.260588
115860.0,2025-12-17T11:46:15.795748,108.191945,0.239022,0.031647,0.008447,0.970462,0.188496,0.029822,-1.347438,-0.087315,-0.058243,-0.015135,1.809427,-3.289849,152.275267
115891.0,2025-12-17T11:46:15.851191,108.247388,0.238893,0.024593,-0.001268,0.970734,0.044877,0.069232,-0.889565,-0.084926,0.062742,-0.000465,0.532791,-2.771433,152.336168
