t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_raw,ay_raw,az_raw,gx_rad_s,gy_rad_s,gz_rad_s,mx_uT,my_uT,mz_uT
120021.0,2025-12-08T18:33:15.879339,112.001409,0.972872,-0.028844,0.034892,-0.226873,-0.055298,-0.073608,1.000244,-0.002131,0.001065,0.001065,0.000000,0.000000,0.000000
120050.0,2025-12-08T18:33:15.934808,112.056878,0.972898,-0.029791,0.034901,-0.226637,-0.055786,-0.073120,1.000366,-0.002131,0.001065,0.000000,158.000000,42.000000,663.000000
120076.0,2025-12-08T18:33:15.935805,112.057875,0.972889,-0.029354,0.035806,-0.226591,-0.055786,-0.073853,1.000366,-0.003196,0.002131,0.000000,0.000000,0.000000,0.000000
120101.0,2025-12-08T18:33:15.936806,112.058876,0.972900,-0.029737,0.034888,-0.226635,-0.054565,-0.073975,1.000122,-0.003196,0.001065,0.000000,0.000000,0.000000,0.000000
120124.0,2025-12-08T18:33:15.937808,112.059878,0.972939,-0.029439,0.033952,-0.226651,-0.054199,-0.073730,1.000244,-0.003196,0.001065,0.002131,0.000000,0.000000,0.000000
120175.0,2025-12-08T18:33:15.995267,112.117337,0.972852,-0.029363,0.035501,-0.226795,-0.055786,-0.073364,1.001099,-0.002131,0.001065,0.002131,0.000000,0.000000,0.000000
120201.0,2025-12-08T18:33:15.996333,112.118402,0.972842,-0.030121,0.034853,-0.226840,-0.054199,-0.074951,1.001099,-0.002131,0.002131,0.000000,0.000000,0.000000,0.000000
120226.0,2025-12-08T18:33:15.997372,112.119442,0.972875,-0.029153,0.035039,-0.226795,-0.054810,-0.073730,1.000000,-0.003196,0.001065,0.002131,0.000000,0.000000,0.000000
120248.0,2025-12-08T18:33:16.055468,112.177538,0.972825,-0.028282,0.035261,-0.227085,-0.054688,-0.073608,1.001587,-0.003196,0.000000,0.001065,158.000000,64.000000,665.000000
120273.0,2025-12-08T18:33:16.056455,112.178525,0.972787,-0.029283,0.035410,-0.227097,-0.055908,-0.072876,1.000977,-0.003196,0.002131,0.002131,0.000000,0.000000,0.000000
120298.0,2025-12-08T18:33:16.114540,112.236609,0.972800,-0.029685,0.034494,-0.227131,-0.054077,-0.073730,1.000732,-0.002131,0.000000,0.002131,0.000000,0.000000,0.000000
120323.0,2025-12-08T18:33:16.115426,112.237496,0.972836,-0.028691,0.034550,-0.227098,-0.054199,-0.072998,1.001953,-0.001065,0.002131,0.001065,0.000000,0.000000,0.000000
120349.0,2025-12-08T18:33:16.116427,112.238497,0.972846,-0.029616,0.034682,-0.226915,-0.055298,-0.073486,1.000732,-0.001065,0.001065,0.001065,158.000000,44.000000,667.000000
120374.0,2025-12-08T18:33:16.175156,112.297226,0.972840,-0.029153,0.035575,-0.226864,-0.055908,-0.073242,1.000122,-0.002131,0.002131,0.001065,0.000000,0.000000,0.000000
120394.0,2025-12-08T18:33:16.176176,112.298246,0.972845,-0.029680,0.034729,-0.226904,-0.054688,-0.073608,0.999268,-0.002131,0.001065,0.001065,0.000000,0.000000,0.000000
120419.0,2025-12-08T18:33:16.234819,112.356889,0.972834,-0.029316,0.035668,-0.226855,-0.054688,-0.073853,1.001099,-0.002131,0.002131,0.001065,0.000000,0.000000,0.000000
120445.0,2025-12-08T18:33:16.235709,112.357779,0.972889,-0.029661,0.035398,-0.226615,-0.056396,-0.072876,1.000977,-0.002131,0.001065,0.001065,158.000000,46.000000,662.000000
120470.0,2025-12-08T18:33:16.236725,112.358795,0.972925,-0.029432,0.034438,-0.226639,-0.054443,-0.073486,1.000854,-0.002131,0.001065,0.001065,0.000000,0.000000,0.000000
