t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
136078.0,2025-12-11T18:03:15.893583,0.064771,0.866656,-0.012785,0.004947,0.498719,0.145741,-0.159132,-0.135225
136106.0,2025-12-11T18:03:16.303449,0.474638,0.866394,-0.012593,0.005505,0.499172,0.118712,-0.063778,-0.186696
136134.0,2025-12-11T18:03:16.304914,0.476102,0.866351,-0.012527,0.004472,0.499258,0.089745,-0.039238,0.066938
136156.0,2025-12-11T18:03:16.304914,0.476102,0.866334,-0.012947,0.003345,0.499285,0.084299,-0.134835,0.031050
136182.0,2025-12-11T18:03:16.304914,0.476102,0.866394,-0.012471,0.004214,0.499187,-0.063685,0.112034,-0.160659
136211.0,2025-12-11T18:03:16.306081,0.477270,0.866069,-0.012795,0.004867,0.499737,0.065659,0.096646,0.124626
136237.0,2025-12-11T18:03:16.306081,0.477270,0.866047,-0.012278,0.003884,0.499796,0.029513,0.001690,0.026004
136265.0,2025-12-11T18:03:16.307101,0.478290,0.866068,-0.011901,0.004733,0.499762,-0.026821,0.049236,-0.141682
136293.0,2025-12-11T18:03:16.307101,0.478290,0.865679,-0.012189,0.005201,0.500423,0.046353,0.038607,0.009434
136315.0,2025-12-11T18:03:16.307101,0.478290,0.865637,-0.011305,0.004826,0.500522,0.036115,0.028456,0.052062
136340.0,2025-12-11T18:03:16.308103,0.479291,0.865593,-0.010467,0.005301,0.500611,0.010816,0.056247,0.014674
136368.0,2025-12-11T18:03:16.308103,0.479291,0.865578,-0.010466,0.004414,0.500646,0.104710,-0.036867,0.099531
136395.0,2025-12-11T18:03:16.308612,0.479800,0.865284,-0.010978,0.004808,0.501139,0.049459,0.034909,0.036349
136418.0,2025-12-11T18:03:16.309636,0.480824,0.865311,-0.011526,0.003923,0.501087,0.047000,-0.057240,0.059191
136446.0,2025-12-11T18:03:16.309636,0.480824,0.865258,-0.011700,0.002991,0.501182,0.064044,-0.063107,0.067527
136468.0,2025-12-11T18:03:16.309636,0.480824,0.865264,-0.011446,0.002093,0.501182,0.114548,-0.071759,0.020617
136497.0,2025-12-11T18:03:16.312736,0.483924,0.864962,-0.011473,0.002554,0.501699,0.117957,-0.018441,0.076955
136524.0,2025-12-11T18:03:16.343610,0.514798,0.864925,-0.010558,0.002371,0.501785,-0.005514,0.002542,0.021457
136547.0,2025-12-11T18:03:16.358779,0.529968,0.864900,-0.011321,0.002936,0.501809,-0.006369,0.000332,-0.089526
136569.0,2025-12-11T18:03:16.387888,0.559077,0.864866,-0.010903,0.003908,0.501869,-0.034685,0.041151,0.045742
136596.0,2025-12-11T18:03:16.403955,0.575144,0.864493,-0.011068,0.004228,0.502506,0.062277,-0.016816,0.029099
136624.0,2025-12-11T18:03:16.433064,0.604252,0.864496,-0.010697,0.003197,0.502516,0.014790,-0.003356,-0.033481
136650.0,2025-12-11T18:03:16.463705,0.634893,0.864536,-0.011604,0.002746,0.502430,0.002904,-0.018252,0.005184
136679.0,2025-12-11T18:03:16.493287,0.664476,0.864585,-0.011559,0.001627,0.502350,0.025369,-0.005570,0.030216
136703.0,2025-12-11T18:03:16.507670,0.678859,0.864246,-0.012025,0.001888,0.502922,-0.037341,0.003247,-0.044993
136728.0,2025-12-11T18:03:16.537364,0.708553,0.864242,-0.012992,0.002249,0.502903,-0.018089,-0.005467,-0.147476
136745.0,2025-12-11T18:03:16.554101,0.725290,0.864272,-0.012458,0.003106,0.502860,-0.063920,0.118329,-0.103345
136765.0,2025-12-11T18:03:16.568540,0.739729,0.864265,-0.011839,0.003964,0.502881,-0.043503,0.119720,-0.031670
136795.0,2025-12-11T18:03:16.612753,0.783941,0.863892,-0.012198,0.004452,0.503509,0.009148,0.071755,0.067975
136818.0,2025-12-11T18:03:16.627953,0.799141,0.863883,-0.011229,0.004258,0.503549,0.057375,0.065620,0.073481
136845.0,2025-12-11T18:03:16.658609,0.829798,0.863910,-0.010178,0.004437,0.503524,0.046425,0.071191,0.134142
136867.0,2025-12-11T18:03:16.674054,0.845243,0.863922,-0.009328,0.003757,0.503526,0.056438,0.016811,0.215140
136890.0,2025-12-11T18:03:16.703053,0.874242,0.863532,-0.009505,0.004013,0.504188,0.013525,0.023151,0.061964
136916.0,2025-12-11T18:03:16.733300,0.904489,0.863513,-0.010113,0.003288,0.504214,0.024027,-0.077945,-0.022930
136944.0,2025-12-11T18:03:16.746918,0.918106,0.863566,-0.010172,0.002366,0.504127,0.022147,-0.030690,0.082373
136972.0,2025-12-11T18:03:16.777689,0.948878,0.863603,-0.009730,0.001400,0.504077,0.006184,-0.002252,0.070153
136999.0,2025-12-11T18:03:16.823591,0.994780,0.863288,-0.010057,0.001860,0.504609,-0.025799,0.100441,0.055939
137028.0,2025-12-11T18:03:16.838811,1.010000,0.863316,-0.009723,0.000888,0.504570,0.039447,-0.024914,0.345554
137057.0,2025-12-11T18:03:16.868467,1.039655,0.863349,-0.008851,0.001490,0.504527,-0.093112,0.192664,0.165638
137082.0,2025-12-11T18:03:16.898440,1.069629,0.862966,-0.008720,0.001861,0.505183,-0.168265,0.163933,-0.065501
137106.0,2025-12-11T18:03:16.913423,1.084611,0.862980,-0.009084,0.002480,0.505150,-0.291901,-0.154587,-0.476069
137130.0,2025-12-11T18:03:16.943133,1.114322,0.863003,-0.009617,0.003139,0.505097,-0.439528,-0.209559,-0.825471
137155.0,2025-12-11T18:03:17.003280,1.174468,0.862994,-0.010772,0.003393,0.505088,-0.412992,-0.622432,-1.323142
137183.0,2025-12-11T18:03:17.004357,1.175545,0.863031,-0.012020,0.003822,0.504994,-0.448467,-0.324113,-1.617110
137208.0,2025-12-11T18:03:17.063656,1.234845,0.862655,-0.012626,0.004088,0.505619,-0.678531,-0.314242,-2.156852
137233.0,2025-12-11T18:03:17.064658,1.235846,0.862669,-0.014255,0.004834,0.505544,-0.365960,-0.874848,-2.104370
137255.0,2025-12-11T18:03:17.065032,1.236220,0.863026,-0.014882,0.005122,0.504914,0.577847,-0.751963,-0.363974
137283.0,2025-12-11T18:03:17.124196,1.295384,0.862965,-0.015689,0.005312,0.504992,0.539983,0.051346,0.092801
137309.0,2025-12-11T18:03:17.125195,1.296384,0.863051,-0.015928,0.004026,0.504850,0.412754,0.693262,0.228031
137333.0,2025-12-11T18:03:17.182187,1.353375,0.863133,-0.016608,0.002787,0.504696,0.580486,0.911097,0.474987
137357.0,2025-12-11T18:03:17.183171,1.354359,0.863409,-0.016989,0.001156,0.504218,0.504989,0.677518,-0.365541
137387.0,2025-12-11T18:03:17.242655,1.413843,0.863663,-0.018506,0.001394,0.503728,-0.230574,1.270989,-1.487734
137414.0,2025-12-11T18:03:17.243650,1.414839,0.863917,-0.019739,0.002728,0.503241,-0.255844,1.320732,-1.041229
137436.0,2025-12-11T18:03:17.244653,1.415842,0.864074,-0.021365,0.004626,0.502890,-0.230483,0.744076,-0.699550
137463.0,2025-12-11T18:03:17.302672,1.473861,0.864291,-0.022644,0.007574,0.502426,-0.024380,0.370392,-0.370821
137493.0,2025-12-11T18:03:17.303575,1.474764,0.863961,-0.025045,0.010465,0.502827,0.671159,0.614678,0.680270
137521.0,2025-12-11T18:03:17.362710,1.533899,0.863880,-0.025994,0.012116,0.502880,1.221047,1.142539,1.790846
137548.0,2025-12-11T18:03:17.363709,1.534898,0.863751,-0.026674,0.012737,0.503052,1.324561,1.034045,1.452957
137572.0,2025-12-11T18:03:17.423015,1.594204,0.863520,-0.027633,0.013237,0.503384,1.105525,1.060730,0.592027
137602.0,2025-12-11T18:03:17.423966,1.595155,0.862760,-0.028766,0.014269,0.504593,1.841188,1.090514,1.539869
137630.0,2025-12-11T18:03:17.482475,1.653663,0.862476,-0.028488,0.012782,0.505134,1.945227,0.514646,0.438255
137650.0,2025-12-11T18:03:17.483728,1.654916,0.862463,-0.028655,0.010790,0.505193,1.610234,0.430636,-0.215121
137680.0,2025-12-11T18:03:17.483728,1.654916,0.862109,-0.029819,0.009658,0.505752,1.556178,0.531890,0.354578
137709.0,2025-12-11T18:03:17.543330,1.714519,0.862048,-0.028967,0.007309,0.505945,1.771543,1.219710,2.382594
137735.0,2025-12-11T18:03:17.544270,1.715458,0.862330,-0.027862,0.004084,0.505564,1.837562,0.926659,2.276457
137764.0,2025-12-11T18:03:17.602976,1.774165,0.862895,-0.025785,0.002196,0.504721,0.572739,1.950006,1.743540
137794.0,2025-12-11T18:03:17.602976,1.774165,0.862953,-0.023884,0.002437,0.504714,0.349621,2.013666,1.285459
137822.0,2025-12-11T18:03:17.663081,1.834270,0.863176,-0.021488,0.003033,0.504437,0.401751,1.320640,0.901383
137847.0,2025-12-11T18:03:17.663081,1.834270,0.863381,-0.019355,0.003527,0.504169,0.454781,1.175541,1.006316
137873.0,2025-12-11T18:03:17.724564,1.895752,0.863356,-0.017600,0.003888,0.504273,0.219634,1.136234,0.909296
137903.0,2025-12-11T18:03:17.725526,1.896714,0.862702,-0.017419,0.005097,0.505386,-0.077513,0.900536,0.183696
137925.0,2025-12-11T18:03:17.782521,1.953710,0.862675,-0.015359,0.006719,0.505481,0.850431,0.226867,1.214999
137952.0,2025-12-11T18:03:17.783738,1.954927,0.862779,-0.012630,0.008278,0.505355,1.028169,0.371230,1.470226
137981.0,2025-12-11T18:03:17.783738,1.954927,0.862234,-0.011280,0.009453,0.506297,0.792891,0.557964,0.411402
138010.0,2025-12-11T18:03:17.842833,2.014021,0.861764,-0.009729,0.008407,0.507146,1.270000,0.344293,0.555297
138038.0,2025-12-11T18:03:17.843830,2.015019,0.861684,-0.008452,0.006087,0.507339,1.030081,-0.455386,-0.676860
138067.0,2025-12-11T18:03:17.903948,2.075136,0.861744,-0.007177,0.004154,0.507276,0.515283,-0.153502,-0.951869
138096.0,2025-12-11T18:03:17.963023,2.134211,0.861332,-0.006702,0.003490,0.507986,0.249123,0.534717,-0.655114
138116.0,2025-12-11T18:03:17.963023,2.134211,0.861182,-0.005196,0.003169,0.508261,0.026330,0.645372,-0.679459
138145.0,2025-12-11T18:03:17.964025,2.135213,0.861102,-0.003168,0.004127,0.508405,-0.033997,0.503327,-0.769469
138173.0,2025-12-11T18:03:18.022711,2.193900,0.861211,-0.001000,0.005312,0.508219,0.389525,-0.021706,-0.004217
138200.0,2025-12-11T18:03:18.022711,2.193900,0.861112,0.000167,0.006404,0.508375,0.629839,-0.225958,0.423524
