t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg
1297720.0,2025-12-15T04:15:14.209821,0.068571,-0.270198,-0.000688,-0.009083,-0.962762,-0.066284,-0.026781,0.062673,-0.002203,-0.001487,0.000388,1.023424,0.205273,148.648452
1297763.0,2025-12-15T04:15:15.227104,1.085854,-0.270429,-0.000944,-0.009139,-0.962696,-0.079569,-0.036438,0.049302,-0.002030,-0.001251,-0.000564,1.037481,0.179022,148.620631
1297804.0,2025-12-15T04:15:15.228209,1.086959,-0.270323,-0.010896,-0.016416,-0.962568,0.158804,0.059734,0.029693,0.002036,-0.000390,-0.000792,2.148916,-0.693360,148.613748
1297845.0,2025-12-15T04:15:15.228209,1.086959,-0.270907,-0.010589,-0.016036,-0.962414,0.149705,0.053725,0.052782,0.005420,-0.000181,-0.001646,2.097803,-0.670007,148.545306
1297887.0,2025-12-15T04:15:15.228209,1.086959,-0.271027,-0.001013,-0.009155,-0.962528,-0.075376,-0.026265,0.046006,0.006265,-0.000927,-0.000263,1.041344,0.172586,148.549388
1297924.0,2025-12-15T04:15:15.228209,1.086959,-0.270906,-0.010960,-0.015859,-0.962413,0.165391,0.055291,0.040987,0.005678,-0.000315,0.000084,2.089866,-0.716363,148.544546
1297965.0,2025-12-15T04:15:15.228209,1.086959,-0.271226,-0.010526,-0.015574,-0.962332,0.156020,0.044314,0.060264,0.003135,0.003033,-0.000628,2.045112,-0.676723,148.507707
1298001.0,2025-12-15T04:15:15.228209,1.086959,-0.271391,-0.000485,-0.009131,-0.962426,-0.070268,-0.020167,0.062949,0.000105,0.003870,-0.002402,1.022192,0.230509,148.506554
1298045.0,2025-12-15T04:15:15.228209,1.086959,-0.271679,-0.000799,-0.009093,-0.962345,-0.080484,-0.022823,0.041272,-0.003066,-0.003941,-0.001245,1.027686,0.194977,148.471983
1298082.0,2025-12-15T04:15:15.228209,1.086959,-0.271548,-0.010923,-0.015379,-0.962240,0.154040,0.044138,0.094170,-0.005443,-0.005862,0.000637,2.036287,-0.725909,148.468561
1298122.0,2025-12-15T04:15:15.228209,1.086959,-0.271688,-0.000251,-0.008537,-0.962347,-0.089997,-0.029412,0.047487,-0.006857,-0.005539,-0.000506,0.949330,0.238093,148.471280
1298165.0,2025-12-15T04:15:15.228209,1.086959,-0.272429,-0.000695,-0.008443,-0.962139,-0.082975,-0.038164,0.024223,0.000861,-0.005462,-0.000778,0.952606,0.186977,148.382731
1298209.0,2025-12-15T04:15:15.228209,1.086959,-0.272337,-0.009800,-0.016353,-0.962013,0.142549,0.067710,0.033809,0.007521,-0.001450,-0.000844,2.109151,-0.570068,148.376824
1298247.0,2025-12-15T04:15:15.228209,1.086959,-0.272902,-0.009553,-0.015980,-0.961862,0.131624,0.060460,0.048668,0.003598,-0.000447,-0.000860,2.060571,-0.553241,148.310331
1298286.0,2025-12-15T04:15:15.228209,1.086959,-0.273033,-0.000220,-0.008606,-0.961966,-0.080972,-0.033696,0.044370,-0.000580,-0.001792,-0.000864,0.955581,0.245033,148.311178
1298330.0,2025-12-15T04:15:15.228209,1.086959,-0.273832,-0.000550,-0.008439,-0.961740,-0.070850,-0.036483,0.062064,-0.001646,-0.001322,-0.000052,0.947338,0.204234,148.215712
1298368.0,2025-12-15T04:15:15.228209,1.086959,-0.273723,-0.009365,-0.016287,-0.961625,0.138602,0.067127,0.032983,-0.003488,0.001181,0.000137,2.089062,-0.521047,148.212943
1298410.0,2025-12-15T04:15:15.228209,1.086959,-0.273846,-0.000259,-0.008552,-0.961736,-0.074665,-0.033695,0.058320,-0.000756,0.000212,-0.000615,0.950612,0.239819,148.214339
1298451.0,2025-12-15T04:15:15.228209,1.086959,-0.274625,-0.000551,-0.008435,-0.961514,-0.079274,-0.039997,0.039897,-0.000871,0.000768,-0.000005,0.946781,0.204789,148.121147
1298481.0,2025-12-15T04:15:15.228209,1.086959,-0.274518,-0.008967,-0.016864,-0.961392,0.125044,0.069780,0.028544,-0.002499,0.000908,0.000149,2.140463,-0.457387,148.118917
1298531.0,2025-12-15T04:15:15.228209,1.086959,-0.274893,-0.008676,-0.016428,-0.961295,0.119114,0.056737,0.068488,-0.001307,0.000943,0.000187,2.083454,-0.438243,148.075139
1298564.0,2025-12-15T04:15:15.228209,1.086959,-0.274989,-0.000200,-0.008007,-0.961414,-0.085171,-0.046155,0.064124,-0.002605,0.003345,0.000197,0.888499,0.230266,148.077983
1298606.0,2025-12-15T04:15:15.228209,1.086959,-0.274882,-0.008811,-0.016144,-0.961302,0.119684,0.063071,0.072603,0.000260,0.002352,0.000199,2.056425,-0.462068,148.076156
1298652.0,2025-12-15T04:15:15.228209,1.086959,-0.275096,-0.008490,-0.015803,-0.961249,0.109435,0.052715,0.048615,-0.001414,0.002901,0.000200,2.008862,-0.437015,148.051574
1298688.0,2025-12-15T04:15:15.228209,1.086959,-0.275211,0.000608,-0.006854,-0.961359,-0.118174,-0.063804,0.035318,0.000595,0.001417,-0.000612,0.735879,0.283086,148.051919
1298730.0,2025-12-15T04:15:15.228209,1.086959,-0.274985,0.000386,-0.007159,-0.961422,-0.103230,-0.056327,0.061486,0.000265,0.000271,0.000795,0.776528,0.268123,148.078680
1298768.0,2025-12-15T04:15:15.278706,1.137456,-0.274898,-0.008090,-0.015425,-0.961316,0.100773,0.054611,0.038782,-0.001413,0.000783,-0.000449,1.954483,-0.405284,148.076294
1298809.0,2025-12-15T04:15:15.309576,1.168326,-0.275002,0.000195,-0.006787,-0.961420,-0.108399,-0.062699,0.022781,-0.001036,0.002509,-0.000761,0.741664,0.235337,148.076536
1298848.0,2025-12-15T04:15:15.337455,1.196205,-0.274852,-0.000038,-0.007126,-0.961460,-0.099311,-0.055288,0.053643,0.001486,0.000520,-0.000840,0.786318,0.220208,148.094282
1298887.0,2025-12-15T04:15:15.383999,1.242749,-0.274774,-0.008586,-0.015488,-0.961346,0.106381,0.057529,0.052137,-0.002713,-0.000754,-0.000859,1.977004,-0.458225,148.089845
1298931.0,2025-12-15T04:15:15.474000,1.332750,-0.275622,-0.008421,-0.014892,-0.961114,0.097080,0.045122,0.030360,-0.005354,-0.001070,-0.000066,1.906531,-0.457155,147.989413
1298972.0,2025-12-15T04:15:15.475035,1.333785,-0.275725,0.000910,-0.007450,-0.961207,-0.113946,-0.047129,0.038800,-0.000424,0.000448,0.000133,0.791907,0.335659,147.990930
1299009.0,2025-12-15T04:15:15.534088,1.392838,-0.275630,-0.008579,-0.014561,-0.961115,0.099279,0.038936,0.066183,-0.000788,0.004022,-0.000616,1.875092,-0.484936,147.988252
1299054.0,2025-12-15T04:15:15.592316,1.451066,-0.275845,-0.008299,-0.014288,-0.961060,0.087203,0.039673,0.074681,-0.001677,0.003320,-0.001601,1.836248,-0.462337,147.963354
1299089.0,2025-12-15T04:15:15.592316,1.451066,-0.275964,0.001975,-0.007360,-0.961138,-0.145230,-0.046401,0.070209,0.000515,0.002336,-0.000238,0.748155,0.450315,147.963092
1299135.0,2025-12-15T04:15:15.643540,1.502290,-0.275879,0.001664,-0.007601,-0.961161,-0.135605,-0.033990,0.052176,-0.000552,0.002099,0.000090,0.784623,0.423565,147.973122
1299167.0,2025-12-15T04:15:15.713164,1.571914,-0.275757,-0.009042,-0.013806,-0.961086,0.101869,0.025370,0.051289,-0.004052,0.000425,0.000173,1.806580,-0.559550,147.972411
