t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg
122385.0,2025-12-15T20:33:54.307998,0.079606,0.656688,-0.013233,0.009692,0.753984,-0.109829,-0.013693,0.039579,-0.001000,-0.002901,0.001247,-0.158546,1.872979,97.888405
122425.0,2025-12-15T20:33:54.837398,0.609006,0.656504,-0.004763,0.018582,0.754078,0.129955,0.012312,0.054506,-0.000964,-0.002935,0.000014,1.248050,1.809772,97.933720
122472.0,2025-12-15T20:33:54.846230,0.617837,0.656076,-0.005767,0.018274,0.754451,0.110742,0.016850,0.054063,-0.000955,-0.002944,0.000512,1.147046,1.872771,97.997855
122504.0,2025-12-15T20:33:54.855856,0.627464,0.656257,-0.013617,0.009366,0.754357,-0.111402,-0.014837,0.056276,-0.000953,-0.002148,-0.000160,-0.214543,1.881797,97.952856
122546.0,2025-12-15T20:33:54.855856,0.627464,0.656064,-0.004820,0.018412,0.754465,0.135488,0.011610,0.071909,-0.000142,-0.003565,0.000479,1.230121,1.801184,98.000479
122591.0,2025-12-15T20:33:54.855856,0.627464,0.656167,-0.005356,0.017568,0.754392,0.118019,0.012739,0.033732,-0.000758,-0.003095,0.000632,1.116565,1.784278,97.984199
122626.0,2025-12-15T20:33:54.855856,0.627464,0.656336,-0.013743,0.009086,0.754289,-0.124991,-0.009372,0.058707,-0.000903,-0.002185,-0.000131,-0.248383,1.871628,97.940324
122667.0,2025-12-15T20:33:54.855856,0.627464,0.656498,-0.013095,0.009462,0.754155,-0.102729,-0.015082,0.079498,-0.000940,-0.002755,0.000476,-0.167524,1.843792,97.917598
122708.0,2025-12-15T20:33:54.855856,0.627464,0.656331,-0.005405,0.018517,0.754226,0.129200,0.020297,0.077886,-0.000949,-0.002100,-0.000968,1.194555,1.860173,97.959509
122750.0,2025-12-15T20:33:54.873474,0.645082,0.656526,-0.013590,0.009298,0.754124,-0.118531,-0.015616,0.054495,-0.000146,-0.003545,-0.000527,-0.218999,1.874223,97.912050
122795.0,2025-12-15T20:33:54.873474,0.645082,0.655560,-0.013691,0.010898,0.754941,-0.104580,0.015617,0.069647,-0.001575,-0.003088,-0.000419,-0.085797,2.003513,98.059048
122830.0,2025-12-15T20:33:54.873474,0.645082,0.655410,-0.003675,0.017510,0.755062,0.139733,-0.017926,0.089815,-0.001107,-0.002982,-0.000394,1.239580,1.633274,98.100307
122875.0,2025-12-15T20:33:54.883951,0.655559,0.655182,-0.004848,0.017010,0.755264,0.115655,-0.007772,0.056017,-0.000990,-0.002955,0.001223,1.108704,1.696950,98.133986
122917.0,2025-12-15T20:33:54.884997,0.656604,0.655342,-0.015162,0.009233,0.755124,-0.139459,0.009566,0.076696,-0.001775,-0.002134,-0.000006,-0.339888,2.005783,98.087199
122955.0,2025-12-15T20:33:54.899532,0.671139,0.655183,-0.005612,0.016187,0.755276,0.090572,-0.007589,0.073559,-0.000363,-0.002742,0.001304,0.980081,1.701222,98.132894
122998.0,2025-12-15T20:33:54.906798,0.678405,0.655851,-0.005656,0.015140,0.754717,0.075373,-0.021405,0.063715,-0.000812,-0.002086,0.001640,0.884706,1.627272,98.031081
123039.0,2025-12-15T20:33:54.952045,0.723653,0.655944,-0.016666,0.010333,0.754555,-0.149547,0.046696,0.055599,-0.000917,-0.002732,0.000919,-0.359506,2.218251,97.991394
123082.0,2025-12-15T20:33:54.997682,0.769289,0.655071,-0.016251,0.011449,0.755306,-0.135702,0.049711,0.057293,-0.000944,-0.002897,0.000735,-0.229162,2.266593,98.125731
123122.0,2025-12-15T20:33:55.027077,0.798684,0.654961,-0.004999,0.015233,0.755492,0.083012,-0.034124,0.083670,-0.000950,-0.002934,0.000694,0.943987,1.576276,98.166747
123160.0,2025-12-15T20:33:55.073100,0.844707,0.655061,-0.015779,0.010430,0.755339,-0.131963,0.040087,0.058413,0.000643,-0.002146,0.000683,-0.281898,2.149146,98.128330
123202.0,2025-12-15T20:33:55.112115,0.883723,0.654189,-0.015458,0.011720,0.756082,-0.119754,0.059312,0.072494,-0.001367,-0.002751,-0.000124,-0.143486,2.218372,98.262154
123245.0,2025-12-15T20:33:55.176149,0.947756,0.654091,-0.003462,0.014584,0.756267,0.102569,-0.053281,0.057265,-0.001053,-0.002093,0.000484,1.004787,1.393289,98.299581
123287.0,2025-12-15T20:33:55.192713,0.964320,0.653940,-0.004251,0.014523,0.756395,0.089407,-0.048181,0.053596,-0.000180,-0.002732,-0.000167,0.940564,1.456953,98.322017
123337.0,2025-12-15T20:33:55.244447,1.016055,0.654010,-0.020313,0.011694,0.756123,-0.186718,0.111118,0.078788,-0.000801,-0.002048,0.000514,-0.509661,2.637273,98.271767
123381.0,2025-12-15T20:33:55.292636,1.064244,0.653626,-0.019112,0.012212,0.756478,-0.162310,0.099997,0.069004,-0.000916,-0.002731,0.000640,-0.373268,2.572281,98.335042
123417.0,2025-12-15T20:33:55.321920,1.093528,0.653563,-0.006584,0.014010,0.756714,0.049419,-0.032029,0.072040,-0.000133,-0.002895,0.000670,0.722006,1.620398,98.376785
123460.0,2025-12-15T20:33:55.417968,1.189575,0.653607,-0.018351,0.013023,0.756500,-0.139407,0.100971,0.084013,-0.002339,-0.002137,-0.000119,-0.245691,2.567059,98.341242
123509.0,2025-12-15T20:33:55.417968,1.189575,0.654174,-0.016849,0.012675,0.756050,-0.118979,0.077338,0.072003,-0.000506,-0.001946,0.000478,-0.165038,2.410623,98.260395
123544.0,2025-12-15T20:33:55.477296,1.248903,0.654098,-0.004432,0.014238,0.756263,0.085102,-0.057149,0.044152,-0.000036,-0.003512,0.000631,0.901988,1.451398,98.297871
123590.0,2025-12-15T20:33:55.536916,1.308524,0.654627,-0.004735,0.013666,0.755813,0.075648,-0.056862,0.054038,0.000076,-0.003088,-0.000130,0.828718,1.435393,98.217209
123623.0,2025-12-15T20:33:55.539091,1.310698,0.654659,-0.016539,0.013758,0.755618,-0.107018,0.093767,0.054236,0.000104,-0.002982,0.000476,-0.049487,2.464895,98.188301
123663.0,2025-12-15T20:33:55.598107,1.369714,0.654629,-0.004584,0.012758,0.755829,0.062006,-0.063954,0.060659,-0.000688,-0.002955,0.000629,0.761401,1.354217,98.216837
123705.0,2025-12-15T20:33:55.655747,1.427355,0.653764,-0.005721,0.013547,0.756556,0.046135,-0.044665,0.051632,-0.001683,-0.002949,0.001465,0.746175,1.510999,98.347152
123737.0,2025-12-15T20:33:55.705358,1.476965,0.653787,-0.017535,0.013206,0.756360,-0.130590,0.106079,0.056827,-0.000338,-0.002947,0.000877,-0.169274,2.509977,98.316953
123778.0,2025-12-15T20:33:55.718378,1.489985,0.653863,-0.016323,0.013197,0.756321,-0.111251,0.074810,0.079181,-0.000798,-0.002947,0.000729,-0.079380,2.404196,98.309458
123818.0,2025-12-15T20:33:55.778145,1.549752,0.653777,-0.004300,0.014340,0.756539,0.081606,-0.058357,0.073293,-0.000914,-0.003747,0.001493,0.921420,1.447229,98.346631
123864.0,2025-12-15T20:33:55.778145,1.549752,0.653841,-0.017108,0.013096,0.756325,-0.126186,0.088764,0.060801,-0.000943,-0.003135,0.000057,-0.146871,2.464683,98.310229
123910.0,2025-12-15T20:33:55.838171,1.609779,0.653339,-0.016404,0.013621,0.756766,-0.102831,0.088971,0.071914,-0.000152,-0.002196,-0.000274,-0.046974,2.443107,98.388926
123943.0,2025-12-15T20:33:55.890236,1.661843,0.653288,-0.003621,0.013360,0.756983,0.083207,-0.075139,0.062916,-0.000762,-0.002768,0.000453,0.888050,1.314363,98.420758
123990.0,2025-12-15T20:33:55.890236,1.661843,0.653952,-0.003970,0.012922,0.756415,0.066923,-0.082574,0.054820,-0.000907,-0.002090,0.001441,0.822759,1.312561,98.319927
124029.0,2025-12-15T20:33:55.955043,1.726650,0.653974,-0.015706,0.014280,0.756219,-0.087630,0.094741,0.063728,-0.000941,-0.002731,0.000074,0.060511,2.431914,98.295158
124064.0,2025-12-15T20:33:56.009974,1.781581,0.653922,-0.003230,0.013567,0.756433,0.085210,-0.082796,0.078680,-0.000949,-0.002894,0.000533,0.934277,1.296728,98.324936
