t_ms,qw,qx,qy,qz,ax_mps2,ay_mps2,az_mps2,gx_deg,gy_deg,gz_deg,roll_deg,pitch_deg,yaw_deg,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
97009,0.881731,-0.055724,0.020744,0.467990,-0.862207,-0.781974,9.781260,-0.122070,0.183105,0.061035,-4.540467,5.091024,55.713425,0.008315,-0.008447,0.040626
97109,0.881390,-0.055829,0.021384,0.468591,-0.861010,-0.790356,9.800421,-0.183105,0.183105,-0.061035,-4.513474,5.164590,55.791054,0.022058,-0.021507,0.060547
97252,0.881042,-0.055890,0.022033,0.469207,-0.855022,-0.780776,9.790840,0.000000,0.061035,0.061035,-4.481273,5.236852,55.870827,0.040367,-0.017489,0.051653
97339,0.880678,-0.055976,0.022617,0.469852,-0.856220,-0.781974,9.794433,-0.122070,0.122070,0.000000,-4.454806,5.303832,55.954479,0.050589,-0.023267,0.055945
97414,0.880323,-0.056056,0.023248,0.470476,-0.862207,-0.771196,9.783655,0.000000,0.244141,0.000000,-4.425298,5.375190,56.035419,0.056766,-0.017593,0.045912
97493,0.879956,-0.056146,0.023818,0.471124,-0.862207,-0.783171,9.790840,-0.122070,0.183105,-0.061035,-4.399815,5.441060,56.119610,0.067994,-0.033980,0.053821
97566,0.880007,-0.056028,0.022834,0.471092,-0.866997,-0.779579,9.790840,0.000000,0.061035,0.000000,-4.440961,5.334866,56.115696,0.045102,-0.023263,0.052659
97677,0.879633,-0.056109,0.023404,0.471752,-0.861010,-0.793949,9.798025,-0.122070,0.122070,0.061035,-4.414439,5.400207,56.201576,0.062228,-0.042222,0.060537
97769,0.879259,-0.056205,0.023941,0.472410,-0.864602,-0.792751,9.793235,-0.122070,0.122070,-0.061035,-4.391208,5.463048,56.287075,0.069347,-0.045050,0.056460
97857,0.878900,-0.056300,0.024536,0.473035,-0.859812,-0.795147,9.784853,-0.061035,0.122070,-0.061035,-4.364736,5.531447,56.368427,0.085794,-0.052029,0.048852
97965,0.878557,-0.056391,0.025176,0.473629,-0.859812,-0.781974,9.778865,-0.122070,0.061035,-0.061035,-4.335627,5.604038,56.445797,0.098164,-0.043895,0.043690
98067,0.878180,-0.056466,0.025719,0.474290,-0.863405,-0.780776,9.793235,-0.061035,0.000000,0.000000,-4.309573,5.666293,56.532063,0.105179,-0.047203,0.058770
98158,0.877801,-0.056546,0.026269,0.474951,-0.852627,-0.783171,9.793235,-0.061035,0.122070,0.000000,-4.283556,5.729460,56.618431,0.126719,-0.054098,0.059508
98245,0.877446,-0.056641,0.026884,0.475561,-0.865800,-0.786764,9.790840,-0.061035,0.000000,0.061035,-4.255783,5.799725,56.698246,0.125516,-0.062499,0.057966
98327,0.877088,-0.056723,0.027495,0.476175,-0.876577,-0.773591,9.795630,0.000000,0.000000,0.000000,-4.226745,5.868821,56.778637,0.126507,-0.054347,0.063591
98415,0.876745,-0.056803,0.028150,0.476758,-0.865800,-0.761616,9.794433,-0.061035,0.000000,0.000000,-4.195191,5.942085,56.855289,0.149762,-0.047826,0.063284
98517,0.876371,-0.056870,0.028723,0.477404,-0.843047,-0.766406,9.807606,0.061035,0.000000,0.061035,-4.166390,6.006633,56.940071,0.183507,-0.057592,0.077245
98613,0.876008,-0.056940,0.029335,0.478024,-0.857417,-0.786764,9.794433,0.122070,0.000000,0.061035,-4.135732,6.075211,57.021622,0.180813,-0.083245,0.064928
98713,0.875627,-0.057012,0.029893,0.478679,-0.869392,-0.786764,9.794433,0.122070,0.061035,0.061035,-4.107856,6.138417,57.107872,0.179599,-0.088061,0.065735
98809,0.875259,-0.057085,0.030482,0.479306,-0.858615,-0.778381,9.798025,0.061035,0.000000,0.000000,-4.078588,6.204750,57.190548,0.201668,-0.084735,0.070189
98905,0.874889,-0.057170,0.031072,0.479933,-0.914898,-0.781974,9.790840,0.000000,0.061035,0.000000,-4.050314,6.271738,57.273277,0.156786,-0.093217,0.063908
98996,0.874506,-0.057261,0.031625,0.480583,-0.899330,-0.786764,9.778865,0.061035,0.122070,0.061035,-4.024404,6.335502,57.358959,0.183205,-0.102489,0.052818
99077,0.874566,-0.057105,0.030655,0.480556,-0.886157,-0.761616,9.795630,0.061035,0.122070,0.000000,-4.062269,6.229076,57.354664,0.178266,-0.070773,0.068048
99170,0.874203,-0.057178,0.031271,0.481167,-0.883762,-0.768801,9.794433,0.000000,0.000000,0.000000,-4.031299,6.297940,57.435417,0.192381,-0.083307,0.067762
99255,0.873822,-0.057274,0.031806,0.481812,-0.871787,-0.783171,9.792038,-0.061035,0.000000,0.000000,-4.006854,6.360028,57.520561,0.214922,-0.101909,0.066245
99343,0.873439,-0.057371,0.032324,0.482460,-0.838257,-0.775986,9.800421,-0.183105,0.061035,-0.122070,-3.983241,6.420520,57.606239,0.258745,-0.098812,0.075496
99429,0.873067,-0.057464,0.032888,0.483084,-0.851429,-0.790356,9.800421,-0.061035,0.061035,-0.122070,-3.956936,6.485225,57.688866,0.256581,-0.117733,0.076428
99529,0.872679,-0.057550,0.033421,0.483738,-0.861010,-0.784369,9.787248,-0.061035,0.122070,-0.061035,-3.931206,6.546531,57.775459,0.257429,-0.116194,0.064145
99620,0.872286,-0.057646,0.033931,0.484399,-0.862207,-0.786764,9.798025,-0.183105,0.122070,-0.061035,-3.907660,6.606081,57.863136,0.266361,-0.122664,0.075814
99726,0.871913,-0.057724,0.034532,0.485020,-0.883762,-0.796344,9.783655,0.000000,0.000000,0.061035,-3.877348,6.673561,57.945679,0.256282,-0.137478,0.062425
99820,0.871526,-0.057797,0.035079,0.485665,-0.870590,-0.783171,9.800421,0.061035,0.000000,0.000000,-3.849363,6.735460,58.031616,0.279980,-0.129137,0.080105
99908,0.871187,-0.057878,0.035779,0.486213,-0.863405,-0.784369,9.786050,0.061035,0.183105,-0.061035,-3.814298,6.812622,58.104954,0.300284,-0.136387,0.066891
100009,0.870803,-0.057952,0.036357,0.486850,-0.866997,-0.799937,9.787248,0.061035,0.061035,0.061035,-3.784467,6.877495,58.190037,0.307720,-0.157102,0.069073
100105,0.870405,-0.058021,0.036900,0.487510,-0.864602,-0.792751,9.786050,0.122070,0.122070,0.061035,-3.755838,6.938688,58.278236,0.320516,-0.154856,0.068814
100185,0.870046,-0.058094,0.037552,0.488092,-0.858615,-0.758024,9.782457,0.122070,0.244141,-0.122070,-3.722028,7.010687,58.356392,0.338740,-0.125959,0.066341
100273,0.870112,-0.057988,0.036574,0.488063,-0.856220,-0.778381,9.796828,-0.122070,0.183105,-0.061035,-3.766289,6.906584,58.350456,0.323442,-0.138670,0.079047
100353,0.869734,-0.058102,0.037136,0.488680,-0.853824,-0.775986,9.799223,-0.183105,0.122070,-0.061035,-3.741400,6.971902,58.432926,0.336939,-0.140584,0.082512
100443,0.869379,-0.058208,0.037792,0.489248,-0.849034,-0.768801,9.795630,-0.183105,0.305176,-0.122070,-3.710746,7.046109,58.509258,0.354339,-0.138698,0.080130
100543,0.868994,-0.058300,0.038348,0.489878,-0.839454,-0.775986,9.795630,-0.061035,0.122070,-0.061035,-3.683660,7.109624,58.593597,0.374711,-0.150562,0.081170
100631,0.868618,-0.058397,0.038953,0.490485,-0.846639,-0.789159,9.783655,-0.061035,0.183105,0.000000,-3.654336,7.178226,58.675186,0.379181,-0.168800,0.070333
100707,0.868233,-0.058490,0.039531,0.491108,-0.865800,-0.789159,9.777668,-0.122070,0.122070,0.000000,-3.625990,7.243966,58.758942,0.371187,-0.173695,0.065451
100794,0.867856,-0.058589,0.040123,0.491715,-0.865800,-0.789159,9.780063,-0.122070,0.061035,0.000000,-3.597375,7.311318,58.840599,0.382626,-0.178637,0.068995
100871,0.867917,-0.058492,0.039135,0.491699,-0.880170,-0.780776,9.782457,0.000000,0.000000,0.122070,-3.643581,7.206942,58.835960,0.350528,-0.162280,0.069633
100958,0.867550,-0.058574,0.039760,0.492286,-0.878972,-0.786764,9.790840,0.061035,0.000000,0.000000,-3.611546,7.276496,58.915237,0.363540,-0.173793,0.079170
