raw_line
=== RAM LOG DUMP BEGIN ===
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"120011,0.903643,-0.146563,0.102042,0.389276,-0.525757,-0.767334,0.359985,-0.002131,0.014914,0.007457,0.000000,0.000000,0.000000"
"120036,0.903536,-0.147375,0.102249,0.389164,-0.526245,-0.769653,0.354004,0.031958,0.009587,0.010653,0.000000,0.000000,0.000000"
"120061,0.903434,-0.148218,0.102448,0.389029,-0.523315,-0.771973,0.350342,0.026632,0.011718,0.005326,0.000000,0.000000,0.000000"
"120091,0.903177,-0.149131,0.102922,0.389150,-0.524414,-0.777710,0.354492,-0.028762,0.009587,-0.002131,-57.000000,3.000000,19.000000"
"120116,0.903054,-0.150153,0.103000,0.389022,-0.523804,-0.770142,0.356934,-0.015979,0.004261,0.001065,0.000000,0.000000,0.000000"
"120140,0.902932,-0.151111,0.103125,0.388902,-0.521973,-0.768433,0.352295,-0.001065,0.007457,0.005326,0.000000,0.000000,0.000000"
"120160,0.902809,-0.151964,0.103299,0.388808,-0.523560,-0.770996,0.354492,0.021305,0.007457,0.013848,0.000000,0.000000,0.000000"
"120212,0.902559,-0.152794,0.103838,0.388920,-0.522339,-0.768066,0.350586,-0.013848,0.010653,0.002131,-57.000000,4.000000,23.000000"
"120238,0.902470,-0.153659,0.103989,0.388745,-0.523193,-0.773193,0.353516,0.020240,0.006392,-0.004261,0.000000,0.000000,0.000000"
"120260,0.902360,-0.154588,0.104142,0.388591,-0.523193,-0.773315,0.350342,0.007457,0.011718,0.000000,0.000000,0.000000,0.000000"
"120286,0.902092,-0.155300,0.104699,0.388780,-0.524780,-0.769775,0.357666,0.013848,0.009587,0.014914,-58.000000,4.000000,16.000000"
"120309,0.901977,-0.156124,0.104857,0.388675,-0.524658,-0.774414,0.353760,0.025566,0.003196,0.011718,0.000000,0.000000,0.000000"
