# source_file=20251214_161105_glider_ble.csv
# total_time_s=17.213000
# distance_path_m=0.504189
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
43.531,43531.0,0.025000000000005684,0.687559,-0.160126,0.131213,-0.695992,-23.778515011041648,-2.4334800935801946,-90.18600307211271,-0.0007768481012658231,0.002801620253164557,-0.0047276835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.556,43556.0,0.02499999999999858,0.687934,-0.158243,0.130159,-0.69625,-23.53493365565843,-2.365370328164987,-90.19559476834763,-0.015493848101265823,-0.00039837974683544324,-0.0026606835443038074,-1.9421202531644473e-05,7.004050632910995e-05,-0.00011819208860758828,0.00013875238896695526,0.0,0.0,0.0,0.0
43.583,43583.0,0.027000000000001023,0.687571,-0.160051,0.131353,-0.695972,-23.783844892241845,-2.4159049303764073,-90.18702345891127,0.016694151898734178,0.0069846202531645574,-0.003157683544303805,-0.0004377551012658376,5.928425316455257e-05,-0.00019003054430379382,0.0004808905895585176,-5.243724683544207e-07,1.8910936708860402e-06,-3.1911863924050044e-06,3.746314502107934e-06
43.611,43611.0,0.027999999999998693,0.686541,-0.15995,0.131398,-0.697002,-23.77580876571049,-2.4387124499408217,-90.35294568520267,0.014416151898734178,0.002779620253164557,0.004119316455696201,2.9681151898697602e-05,0.00025485362025315107,-0.00027844568354429625,0.000378633513068536,-1.2781515303797302e-05,3.551052759493435e-06,-8.512041632910982e-06,1.7211251009745797e-05
43.638,43638.0,0.027000000000001023,0.686822,-0.15841,0.129897,-0.697358,-23.523744996958587,-2.43607535942173,-90.36489520064637,-0.014402848101265823,0.003606620253164557,0.0016003164556961935,0.00041891725316453517,0.0003299033670885969,-0.00016722413924049462,0.0005588307519813464,-1.1980124202532437e-05,1.0432100506328775e-05,-1.6030075088607265e-05,2.7434355862596656e-05
43.662,43662.0,0.02400000000000091,0.686767,-0.158879,0.132086,-0.696894,-23.74383277389595,-2.2935340874616204,-90.35643386770606,0.017341151898734176,-0.007843379746835443,0.005007316455696201,7.324889873414232e-05,0.0004164622531645496,-0.00012881654430378452,0.00044204062207338693,-1.9261101265832116e-06,1.8349781316455402e-05,-2.004345443037929e-05,4.0846293910149475e-05
43.688,43688.0,0.026000000000003354,0.68645,-0.160151,0.130165,-0.697276,-23.690357018696513,-2.5582682120904114,-90.35980621383369,-0.004624848101265823,0.024398620253164558,-0.0031286835443038036,0.0005241188481012891,0.00021253437974680175,1.3736835443334825e-06,0.000565573440426493,-2.1638759495265483e-08,2.9177799898735087e-05,-2.339268458227812e-05,5.233935008405902e-05
43.713,43713.0,0.02499999999999858,0.685408,-0.16005,0.130319,-0.698296,-23.691156738833374,-2.572366241520021,-90.52769969483245,-0.0014308481012658232,0.022208620253164557,0.0009823164556962,0.0004084976455696501,0.000822499886075881,-7.684340506325716e-05,0.0009215645923821621,1.3081332443036218e-05,3.4491159392404825e-05,-2.3358342493669783e-05,6.647868609472054e-05
43.737,43737.0,0.02400000000000091,0.685878,-0.157841,0.130987,-0.698212,-23.56345521099645,-2.334346244363448,-90.53417163488201,-0.012054848101265824,-0.016708379746835443,-0.008180683544303805,0.00037415729113926907,0.0013555067721518505,-5.326781012654746e-05,0.0014072063627833277,2.288527593670819e-05,5.423115665822672e-05,-2.5202584215188023e-05,8.859623631189327e-05
43.759,43759.0,0.021999999999998465,0.685428,-0.159995,0.131402,-0.698086,-23.776318220304663,-2.478661918277355,-90.52653793967539,0.009747151898734176,0.010399620253164557,-0.006881683544303803,0.00010895063291143942,0.0009879224177214963,-0.0002332428481012186,0.0010209129101146964,3.111673634177154e-05,8.405230564556535e-05,-2.6374476037971986e-05,0.00011955477629312433
43.785,43785.0,0.02599999999999625,0.685722,-0.158432,0.129998,-0.698416,-23.530398490316237,-2.4655055231141825,-90.53729682434104,-0.026345848101265824,0.0026046202531645572,-0.004191683544303805,0.00036237658227849146,0.0012583125443037357,-0.00041216662025309167,0.001372788610597727,3.3949452797468556e-05,0.00010973828850632054,-3.2438790088602795e-05,0.00014609851195610262
43.808,43808.0,0.02300000000000324,0.684661,-0.158272,0.130144,-0.699465,-23.525699997311943,-2.4760862179168948,-90.70985946300483,-0.032434848101265824,0.020235620253164558,-0.0024786835443038058,-0.00024357792405070783,0.001318218810126529,-0.0005085753417720928,0.0014337642465603803,4.2284114189875034e-05,0.00013867947702531053,-4.191862235442524e-05,0.00017767264999985478
43.834,43834.0,0.026000000000003354,0.684585,-0.158823,0.132359,-0.698999,-23.75514824754941,-2.3390201327792277,-90.70173152047039,0.004525151898734177,0.001089620253164557,0.0010203164556961963,-0.0010868839746837281,0.0018443449367088753,-0.0005730211139240001,0.0022161403874733808,3.595108816455581e-05,0.0001729531660886047,-5.514158124050136e-05,0.00021495052041042948
43.857,43857.0,0.022999999999996135,0.684523,-0.158866,0.13008,-0.699478,-23.569497859369086,-2.5310643575358256,-90.71006428295112,-0.020587848101265824,0.024803620253164557,-0.0015076835443038061,-0.0009828054810128595,0.0018694062025316558,-0.0005495538354429915,0.002182337183302078,1.0952756746834266e-05,0.0002153730996329017,-6.832106686075115e-05,0.00026592174932230865
43.88,43880.0,0.02300000000000324,0.684488,-0.159233,0.132313,-0.69901,-23.78523040566599,-2.37717320609904,-90.70211759229373,0.008245151898734177,-0.002578379746835443,-0.0136566835443038,-0.0014563259873420402,0.002439889468354521,-0.000584230556961984,0.0029009087098499304,-1.1651769316464687e-05,0.00025836944229113584,-8.096080507594173e-05,0.0003161155045382635
43.907,43907.0,0.026999999999993918,0.683444,-0.159096,0.132461,-0.700033,-23.782831244688513,-2.3890982802226555,-90.87078355856615,0.03350415189873418,-0.0035903797468354428,0.009173316455696204,-0.0012337068860762677,0.00237027321518998,-0.0009529610126581035,0.002836963603405127,-5.0972570974690914e-05,0.00032424645793669305,-9.673503011391175e-05,0.00039444003970419395
43.931,43931.0,0.02400000000000091,0.68371,-0.157678,0.130809,-0.700405,-23.52836140329158,-2.407479249625642,-90.88066422524516,-0.013725848101265823,0.004881620253164557,0.0040213164556962,-0.00042960724050661694,0.002284104101265926,-0.0007328014177213863,0.0024369431352270015,-8.058153624052247e-05,0.00038113301510125474,-0.0001196060944177071,0.0004625271661859196
43.951,43951.0,0.020000000000003126,0.683339,-0.159552,0.131978,-0.700124,-23.780368802608884,-2.4668262395089373,-90.87079680913926,0.021250151898734176,0.008533620253164557,0.0027493164556961908,-0.0007041242025319763,0.0023817365063292326,-0.0006523750886074497,0.0025678888088093393,-8.917368105065615e-05,0.0004268150971265804,-0.0001342621227721371,0.0005112660288904672
