# source_file=20251215_041718_glider_ble.csv
# total_time_full_s=18.989000
# cut_tail_seconds=5.000000
# cut_time_s=13.989000
# note=NO_ZUPT; cut last N seconds to remove end-peak region
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,1422294.0,0.0400000000000027,-0.3022739962321547,-0.005312999933773457,-0.016641999792557476,-0.9530609881200949,2.001957750192809,-0.0038009085288084406,144.8059155555382,0.018442,0.092635,0.01028,0.016403122448979592,0.11643785714285715,-0.019475857142857142,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049,1422343.0,0.049,-0.3017540334679944,-0.005251000582396383,-0.016526001832923753,-0.9532281057239649,1.9871363806141937,-0.002132964666919998,144.868539127181,0.013904,0.084545,0.024407,0.013303413840285978,0.11091193324591325,-0.0098263235344361,-0.0030071263804696785,-0.0053608753675627495,0.009361320929240888,0.22854967399653814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.091,1422385.0,0.041999999999999996,-0.3016889909671301,-0.006982999790922007,-0.0036139998917932314,-0.9533739714550304,0.636286351365004,-0.6379565676813435,144.877184429943,-0.027325,-0.15806,0.040954,-0.014378472587906954,-0.048150015593253326,0.0038140288733952508,-0.029899971158886065,-0.16019536803921205,0.022410279981063676,3.7546056791410916,0,-0.00012629930797972648,-0.00022515676543763546,0.00039317547902811725,0.00047035522908487546,-2.652285467574256e-06,-4.728292074190344e-06,8.256685059590461e-06,0.0
0.133,1422427.0,0.04200000000000001,-0.3017388981119943,-0.005042998297133574,-0.0164879944325081,-0.9532346781217772,1.975789356995057,0.019240887250237277,144.87078899270907,0.01436,0.089182,0.025261,0.002943816533085392,0.05639182667637754,-0.0015766493615386795,-0.012254298713463578,-0.0542226244218286,0.016582012739144312,2.5616614379148603,0,-0.001381217088622636,-0.006951791629218265,0.0013316646202415788,0.007211691768425455,-3.4310129796223874e-05,-0.0001554442083619643,4.4478327144254086e-05,1.9754919621564776e-05
0.177,1422471.0,0.043999999999999984,-0.30136188621827975,-0.0050249981027696115,-0.016277993854106217,-0.9533576400517875,1.9522264194872259,0.013171910123322276,144.9161286121057,0.022693,0.103695,0.015992,0.014620401149728075,0.10327275495838348,-0.009611799266626364,-0.0005621722735170056,-0.0071441878138464214,0.008316932782668823,1.1183565460367448,0,-0.001910314355472308,-0.009286793768356857,0.0020515433598295558,0.009700653049665064,-0.00010672382156631262,-0.0005126930871086168,0.00011890890270581902,0.00033706935743228473
0.211,1422505.0,0.034,-0.30131106368812627,-0.00686300145063277,-0.004367000923053083,-0.9534912015394565,0.7141686622279733,-0.5990939606484712,144.9223367313504,-0.022384,-0.14707,0.04182,-0.008776765352686698,-0.032484074001994934,0.0033777765027060425,-0.023458205126663936,-0.13991209839505445,0.020860861512920718,3.979716799371801,0,-0.00191863371139671,-0.009477219812730017,0.0023227265386068733,0.009944541682272691,-0.00017181593870308593,-0.0008316813179870937,0.00019327149097923834,0.0006668915611208969
0.26,1422554.0,0.049000000000000016,-0.30136705442131967,-0.006842001235538958,-0.004680000845121649,-0.9534721721794506,0.7476790623037356,-0.5859466154752291,144.91547215495564,-0.023158,-0.143386,0.022041,-0.019992623249753698,-0.09197762480400021,-0.004199114639699563,-0.03363841663835437,-0.19344979280742156,0.012887204179940394,1.1240249864713003,0,-0.0030524807279158073,-0.016255830519330907,0.0033260170653954552,0.016871041876150072,-0.00029360824246624267,-0.0014621410511225866,0.0003316657092772954,0.0011541741035522588
0.298,1422592.0,0.03799999999999998,-0.301415962969092,-0.0048009994101660515,-0.016383997987119474,-0.9533398828760058,1.9560706670766412,0.041415033439091115,144.91008838553591,0.012856,0.095566,0.058197,-0.0007163746984304789,0.04025220131309315,0.01622240141047003,-0.014027251958098863,-0.05979235811946051,0.032531983210214624,3.5923534684472838,0,-0.004311469272390471,-0.023504294385260444,0.003794732614006485,0.024195880175095046,-0.00043352329247206187,-0.002217583424309822,0.0004669599531859322,0.0017952736948459612
0.334,1422628.0,0.03600000000000003,-0.3013498948564786,-0.008253997120110749,-0.005023998247084614,-0.9534646673281313,0.8340421821848993,-0.7283536279271952,144.91560978804543,-0.001554,-0.134526,0.017525,-0.0024794052323736113,-0.05228173843427855,-0.0012168177352812268,-0.015441014962027528,-0.148956970570819,0.014758925044892759,2.5258247088547554,0,-0.004790658978714238,-0.02551621574366151,0.004943183782671522,0.026428445759005232,-0.0005973616009919468,-0.003099952606630418,0.0006242424483261364,0.0026663253811493835
0.381,1422675.0,0.046999999999999986,-0.3009478358990583,-0.008099995583231562,-0.005475997014046424,-0.953590480025848,0.8778171865802572,-0.6962856752492581,144.96385490583305,0.003663,-0.123939,0.054377,0.0002862342971866865,-0.08453399620186715,0.016197097979810213,-0.012311796138437725,-0.17601143962895824,0.03124999797771231,0.6774154652147607,0,-0.005479006450310959,-0.032318097148723426,0.005598282917882709,0.03325386724315733,-0.0008386987385740389,-0.0044590589596014635,0.0008719669157891607,0.003908462331822629
0.413,1422707.0,0.03199999999999997,-0.30102391661578465,-0.004579998731331367,-0.01679199534858435,-0.9534577358903369,1.993053268344307,0.07883408854226846,144.95766618178192,0.000104,0.101792,0.061789,-0.001012271863228586,0.038311510551596054,0.02545516476578859,-0.01334204457582403,-0.05211803755452974,0.03970965478136918,3.880817493345276,0,-0.005843840344306851,-0.037778558851175516,0.006568504822939667,0.03878808108749983,-0.0010198642872879236,-0.005580605455599846,0.0010666355196423186,0.004972586083603662
0.453,1422747.0,0.040000000000000036,-0.3009598940842565,-0.004629998370581165,-0.016507994190400405,-0.9534826644442422,1.9637435731316308,0.06344030650050493,144.96523942195225,0.011363,0.09857,0.036004,0.0055780909527779424,0.09190803136003392,0.013208994663371137,-0.006586153664085466,0.0014422359119425107,0.026790174164210336,1.3877269938715748,0,-0.006338692766725488,-0.039612260955376254,0.008113246624984638,0.04092841329425792,-0.0012635149495085706,-0.007128421851730883,0.001360270548600805,0.006524109327103657
0.499,1422793.0,0.045999999999999985,-0.300899977981645,-0.00733799946304191,-0.004890999642101115,-0.9536149302192302,0.7875614648608611,-0.6332371560990969,144.97091001241054,-0.009965,-0.134496,0.034309,-0.006188168418565157,-0.04367735342000201,0.007416298731172879,-0.017836879895671093,-0.1303749665271979,0.020407643213639214,2.879355039706888,0,-0.006593245002709881,-0.039243385293721955,0.009283630910204923,0.04086196240826159,-0.001560949518205584,-0.008942101715460142,0.0017603987319101647,0.00840681633863952
