# source_file=Ens1.csv
# total_time_full_s=19.109000
# cut_tail_seconds=5.000000
# cut_time_s=14.109000
# note=BOOST: LPF+Hampel + online bias + adaptive leak + soft-ZUPT damping (no z=0)
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_clean,ay_clean,az_clean,bias_x,bias_y,bias_z,ax_used,ay_used,az_used,p_stationary,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,201835.0,0.02500000000000213,0.5658752260906817,0.0005100002037662871,-0.013854005535251257,-0.8243743293718219,1.3420783785361405,-0.8502097487291141,-111.07621775136083,-0.000536,0.016837,0.032139,-0.0027093924050632903,0.018687569620253166,-0.0027630126582278494,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.0027067147030655652,0.018669100629784576,-0.0027602819631462323,0.9883035003423135,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027,201862.0,0.027,0.5658881046887431,0.0014730002725036025,-0.011527002132484065,-0.824400152513218,1.1846171475113647,-0.6083381089689683,-111.07300668141929,0.007292,-0.028167,0.029603,0.001540129336207776,-0.005743380359839206,-0.004139710044004986,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.0015411509884516684,-0.00575566457867926,-0.00413253871346946,0.9938892964090074,0.9198504736627328,0,-7.308129698277026e-05,0.0005040657170041835,-7.452761300494828e-05,0.0005147596411217965,-9.865975092673985e-07,6.804887179556477e-06,-1.0061227755668018e-06,0.0
0.051,201886.0,0.023999999999999997,0.565885045272503,0.0013160001052839605,-0.01383200110660163,-0.824367065951841,1.39224746765203,-0.7726518970985898,-111.0742488006013,0.003993,-0.004412,0.026714,0.0016836464936216937,-0.004109391303756498,-0.00621858689899538,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.0016830546867256154,-0.004117728065609103,-0.006205466702360805,0.9976366017608433,0.11033602706370708,0,-3.240210006318565e-05,0.00034046777386842724,-0.00016994391082109328,0.0003819019952246845,-2.2523982738188693e-06,1.6939289070027804e-05,-3.9397810614793e-06,1.2354231386923116e-05
0.077,201912.0,0.026000000000000002,0.5665659806047472,0.0013409999540935494,-0.01366499953220608,-0.8239019717953644,1.3774595194828636,-0.7605976111267946,-110.97950188578974,-0.001542,0.01254,0.051327,-0.0011966432382377156,0.005760003692120224,0.005861350957011591,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.0011959936865822357,0.005745703288492662,0.005868380181758817,0.996975486755213,0.610104663066175,0,1.3125124925899914e-05,0.00021483150501569372,-0.00032201419610956167,0.0003873215549743078,-2.502998950603584e-06,2.4158179695521377e-05,-1.0335236451577815e-05,2.2283683262764913e-05
0.099,201934.0,0.022000000000000006,0.5665589975462331,0.003710999983927659,-0.013267999942536293,-0.8239059964316632,1.4938247838194758,-0.5110381015414748,-110.97794157975116,-0.023652,-0.023867,0.034793,-0.013308306986039816,-0.007899594987158084,0.002925309176323282,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.013296040812389165,-0.007906987132760716,0.0029297786818310305,0.99196322702054,0.8404757804445462,0,-1.3791264826086694e-05,0.000331342077326804,-0.00017807821660662977,0.0003764168200579549,-2.5103264895056386e-06,3.0166089101288853e-05,-1.5836252991455922e-05,3.080475747219969e-05
0.127,201962.0,0.027999999999999997,0.566610069176011,0.0014140001726317564,-0.013448001641833001,-0.8238751005848575,1.3616650373782095,-0.7396877011877067,-110.97324036951173,0.004553,0.002097,0.021593,-0.00465058922741131,-0.0013614788544149105,-0.006033955340371639,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,-0.004633142670798259,-0.0013673421552337663,-0.006022751710196651,0.9972013327022694,0.5025083256917859,0,-0.0003852715911272581,9.051421549774027e-05,-8.560065857096929e-05,0.00040491294729198785,-8.097206472852466e-06,3.6072077200832474e-05,-1.952775724394231e-05,4.1344428433822425e-05
0.148,201983.0,0.02099999999999999,0.5666421330133066,-0.0006760001586839577,-0.014210003335649469,-0.8238411933880925,1.297907937041807,-0.9865564082307923,-110.97039548801504,0.018574,0.025621,0.03358,0.0054571225790131465,0.012482681501029661,-0.0037715206160456975,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.0054700075179317225,0.012466422044227961,-0.0037571837477884716,0.9919497079667745,0.8233348822465141,0,-0.0004656112823962449,5.781638165416322e-05,-0.00020831104794520624,0.0005133518218320508,-1.703147664484924e-05,3.762954847092746e-05,-2.261383016236215e-05,4.984760032695416e-05
0.176,202011.0,0.027999999999999997,0.5672401303208823,-0.0006610001518618278,-0.014058003229763352,-0.8234321891798618,1.2838185067947667,-0.9762014283142669,-110.88712980255974,0.013779,0.026974,0.040584,0.008850298111443231,0.021501308817555666,0.001445603897558127,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.008853425134417541,0.021461395408835182,0.0014583334449244849,0.9829905239157937,0.3913406885485713,0,-0.00028564133664716864,0.00040354715180178466,-0.00030151771539620046,0.0005790977548105828,-2.754901331145703e-05,4.4088637939310734e-05,-2.9751432849141844e-05,6.422145133825158e-05
0.2,202035.0,0.02400000000000002,0.5678342577167469,-0.0026100011845727965,-0.011995005444042414,-0.8230513735493582,0.9616751643750112,-1.0267196947976507,-110.80398077538607,-0.004016,-0.000678,0.032881,0.0011271441132370205,0.011062132343955785,-0.0003345666108497346,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.0011292662704031058,0.011012419648512014,-0.00032155093473908424,0.9260921414041772,0.5461235236335532,0,-5.99705650669413e-05,0.0008999881521494031,-0.00025259610373037927,0.0009366856112397125,-3.169635613202635e-05,5.9731061586725e-05,-3.640079867866081e-05,7.811979745370558e-05
0.222,202057.0,0.021999999999999992,0.5685029904394853,-0.0008299999860418904,-0.012748999785600073,-0.8225819861666389,1.1478831529373126,-0.9088164991511931,-110.71083953867794,0.134035,0.007231,0.021576,0.06541834506762745,0.010088152318480986,-0.006723361472405308,5.0790371031722605e-05,0.003444694209196797,-0.0008354382087768647,0.06537379419630181,0.010031277883012819,-0.006705558423568266,0.8107177253062802,2.937054470180558,0,-3.292288131936243e-05,0.0011091882075001795,-0.00025038770695578474,0.0011375747885595945,-3.271818404227569e-05,8.18320015428704e-05,-4.193362059620861e-05,9.872688090097925e-05
