# source_file=Ens1.csv
# total_time_full_csv_imu_s=19.109000
# timebase_used=t_imu_ms(rel)
# note=NO_ZUPT + SMART_TRIM_START_STOP
t_used_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,jerk_mag,jerk_isolated,gx_rads,gy_rads,gz_rads,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,201835.0,0.02500000000000213,0.5658752260906817,0.0005100002037662871,-0.013854005535251257,-0.8243743293718219,1.3420783785361405,-0.8502097487291141,-111.07621775136083,-0.000536,0.016837,0.032139,-0.0027093924050632903,0.018687569620253166,-0.0027630126582278494,0.0,0.0,0.0,0.0,0,-0.012783,0.001065,0.002131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027,201862.0,0.027,0.5658881046887431,0.0014730002725036025,-0.011527002132484065,-0.824400152513218,1.1846171475113647,-0.6083381089689683,-111.07300668141929,0.007292,-0.028167,0.029603,0.001540129336207776,-0.005743380359839206,-0.004139710044004986,0.0041786329041292964,-0.02402340255715826,-0.00135373186572201,0.9045058926975452,0,-0.017044,0.003196,0.001065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051,201886.0,0.023999999999999997,0.565885045272503,0.0013160001052839605,-0.01383200110660163,-0.824367065951841,1.39224746765203,-0.7726518970985898,-111.0742488006013,0.003993,-0.004412,0.026714,0.0016836464936216937,-0.004109391303756498,-0.00621858689899538,0.0042579418117108135,-0.022056804721831847,-0.0033816151653804343,0.11774875873494914,0,-0.007457,0.0,0.001065,0.0001002871896991031,-0.0005765616613717982,-3.248956477732824e-05,0.0005861198184680093,1.203446276389237e-06,-6.9187399364615774e-06,-3.898747773279388e-07,0.0
0.077,201912.0,0.026000000000000002,0.5665659806047472,0.0013409999540935494,-0.01366499953220608,-0.8239019717953644,1.3774595194828636,-0.7605976111267946,-110.97950188578974,-0.001542,0.01254,0.051327,-0.0011966432382377156,0.005760003692120224,0.005861350957011591,0.0013555081172673443,-0.011991512990549139,0.008558508484251522,0.610922248506607,0,-0.008522,0.002131,0.002131,0.00021056003920824038,-0.0011475455557361488,-0.00012027107556396044,0.0011728859553334563,5.244460252184703e-06,-2.9332133758864888e-05,-2.3757631017646917e-06,1.5239115280168242e-05
0.099,201934.0,0.022000000000000006,0.5665589975462331,0.003710999983927659,-0.013267999942536293,-0.8239059964316632,1.4938247838194758,-0.5110381015414748,-110.97794157975116,-0.023652,-0.023867,0.034793,-0.013308306986039816,-0.007899594987158084,0.002925309176323282,-0.010609500424727398,-0.02530137062940899,0.005545806971231403,0.8249594407551607,0,-0.008522,0.006392,0.002131,0.00023961057801401273,-0.0014071588791271118,6.845629753165872e-05,0.0014290540944534682,1.0196337041629488e-05,-5.7433882542360756e-05,-2.945725660120011e-06,4.1042606297504285e-05
0.127,201962.0,0.027999999999999997,0.566610069176011,0.0014140001726317564,-0.013448001641833001,-0.8238751005848575,1.3616650373782095,-0.7396877011877067,-110.97324036951173,0.004553,0.002097,0.021593,-0.00465058922741131,-0.0013614788544149105,-0.006033955340371639,-0.0019180387657229956,-0.018438861109297242,-0.0033544431001811983,0.5074068654076493,0,-0.002131,0.008522,0.002131,-5.857101153665094e-05,-0.002109045813904263,0.0002234201742591613,0.0021216553402486267,1.2730890972312552e-05,-0.0001066607482448,1.1405449449514686e-06,8.105612094220138e-05
0.148,201983.0,0.02099999999999999,0.5666421330133066,-0.0006760001586839577,-0.014210003335649469,-0.8238411933880925,1.297907937041807,-0.9865564082307923,-110.97039548801504,0.018574,0.025621,0.03358,0.0054571225790131465,0.012482681501029661,-0.0037715206160456975,0.008083020103087809,-0.004534864624813254,-0.0010777873073699997,0.822756632883886,0,-0.001065,0.013848,0.001065,-9.864518540572849e-05,-0.002488893139698738,0.00015219626539888907,0.0024954926641135495,1.1080120904417568e-05,-0.00015493910725763148,5.084517561360996e-06,0.00012561088308742254
0.176,202011.0,0.027999999999999997,0.5672401303208823,-0.0006610001518618278,-0.014058003229763352,-0.8234321891798618,1.2838185067947667,-0.9762014283142669,-110.88712980255974,0.013779,0.026974,0.040584,0.008850298111443231,0.021501308817555666,0.001445603897558127,0.011277786453519557,0.004406243998568126,0.0040677732023436915,0.38569237439100157,0,-0.011718,0.009587,0.001065,0.0001281386492117583,-0.002604281573714026,0.00012130962622728728,0.0026102524885580746,1.1493029397701985e-05,-0.00022624355324541015,8.913600044127464e-06,0.00019548467768260193
0.2,202035.0,0.02400000000000002,0.5678342577167469,-0.0026100011845727965,-0.011995005444042414,-0.8230513735493582,0.9616751643750112,-1.0267196947976507,-110.80398077538607,-0.004016,-0.000678,0.032881,0.0011271441132370205,0.011062132343955785,-0.0003345666108497346,0.0035018261608757975,-0.0059433094795172175,0.002253618921230571,0.544655171594647,0,-0.03835,0.0,0.057524,0.000398293993243128,-0.0024881353979548776,0.00021845191376296022,0.002529264142440709,1.7810221107160627e-05,-0.00028735255690543707,1.299073852401044e-05,0.00025813073740799575
0.222,202057.0,0.021999999999999992,0.5685029904394853,-0.0008299999860418904,-0.012748999785600073,-0.8225819861666389,1.1478831529373126,-0.9088164991511931,-110.71083953867794,0.134035,0.007231,0.021576,0.06541834506762745,0.010088152318480986,-0.006723361472405308,0.06686870055423459,-0.006822975462797998,-0.004078794729471524,2.8949350344804814,0,-0.042611,0.001065,0.071373,0.00047387643162516413,-0.002609781748753568,0.0002672320063687101,0.002665883079545102,2.7404095780711837e-05,-0.00034342964551922994,1.833326164545881e-05,0.0003137745485416913
0.251,202086.0,0.028999999999999998,0.5683249412752711,0.0010029998963605278,-0.014207998531894694,-0.8226809149927969,1.4050296436784642,-0.8307733438547025,-110.735154356676,0.19644,-0.009326,0.000499,0.008850298111443231,0.00024317475915069595,-0.0003345666108497346,0.01011632169885365,-0.01636967724699959,0.0022686622977962975,1.9965077213345828,0,-0.002131,-0.004261,-0.014914,0.002410783871178138,-0.002795064526703097,0.00014765845424533617,0.0036940584187417475,6.92316701713597e-05,-0.0004217999165133516,2.4349173324362482e-05,0.00039108515784849925
0.276,202111.0,0.025000000000000022,0.5689261887603535,0.0011810003918365085,-0.014250004727917228,-0.8222642728137637,1.4199844885605886,-0.8177653278278811,-110.65126960766752,-0.013884,0.01735,0.046505,0.0571482798149717,0.010171335839145798,-0.004515515446424711,0.057510923921910935,-0.006341897868241074,-0.001882712951886356,1.9448552010325313,0,0.012783,0.006392,-0.005326,0.0026536678787612822,-0.003192684584733257,0.00020376104810993764,0.004156525788815658,0.0001325373170456025,-0.0004966467804063061,2.874191710380341e-05,0.00048343661831704303
0.299,202134.0,0.022999999999999965,0.5688485923328115,0.0032689976572622273,-0.015567988843150306,-0.8222884107043437,1.6803888681242678,-0.7067922656632604,-110.66038797120238,-0.03279,-0.001043,0.044967,0.010827023350195163,0.0054624709792676545,0.002816749756883087,0.011030265492359864,-0.010893339525162787,0.005371920870565326,2.0549156984161234,0,0.008522,-0.001065,-0.004261,0.003966266207628501,-0.0033263330388798584,0.00015967906136539665,0.005178924262620377,0.00020866655903908492,-0.0005716154830778568,3.292147836276975e-05,0.000579036711459803
0.321,202156.0,0.02200000000000002,0.5688183712516608,0.0015070009835769134,-0.014122009217035944,-0.8223405367184067,1.429272472004262,-0.7785120569876288,-110.66598034450303,0.015393,0.0002,0.03419,0.012003622927555416,0.0037846024963357297,0.0010814125894042538,0.012040430111863948,-0.012399805402832986,0.0035870005667196464,0.11567098976077639,0,0.010653,-0.007457,-0.006392,0.004194415701931431,-0.003553812287003137,0.0002772769027135662,0.005504506093433074,0.00029843406004424424,-0.0006472970816625698,3.7727993967638346e-05,0.0006929730452374513
0.347,202182.0,0.025999999999999968,0.5687561443036897,0.003896000988485704,-0.014094003575902852,-0.8223762086516734,1.5823767934990698,-0.551431415375967,-110.67207538520826,-0.02732,-0.017635,0.041053,-0.010134285209106784,-0.006655123075770852,0.003785939150177031,-0.009935174219037208,-0.02247241526645017,0.00619039902458068,0.9351473151543906,0,0.017044,-0.009587,-0.003196,0.004489330407545881,-0.003860840692438139,0.0003693399837689319,0.00593267143739755,0.00041132275946744915,-0.0007436875703953063,4.613401349191081e-05,0.000836090203666711
0.379,202214.0,0.03200000000000003,0.5692709629504238,0.0038839997472195948,-0.014211999075047601,-0.8220179465010188,1.592366823617231,-0.5612510333466126,-110.60037967540532,-0.042134,-0.005275,0.032161,-0.03011256331801885,-0.004766395872959287,-2.984668644739853e-05,-0.02932386111731852,-0.020177985591331608,0.0023278097949905124,0.6219497306936923,0,0.009587,-0.004261,-0.010653,0.004147525471927639,-0.0045594216428518795,0.0005654681828181349,0.006189511089203602,0.0005495124535390256,-0.0008784117677599467,6.109094415730389e-05,0.0010259356896634329
0.4,202235.0,0.02100000000000002,0.5692921342823674,0.001506000355229382,-0.01437800339142633,-0.8220081938920276,1.4528803976575848,-0.7961320950279409,-110.60004361568934,0.009791,0.006778,0.030493,-0.01199645822367881,0.001665183861199045,-0.0021324989949502303,-0.011061799023478366,-0.01356738838492368,0.00022222529282863303,0.9302626764828897,0,-0.004261,0.002131,-0.001065,0.0035172334232941075,-0.004967229258425045,0.0006123765093284838,0.006117131880944562,0.000629992421938854,-0.0009784416022233546,7.34583134248434e-05,0.0011559154225367087
0.427,202262.0,0.02699999999999997,0.5692808142690335,0.0032449989413014203,-0.01275899583730811,-0.8220377318057125,1.413769315173059,-0.5266633428971079,-110.5994408006133,-0.005963,-0.022524,0.045599,-0.009900976156874526,-0.010461595250549412,0.004832138347569162,-0.008816744411526203,-0.025265547579876476,0.0070669742417978675,0.508821747330312,0,0.008522,0.001065,0.0,0.0032027728578858375,-0.005311246430996313,0.000615627088965021,0.006232663101969241,0.0007207125067347831,-0.0011172010240305427,9.003636200180569e-05,0.0013210779833222118
0.449,202284.0,0.02200000000000002,0.5692820264496975,0.0016860000783340944,-0.014594000678059178,-0.8220110381918668,1.4849841971915165,-0.7932500692672282,-110.601367249227,-0.000104,0.02421,0.042036,-0.006151931399071003,0.007498885700419053,0.005964117110565204,-0.004998603913458682,-0.007205465425030143,0.008087164073727362,0.8403383217686569,0,0.021305,0.002131,-0.001065,0.002997082483814188,-0.005847649567287904,0.0007688473562870778,0.006615786811397255,0.0007889109154934834,-0.0012399488800116693,0.0001052655808995788,0.0014581965715655353
0.478,202313.0,0.02899999999999997,0.5700481412037923,0.001910000473116726,-0.01483100367371422,-0.8214752034835404,1.5211928717106387,-0.7890299982633782,-110.49441864973596,-0.022999,0.007572,0.033711,-0.016813538144658566,0.008577175098852679,0.0019534267395754984,-0.015379968600120086,-0.0060175291985633,0.00400352453184297,0.3868529650653476,0,0.028762,0.0,-0.005326,0.002837672022907545,-0.006028412618922031,0.0009996679849828215,0.006737468166438354,0.0008735148558409485,-0.001412151781711713,0.0001309090533479923,0.0016500543890960555
0.506,202341.0,0.028000000000000025,0.5700728818792009,0.0020939995661170526,-0.012534997402711202,-0.8214958297836172,1.3169857846549233,-0.6217459153974794,-110.4901078290487,-0.008889,0.009935,0.030383,-0.0136396429564139,0.010347797579057842,-0.0016185300827774164,-0.011995045548811934,-0.0041734829710838375,0.0004241064393151372,0.18786679915932455,0,0.010653,0.003196,0.001065,0.002393821283750072,-0.00616883638498348,0.0011071124229718743,0.006708995498607042,0.0009467557621341552,-0.0015829132677663905,0.00016040397905935807,0.0018387034977563296
0.531,202366.0,0.025000000000000022,0.5701117733729185,-8.09999678014257e-05,-0.011918995262039418,-0.8214806734504072,1.1168758253318196,-0.7863175184171565,-110.48597415926656,0.026118,0.009221,0.036497,0.006043572816568286,0.010726843616914445,6.44183844595908e-05,0.0075692723717890875,-0.0037357558180591355,0.002074469220240122,0.7855472875059857,0,0.009587,0.004261,0.001065,0.0020839916405488044,-0.006247523448953996,0.0011131117125427797,0.006679340393160634,0.0010027284236878912,-0.001738117765690609,0.00018815678075329126,0.002006428385221506
0.555,202390.0,0.02400000000000002,0.5700841084100549,0.002267000431104178,-0.012365002351390895,-0.8214901562186905,1.312271128277206,-0.5943710421883218,-110.48834104979132,-0.020216,-0.008699,0.035238,-0.008557270783989379,0.0017016214896433297,0.00020387397206993708,-0.006927112828263646,-0.012571405614811265,0.0021810355663506352,0.7073832446669556,0,0.002131,-0.001065,0.0,0.0022573348606356393,-0.006312241408405528,0.001158455420010744,0.006803085419953405,0.0010548243417021045,-0.0018888349439789235,0.00021541558634393358,0.0021667325546573615
0.583,202418.0,0.027999999999999914,0.5703489138710467,0.00222599966384959,-0.012335998137128726,-0.8213068759736367,1.3066696052393376,-0.596757139984271,-110.45143258441433,-0.019913,-0.000791,0.029099,-0.016023611572168587,0.001347291164673276,-0.0031111574034999334,-0.014144608663910766,-0.012702266004622554,-0.001114390428826417,0.28340405970497834,0,-0.003196,0.0,0.001065,0.0020528660137723227,-0.006634852265549181,0.0012141308852681681,0.007050506170675027,0.0011151671539438158,-0.002070094255414289,0.00024863179461783824,0.002357218946416056
0.603,202438.0,0.020000000000000018,0.5703333039292728,0.0024680013151920817,-0.01490400794231069,-0.8212744376552112,1.5642554267208455,-0.7418115001249499,-110.45410344415839,-0.013427,0.013211,0.032664,-0.015825551387094055,0.007765366573814667,-0.002702538835895181,-0.013773466000430548,-0.0062062011714534085,-0.000697012938315785,0.32600156887267023,0,0.02024,0.001065,0.0,0.0017631423459312605,-0.006866818230791728,0.0011878027114239369,0.0071883752564829055,0.0011533272375408518,-0.002205110960377698,0.0002726511305847593,0.002498229069829557
0.631,202466.0,0.028000000000000025,0.5703771738683856,0.002035000620330351,-0.013016003967675601,-0.821277250350393,1.3581804398787856,-0.6592290555511103,-110.44784468010337,-0.002993,-0.002032,0.029745,-0.009943062064856303,0.0033797533838694615,-0.004057093738014975,-0.007754551483153191,-0.01040869503422199,-0.0020160987782164635,0.2663727298956268,0,0.04048,0.003196,0.002131,0.0013692764691361848,-0.007008621367693003,0.001162756183586989,0.00723517059004712,0.001197181100951796,-0.0023993671147564846,0.0003055589551149123,0.0026995035770110785
0.653,202488.0,0.02200000000000002,0.5704149102477879,0.0004969999217993051,-0.011295998222625654,-0.8212788707754757,1.0957176356928011,-0.6916032412776406,-110.44319812574516,-0.023543,0.006659,0.045186,-0.017699902331877283,0.0059024397339657066,0.0029954102540396084,-0.015299901099832282,-0.007778486604091322,0.004967736158783925,0.4823844178162206,0,0.006392,-0.002131,0.001065,0.0011936648494609528,-0.007211961436077552,0.0011141463778873526,0.007394494281535954,0.0012253734554563646,-0.0025557935255979608,0.00033060488329113004,0.0028586773299921152
0.679,202514.0,0.026000000000000023,0.5711858505026902,0.0004969998699194957,-0.011302997041650019,-0.8207427851857879,1.0957262017422855,-0.6930899052265913,-110.3356030791132,0.014883,0.012814,0.026442,-0.0014769780602235695,0.010576877761600437,-0.003115850955126229,0.0009081867767112526,-0.00305415503908134,-0.001125144374810818,0.6903225969000114,0,-0.001065,-0.001065,0.002131,0.0007907060642003215,-0.0073830178694980556,0.0012384899958813751,0.007527816842298239,0.0012511702773339612,-0.002745528256570444,0.0003611891561501235,0.0030509341813120504
0.703,202538.0,0.02399999999999991,0.5711578381938631,0.0027689992155564783,-0.012276996521988761,-0.8207437674874273,1.3360670333274958,-0.5431106956641193,-110.33800737530717,-0.031244,-0.006446,0.030188,-0.017878960433529174,0.0027856222064907062,-0.003936535990735349,-0.015263625545959163,-0.0106842952180354,-0.0019169228941869347,0.7457908113738783,0,0.006392,0.004261,0.0,0.0008093460398073332,-0.0074268445044274696,0.0012065424656249972,0.0075676155443080454,0.001270370902582053,-0.0029232466050575496,0.0003905295456881999,0.0032316017855272073
0.729,202564.0,0.026000000000000023,0.5711751664573174,0.0006240001818520874,-0.012136003536789956,-0.8207382391873694,1.1824105311402178,-0.7356571159583462,-110.33727408052313,0.007092,0.006852,0.023236,-0.005716869673310719,0.005942206776378332,-0.0080600721785276,-0.003051681654276623,-0.00740671250545692,-0.005943366570845083,0.510375153139196,0,0.022371,0.006392,-0.001065,0.00040899219733568594,-0.0076725228164498905,0.0011514854314398212,0.007769221304947092,0.0012862092996649122,-0.0031195383802289554,0.0004211839083500426,0.0034283597896792167
0.756,202591.0,0.027000000000000024,0.571193977260197,2.899999884548107e-05,-0.009852999607742241,-0.8207559673248849,0.9286885845308025,-0.6422042661827724,-110.3342787678711,0.025709,-0.021865,0.056446,0.010163181187375938,-0.008148658569206534,0.008010839237082588,0.012614371436582013,-0.021138963779151143,0.009958601156308582,0.9706760347568001,0,0.001065,-0.002131,0.0,0.0003247604626236172,-0.007838055269321255,0.0009858444909069894,0.007906482727690603,0.0012961149605743628,-0.003328931184386866,0.0004500378623017246,0.0036381287649127885
0.782,202617.0,0.026000000000000023,0.5717389977422027,0.000142999999435293,-0.010211999959672813,-0.820371996760351,0.9694852741971077,-0.6556253243255712,-110.25822075836831,0.062871,-0.033299,0.036887,0.03712238489353077,-0.02057866597606412,0.00479615609338537,0.03893748147286574,-0.03302939370284002,0.006635518315528671,1.1182531583732496,0,0.024501,-0.009587,0.004261,0.0006513298693770673,-0.008353776905859634,0.0012405053708061855,0.00847045882857685,0.0013088041348903717,-0.0035394250026642175,0.00047898041050399587,0.0038436973158327446
0.805,202640.0,0.02300000000000002,0.5717769636618598,-0.0004139999736890605,-0.008404999465837086,-0.8203659478632847,0.7630662403541838,-0.5896317123094265,-110.25263445953594,-0.00547,0.004047,0.032421,0.014610503379319986,-0.007264256740834691,0.001136602510689528,0.01619160972471456,-0.019434135436870812,0.0029335707450462815,1.1633259670883205,0,0.039415,-0.011718,0.002131,0.001544399958110086,-0.009081491448256679,0.001388376124109024,0.009315913611523329,0.001334055027906474,-0.0037399305887365554,0.0005092125476955208,0.004038517868890012
0.833,202668.0,0.027999999999999914,0.5717618743341867,-0.0003399999252724446,-0.010772997632235428,-0.8203488196980137,0.9905711718905591,-0.7378190445120241,-110.25538250642376,0.008899,-0.009739,0.042085,0.010259051699428142,-0.007608720574455403,0.004473431829676517,0.011635456404399846,-0.01943665183190083,0.006161992627717289,0.19942918306985083,0,-0.003196,-0.003196,0.0,0.0019905746212681473,-0.009583365680769713,0.0014640521107752143,0.00989680421536452,0.0013835446720177691,-0.004001238588542924,0.0005491465429839,0.004299363450012665
0.855,202690.0,0.02200000000000002,0.5717620100061211,0.0014810000259182412,-0.009515000166517261,-0.8203630143567631,0.9915922391496549,-0.4841961210151556,-110.25411165745858,-0.013095,-0.03404,0.045237,-0.002294562665643731,-0.019696760037093065,0.007355965121184664,-0.0009056393016537656,-0.031094866713282956,0.008921207992665457,0.7883531390285712,0,0.009587,-0.013848,0.001065,0.002239269253298903,-0.009975897356423838,0.0015942575871780798,0.010347681484707036,0.0014300729546380068,-0.004216390481952053,0.0005827879496613862,0.004517093142750684
0.884,202719.0,0.029000000000000026,0.572132018499889,0.0015210000491815373,-0.00959300031018967,-0.8201040265180641,1.0013274162697408,-0.4859982973129629,-110.20241178264416,-0.002276,-0.011031,0.03072,-0.0035024170535132198,-0.013802004322273,0.0008885413460895516,-0.002075672370514541,-0.024749150845682476,0.00240987334330026,0.31610472190203187,0,0.006392,0.001065,-0.002131,0.002202208692646377,-0.010829547990403093,0.0018452856324760731,0.011204191709705503,0.0014944743848542134,-0.004518069439481044,0.0006326613263463714,0.004817175905807189
0.909,202744.0,0.025000000000000022,0.5721200659831831,-0.00027700003194669254,-0.011072001276945053,-0.8200950945823928,1.0224842792624558,-0.751934779134445,-110.20541229509075,0.007905,0.027639,0.040322,0.001333526112631528,0.008870188911925585,0.003261701060283491,0.0027175831001159862,-0.0020448373810139954,0.004709063264705754,0.9327356943557784,0,-0.002131,0.004261,-0.002131,0.0021411601037028072,-0.011403247520982766,0.0018978597718034992,0.011756721155488814,0.0015487664948085783,-0.0047959793833733675,0.0006794506438998661,0.0050972806985498265
0.934,202769.0,0.025000000000000022,0.5721439106874842,-7.499998829239022e-05,-0.008530998668298415,-0.8201088719797848,0.7968697972666761,-0.5663742338014617,-110.20130356335835,0.005707,-0.010538,0.049539,0.002485728907661033,-0.0003248968995019884,0.009219042528409145,0.0038099395053424645,-0.011066097341875835,0.010501448367612685,0.4310509927660368,0,-0.009587,0.010653,0.001065,0.0022001967414451862,-0.011406953773356114,0.002007695055991744,0.011789414723657956,0.0016030334553729282,-0.005081106899552604,0.0007282700792473067,0.005391198727437047
0.961,202796.0,0.026999999999999913,0.5727660233854646,-8.900000363378123e-05,-0.008383000342269529,-0.8196760334665535,0.7816180210246203,-0.5585795516647492,-110.11432602494465,0.030612,-0.03385,0.047648,0.01657455392428703,-0.01751978942235822,0.011133685944945846,0.01760018442743359,-0.027789551234702375,0.012208971462849284,0.8052982988433922,0,-0.013848,0.006392,0.001065,0.0022931864663670067,-0.011654522431965226,0.0022822198316201684,0.01209525215307849,0.0016636941286783927,-0.005392436828324441,0.0007861839302300673,0.005709512924975811
0.99,202825.0,0.029000000000000026,0.572757862611156,0.000705999830650076,-0.010596997458072032,-0.819655803387137,1.041786989099052,-0.6292161915841831,-110.11567521991859,-0.001622,0.001025,0.041701,0.005156515364452014,-0.006087506183856242,0.00870394189967134,0.0060715153451721795,-0.01606455198097782,0.009604226526087715,0.5740840965686779,0,-0.002131,0.001065,0.001065,0.0027925348227644297,-0.012404225138255951,0.002625275889555664,0.012982878167539551,0.0017374370873707986,-0.005741288668092648,0.0008573426181871169,0.006060275237415088
1.016,202851.0,0.026000000000000023,0.5727791667011002,-0.0006290001830636109,-0.008612002506428962,-0.8196642385542949,0.7676798447294971,-0.6243466550130801,-110.11268986995289,0.035687,-0.013631,0.031924,0.020284511867079344,-0.009124578413447229,0.0024718301493076595,0.0208587573104067,-0.01879459048412952,0.003317912423392201,0.6268562731807686,0,-0.001065,-0.003196,0.0,0.00293831941847549,-0.012768268141346526,0.0028636341965714253,0.013411293492653424,0.0018119381925069177,-0.0060685310807274805,0.0009286984493067691,0.006397830069771116
1.041,202876.0,0.02499999999999991,0.5727468156700583,0.0011569996276370848,-0.010383996658066972,-0.8196657362029203,1.0513830069650385,-0.5728582560617547,-110.11690050172905,-0.001247,-0.000607,0.032079,0.007870036686072904,-0.0036946844573414114,-0.00030112745755883586,0.008313690976913818,-0.01315801097494992,0.000536527069033074,0.5612640339298213,0,0.010653,0.005326,-0.001065,0.003447570824515157,-0.013185042468076903,0.002934675021450606,0.013940710417929414,0.0018917618205443005,-0.006392947463345272,0.0010011773145320443,0.006733112407087451
