# source_file=Ens1.csv
# note=stationary-guard: a->0 and v->0 when stationary
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,ax_lin_mps2_int,ay_lin_mps2_int,az_lin_mps2_int,gx_rads,gy_rads,gz_rads,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,201835.0,0.02500000000000213,0.5658752260906817,0.0005100002037662871,-0.013854005535251257,-0.8243743293718219,1.3420783785361405,-0.8502097487291141,-111.07621775136083,-0.000536,0.016837,0.032139,-0.0027093924050632903,0.018687569620253166,-0.0027630126582278494,0.0,0.0,0.0,0.0,0.0,0.0,-0.012783,0.001065,0.002131,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027,201862.0,0.027,0.5658881046887431,0.0014730002725036025,-0.011527002132484065,-0.824400152513218,1.1846171475113647,-0.6083381089689683,-111.07300668141929,0.007292,-0.028167,0.029603,0.001540129336207776,-0.005743380359839206,-0.004139710044004986,0.004213779201258256,-0.024225462336922146,-0.0013651180447612336,0.004213779201258256,-0.024225462336922146,-0.0013651180447612336,-0.017044,0.003196,0.001065,0.912113651883146,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051,201886.0,0.023999999999999997,0.565885045272503,0.0013160001052839605,-0.01383200110660163,-0.824367065951841,1.39224746765203,-0.7726518970985898,-111.0742488006013,0.003993,-0.004412,0.026714,0.0016836464936216937,-0.004109391303756498,-0.00621858689899538,0.004324688972023605,-0.022422412275208498,-0.003418222112209097,0.004324688972023605,-0.022422412275208498,-0.003418222112209097,-0.007457,0.0,0.001065,0.11394539699630453,0,0,0.00010113070083019812,-0.0005814110960861314,-3.2762833074269605e-05,0.0005910496464202785,1.2135684099623772e-06,-6.976933153033577e-06,-3.931539968912352e-07,0.0
0.077,201912.0,0.026000000000000002,0.5665659806047472,0.0013409999540935494,-0.01366499953220608,-0.8239019717953644,1.3774595194828636,-0.7605976111267946,-110.97950188578974,-0.001542,0.01254,0.051327,-0.0011966432382377156,0.005760003692120224,0.005861350957011591,0.0014326967710720589,-0.012451313198742714,0.008591538843978164,0.0014326967710720589,-0.012451313198742714,0.008591538843978164,-0.008522,0.002131,0.002131,0.6105831845927531,0,0,0.00021324447284349273,-0.0011625072964328658,-0.00012153030162563136,0.0011881355283262793,5.300445667720359e-06,-2.9647872255780543e-05,-2.3989647479899477e-06,1.5367290806927242e-05
0.099,201934.0,0.022000000000000006,0.5665589975462331,0.003710999983927659,-0.013267999942536293,-0.8239059964316632,1.4938247838194758,-0.5110381015414748,-110.97794157975116,-0.023652,-0.023867,0.034793,-0.013308306986039816,-0.007899594987158084,0.002925309176323282,-0.010605665876322381,-0.025931684938048552,0.0056166773760490596,-0.010605665876322381,-0.025931684938048552,0.0056166773760490596,-0.008522,0.006392,0.002131,0.8325659805752403,0,0,0.0002441781850987928,-0.0014332436834440787,6.781730215585808e-05,0.0014554757396405445,1.0332094905085501e-05,-5.8201133034426934e-05,-2.9898077421574538e-06,4.150627243010539e-05
0.127,201962.0,0.027999999999999997,0.566610069176011,0.0014140001726317564,-0.013448001641833001,-0.8238751005848575,1.3616650373782095,-0.7396877011877067,-110.97324036951173,0.004553,0.002097,0.021593,-0.00465058922741131,-0.0013614788544149105,-0.006033955340371639,-0.0019309624845376882,-0.01922446160869987,-0.003313440594879122,-0.0019309624845376882,-0.01922446160869987,-0.003313440594879122,-0.002131,0.008522,0.002131,0.5050564864093434,0,0,-5.363358923802684e-05,-0.0021543232772021797,0.00022484732302447454,0.0021666891016620185,1.2999719247136224e-05,-0.00010842707048347455,1.1074970103672027e-06,8.225959314004064e-05
0.148,201983.0,0.02099999999999999,0.5666421330133066,-0.0006760001586839577,-0.014210003335649469,-0.8238411933880925,1.297907937041807,-0.9865564082307923,-110.97039548801504,0.018574,0.025621,0.03358,0.0054571225790131465,0.012482681501029661,-0.0037715206160456975,0.008123158049218883,-0.005345038194532589,-0.0010441174678436096,0.008123158049218883,-0.005345038194532589,-0.0010441174678436096,-0.001065,0.013848,0.001065,0.8232361911790455,0,0,-9.404319786446351e-05,-0.0025523892882088695,0.00015467562030097533,0.0025588004512160467,1.1449112982560075e-05,-0.00015784755242029055,5.092487915284425e-06,0.000127760064274943
0.176,202011.0,0.027999999999999997,0.5672401303208823,-0.0006610001518618278,-0.014058003229763352,-0.8234321891798618,1.2838185067947667,-0.9762014283142669,-110.88712980255974,0.013779,0.026974,0.040584,0.008850298111443231,0.021501308817555666,0.001445603897558127,0.011415913957663424,0.0036415563195661056,0.0041366194406727745,0.011415913957663424,0.0036415563195661056,0.0041366194406727745,-0.011718,0.009587,0.001065,0.3886809807303301,0,0,0.0001337338033630333,-0.0026931326103084405,0.00012489991281415544,0.0026993421374641785,1.2004781459540052e-05,-0.00023128485899953288,9.006545378896254e-06,0.00019940647690899229
0.2,202035.0,0.02400000000000002,0.5678342577167469,-0.0026100011845727965,-0.011995005444042414,-0.8230513735493582,0.9616751643750112,-1.0267196947976507,-110.80398077538607,-0.004016,-0.000678,0.032881,0.0011271441132370205,0.011062132343955785,-0.0003345666108497346,0.0036651255637478826,-0.006746750851051541,0.0023388146849870014,0.0036651255637478826,-0.006746750851051541,0.0023388146849870014,-0.03835,0.0,0.057524,0.5452187197105319,0,0,0.0004073151381376308,-0.0025976679677946622,0.000223804641139839,0.00263891511990406,1.8497368757548025e-05,-0.00029477446593677016,1.3191000026344191e-05,0.0002641906882081326
0.222,202057.0,0.021999999999999992,0.5685029904394853,-0.0008299999860418904,-0.012748999785600073,-0.8225819861666389,1.1478831529373126,-0.9088164991511931,-110.71083953867794,0.134035,0.007231,0.021576,0.06541834506762745,0.010088152318480986,-0.006723361472405308,0.06748987002245888,-0.007667735294609663,-0.0040221808581308825,0.06748987002245888,-0.007667735294609663,-0.0040221808581308825,-0.042611,0.001065,0.071373,2.915797837410179,0,0,0.0004868293226597282,-0.0027389627130406545,0.0002746439469325113,0.002795415681149231,2.833295782631897e-05,-0.00035347740342595865,1.8673934495140042e-05,0.0003222468208460219
