# source_file=Excelente.csv
# total_time_s=12.789000
# distance_path_m=0.084619
# lpf_cutoff_hz=10.0
# zupt_alin_tol=0.35
# zupt_w_tol=0.15
# zupt_win_s=0.5
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_bias,ay_lin_mps2_bias,az_lin_mps2_bias,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
946.909,946909.0,0.02400000000000091,0.077947,0.004693,-0.056486,0.995345,-6.41521966755623,-1.0398687225986976,171.10271459632534,0.009989,-0.000837,19.665264,0.01049921686746988,-0.0020234939759036143,0.0004791686747012136,0.01049921686746988,-0.0020234939759036143,0.0004791686747012136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946.932,946932.0,0.023000000000024556,0.077924,0.00419,-0.055623,0.995398,-6.320905576105912,-0.9746578724304114,171.10136782701198,-0.004785,0.009582,19.65238,-0.0042747831325301204,0.008395506024096385,-0.01240483132529846,0.0017674249159050429,0.004134387460630435,-0.007135587485036062,0,0.00024148198795206506,-4.6540361445832816e-05,1.102087951813968e-05,0.0002461727351559132,5.554085722903426e-06,-1.0704283132552977e-06,2.5348022891748327e-07,0.0
946.958,946958.0,0.025999999999953616,0.077946,0.004179,-0.055638,0.995395,-6.3226944349481675,-0.973675793236457,171.09877626219227,-0.002072,0.012344,19.653925,-0.0015617831325301207,0.011157506024096386,-0.01085983132529833,-0.0002976684507805644,0.008490797558124086,-0.009445719846412612,0,0.0002874350357655142,6.095371253036671e-05,-0.00017450439509246696,0.00034173972371286424,1.3027396652793463e-05,5.143682125314094e-07,-4.283634043478563e-06,6.400491114042325e-06
946.983,946983.0,0.024999999999977263,0.07797,0.004714,-0.056474,0.995344,-6.413639276300822,-1.0423054638924185,171.10019982311297,0.005223,-0.010111,19.659363,0.00573321686746988,-0.011297493975903614,-0.005421831325300275,0.003387295778585832,-0.003600154700991289,-0.006987061709043393,0,0.00027999332449600686,0.0002732236514832758,-0.0004106473912525675,0.0005671672640718256,2.0027229765187267e-05,7.344959499607093e-06,-1.4549818824783415e-05,1.4943984206856161e-05
947.003,947003.0,0.020000000000095497,0.077983,0.00485,-0.055497,0.995397,-6.300619576417824,-1.0492014267410632,171.09853089726747,0.003428,0.015858,19.670994,0.003938216867469879,0.014671506024096385,0.006209168674701004,0.0036940831969309285,0.006574652065040746,0.00036142709089823,0,0.00034773924006804694,0.00020122055746310622,-0.0005503886254341026,0.0006814249267792505,2.6982014566581414e-05,1.1369370648888434e-05,-2.5557591333518026e-05,2.6287329488346838e-05
947.023,947023.0,0.01999999999998181,0.07795,0.004452,-0.056413,0.99535,-6.4089805944564615,-1.0117461077568273,171.10078448083314,0.004142,0.008792,19.66254,0.00465221686746988,0.007605506024096385,-0.002244831325299401,0.004227632122801294,0.007148696208875049,-0.0010899010705686886,0,0.0004216209040065983,0.00033271359876380156,-0.0005431600836161446,0.0007638621616048267,3.541443264670571e-05,1.8023642624158412e-05,-3.642079300583104e-05,3.991582802391945e-05
947.048,947048.0,0.024999999999977263,0.077938,0.004436,-0.056415,0.995351,-6.409362924537353,-1.0098616721392624,171.10206619122522,0.002064,0.005438,19.662161,0.002574216867469879,0.004251506024096386,-0.002623831325298198,0.003217369822878721,0.005378468185424936,-0.002027156186648546,0,0.0005273117070765345,0.0005114310039855152,-0.0005704076103803371,0.0009300452409627219,4.8597225323607085e-05,3.080941772378466e-05,-5.0680983265326496e-05,5.901238206402275e-05
947.071,947071.0,0.023000000000024556,0.077897,0.003519,-0.056003,0.995381,-6.370320102955115,-0.9013240139747368,171.1006382788126,-0.014075,0.007668,19.660114,-0.013564783132530121,0.006481506024096386,-0.004670831325299218,-0.006701289179826639,0.006030390273010075,-0.0035896322458215525,0,0.0006013112130028241,0.0006351357722504207,-0.0006170322026733034,0.0010703744032865017,6.242738322268681e-05,4.5417540485559936e-05,-6.487272392682762e-05,8.040342260618819e-05
947.093,947093.0,0.021999999999934516,0.077932,0.00422,-0.056698,0.995336,-6.443653566755629,-0.9877028467109675,171.10166834985492,0.001751,-0.002206,19.655861,0.0022612168674698793,-0.0033924939759036143,-0.008923831325297726,-0.0015009050985227597,0.000562877393305951,-0.006684735761850002,0,0.0004538828510470769,0.0007678043582562474,-0.0006960041120811425,0.001131350917737627,7.241280594569278e-05,6.23092363671471e-05,-8.018481439256718e-05,0.00010395165947842113
947.113,947113.0,0.020000000000095497,0.077906,0.003612,-0.055904,0.995386,-6.358166804370347,-0.9111090452458745,171.10010912552403,-0.005019,0.007433,19.668331,-0.00450878313253012,0.006246506024096386,0.003546168674699146,-0.0031758802544370763,0.003727878315678453,-0.0009875264468424344,0,0.0004238647490764784,0.0007790619061224202,-0.0008296988273187809,0.0012144953368106956,8.089010092726282e-05,7.78904744896699e-05,-9.677879093902203e-05,0.0001265786778332817
947.138,947138.0,0.024999999999977263,0.077894,0.003599,-0.055899,0.995387,-6.357718284660678,-0.9095049348780658,171.10139381063772,-0.01374,0.007255,19.6719,-0.01322978313253012,0.006068506024096386,0.007115168674701522,-0.009318970450362805,0.005158038055855052,0.003963345623962073,0,0.0003444677427156237,0.0008722588640142967,-0.0008543869884898192,0.0012686491547010982,8.950179449514559e-05,9.969694609000749e-05,-0.00011813846565124808,0.00015694106125352147
947.161,947161.0,0.02299999999991087,0.077919,0.004246,-0.056644,0.99534,-6.4372579201776094,-0.9901040143945905,171.10327178941145,0.000153,-0.000461,19.663176,0.0006632168674698795,-0.0016474939759036143,-0.0016088313252993203,-0.003419255892308939,0.0011358037373964836,0.0006700540415769786,0,0.00013013142235810977,0.0009908937392985031,-0.0007632300391390448,0.0012575073289289819,9.249481720937051e-05,0.00012248750209378474,-0.00013569275655137808,0.00018611999181153367
947.183,947183.0,0.022000000000048203,0.077887,0.003794,-0.057534,0.995293,-6.543118802323485,-0.9462590137566975,171.10491888203103,-0.006632,-0.01072,19.665123,-0.00612178313253012,-0.011906493975903615,0.000338168674701933,-0.004987364138507129,-0.006431829361437283,0.00047748163274283965,0,5.4907792727148296e-05,0.0010158814215212805,-0.000748488850224319,0.0012630381970488416,9.370278864937042e-05,0.00014483689336730187,-0.00015215951125634918,0.00021378515304803188
947.208,947208.0,0.024999999999977263,0.077936,0.004424,-0.056783,0.99533,-6.451584044718495,-1.011756222955657,171.1025819919486,-0.005389,-0.005409,19.66054,-0.00487878313253012,-0.006595493975903614,-0.004244831325298293,-0.004921019464068854,-0.006531830972825316,-0.0024079246404613685,0,-6.977631073541651e-05,0.0008550856874854946,-0.0007365518094057588,0.0011307293373841875,9.19583808809866e-05,0.0001662140355544198,-0.00017057330649147639,0.0002453611079742242
947.228,947228.0,0.01999999999998181,0.077954,0.004561,-0.0558,0.995384,-6.337867423551875,-1.0187473844902069,171.1003937013836,0.001611,0.007912,19.6647,0.0021212168674698793,0.006725506024096386,-8.483132529946147e-05,-0.0009994605564226742,0.0008506858221749222,-0.0011142805685397013,0,-0.00016819670001670407,0.0007244490680291071,-0.0007847103022149424,0.0010811507020147642,8.859444688065558e-05,0.00018070301691498875,-0.00018626751253576095,0.0002679756947218874
947.256,947256.0,0.02800000000002001,0.077973,0.004543,-0.055815,0.995382,-6.339724568569324,-1.016948448263669,171.09812300637185,0.004373,0.013594,19.650909,0.00488321686746988,0.012407506024096387,-0.01387583132530068,0.0027512650236960205,0.008219177757518384,-0.009250894463254038,0,-0.00019618159559655894,0.000748268271050022,-0.0008159101581340763,0.001124322911826213,8.3101362203948e-05,0.00020165452850440433,-0.0002091129969635314,0.0002982479143783224
947.279,947279.0,0.023000000000024556,0.077941,0.00408,-0.056699,0.995336,-6.444991780109249,-0.9717999324929183,171.09975773949108,0.001121,0.002194,19.6696,0.0016312168674698794,0.001007506024096386,0.004815168674699777,0.002089289426301919,0.003956905035220981,-0.0009375103493926631,0,-0.00013290250005148292,0.0009373093594731467,-0.0010286807307891463,0.00139799712294868,8.004460470276064e-05,0.00022321264377230972,-0.00023277265377170703,0.00032410734135035295
