# source_file=Parado.csv
# total_time_s=20.948000
# distance_path_m=1.777670
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
134.421,134421.0,0.02400000000000091,0.594517,-0.260688,0.158892,-0.743871,-33.88288361631058,-11.473138121648129,-99.22932515095924,0.012471433734939757,0.012734132530120481,-0.015487433734939757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.441,134441.0,0.020000000000010232,0.594805,-0.259888,0.159299,-0.743834,-33.85410220480316,-11.368792182269516,-99.23471198809614,0.005186433734939757,0.01854113253012048,0.005749566265060249,0.00024942867469892276,0.0002546826506025399,-0.0003097486746989536,0.0004722522183725076,0.0,0.0,0.0,0.0
134.461,134461.0,0.020000000000010232,0.595096,-0.259122,0.159807,-0.74376,-33.837401197134696,-11.259219863868099,-99.23729855731308,0.006131433734939757,0.02953113253012048,0.0028535662650602533,0.00035315734939777096,0.0006255053012051392,-0.00019475734939768978,0.0007442495686352832,4.988573493981008e-06,5.093653012053404e-06,-6.194973493982241e-06,9.445044367454984e-06
134.485,134485.0,0.02400000000000091,0.595389,-0.258393,0.160391,-0.743653,-33.830757963295845,-11.146563442149542,-99.23697197882636,-0.004498566265060243,0.0019661325301204816,0.016958566265060246,0.0005003117590363307,0.0013342524819280575,-0.0001262717590362411,0.0014305544725354974,1.3464349879527831e-05,2.0105780240977314e-05,-1.0869149879526972e-05,2.7307034014702457e-05
134.51,134510.0,0.024999999999977263,0.594953,-0.258342,0.160399,-0.744018,-33.821594027585,-11.16075895502844,-99.30199019920957,-0.019730566265060243,-0.013359867469879518,0.0019785662650602526,0.0003878476024099269,0.0013834057951810249,0.00029769239758987943,0.0014672621171482561,2.5972143855424722e-05,5.3462092289148414e-05,-1.4025943855430129e-05,6.307089582805737e-05
134.533,134533.0,0.022999999999996135,0.594675,-0.259181,0.160157,-0.744,-33.868488254169165,-11.255157096207615,-99.2927087881293,-0.030894566265060243,-0.035895867469879515,-0.004484433734939744,-6.595542168638246e-05,0.0010761288433738475,0.0003431994216862576,0.0011314544835019857,3.489263871085154e-05,8.528042557830664e-05,-7.179018710864052e-06,9.681792452246159e-05
134.551,134551.0,0.018000000000000682,0.594394,-0.260057,0.159957,-0.743962,-33.92237704337865,-11.349314650169198,-99.28150813221075,-0.021431566265060244,-0.02425786746987952,-0.008502433734939752,-0.0006220576144574879,0.0004300032289159917,0.00026247961445733915,0.0008004711116513779,3.370544112049661e-05,0.00010465074475903664,-1.001429120511181e-06,0.0001171841052254981
134.575,134575.0,0.02400000000000091,0.594312,-0.260041,0.159083,-0.74422,-33.84155622592555,-11.418015335386462,-99.29622790314397,-0.0017285662650602424,-0.004132867469879518,-0.013559433734939744,-0.0011364152048189532,-0.00015218559036113877,5.842120481877738e-05,0.0011480474767315808,1.877605837351634e-05,0.00011497082225302083,5.2980816264651975e-06,0.0001363954119051319
134.601,134601.0,0.02600000000001046,0.593871,-0.259984,0.159061,-0.744597,-33.82898088018455,-11.434243905371128,-99.3624286522696,-0.008968566265060242,-0.016656867469879516,-0.0038034337349397568,-0.0011813579277105376,-0.00025964014457804946,-0.00029412407228979773,0.001244800597662686,-1.0770736951788331e-05,0.00011101399690362964,6.81703295175402e-06,0.000166244646300165
134.63,134630.0,0.028999999999996362,0.593915,-0.259575,0.158353,-0.744856,-33.73082002925228,-11.454842535433103,-99.38219060552336,-0.005704566265060242,-0.0009348674698795181,0.015665566265060243,-0.0014414463493972519,-0.0007426893012044949,-0.00040442365060303683,0.0016712012043680953,-4.503011685538962e-05,0.00010348443271086715,-1.7125651446490442e-06,0.00020234386363237838
