# source_file=corredor.csv
# total_time_full_s=69.494000
# cut_tail_seconds=5.000000
# cut_time_s=64.494000
# note=NO_ZUPT; cut last N seconds to remove end-peak region
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,122385.0,0.030000000000001137,0.6566879839922456,-0.013232999677425788,0.00969199976374297,0.7539839816205097,-0.15848929464112682,1.8729990963246124,97.88845079946715,-0.109829,-0.013693,0.039579,-0.09642818181818182,-0.024166742424242424,-0.02519657575757575,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,122425.0,0.04,0.6565042924750252,-0.004763002121934588,0.01858200827835157,0.7540783359446128,1.248091440657233,1.809798471618568,97.933734204684,0.129955,0.012312,0.054506,0.05645526184136211,-0.007586261856871623,-0.015679297025441782,0.1491352656206246,0.016173984012546053,0.009283947677572577,3.7574190689098894,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.087,122472.0,0.04699999999999999,0.6560762537237625,-0.005767002230267437,0.018274007067089842,0.75445129176825,1.1469777970277368,1.8727669023861082,97.99783600823818,0.110742,0.01685,0.054063,0.10207439640335272,0.0018240062523468183,-0.0123318940742843,0.18916808301948304,0.024850395805297708,0.012269034138090308,0.8738485488934156,0,0.007009357484169355,0.0007601772485896644,0.00043634554084591106,0.007063947849550591,0.00016471990087797982,1.786416534185711e-05,1.0254120209878908e-05,0.0
0.119,122504.0,0.032,0.6562567118564443,-0.013616994021167322,0.009365995887659039,0.7543566687835587,-0.21451037378832835,1.88176757545558,97.9528433882233,-0.111402,-0.014837,0.056276,0.09136587106209777,-0.01403950748574479,-0.010091444568359937,0.17494213730472521,0.00880975150334774,0.014223503144889574,0.6727826356291873,0,0.013025452412528817,0.0015513464279151195,0.0008266336518323589,0.013143531088896905,0.0004852768592251506,5.4848544165933655e-05,3.046178729273123e-05,0.0002260463311856189
0.161,122546.0,0.04200000000000001,0.6560641172829526,-0.00482000086165958,0.018412003291468092,0.754465134873858,1.2301533985957753,1.801215012399526,98.00051800677257,0.135488,0.01161,0.071909,0.09136587106209777,-0.004193703095662452,0.0010837870109711937,0.1704442202979132,0.0181759050590606,0.024745710800838618,0.35208557744667746,0,0.02028216239270325,0.001910534485517481,0.0014182545537060564,0.02042125606625228,0.0011847367701350241,0.00012754804334801827,7.760443960903797e-05,0.000778074636919289
0.206,122591.0,0.044999999999999984,0.656167084346019,-0.005356000688479119,0.017568002258252644,0.7543920969722068,1.1165883515137187,1.7842577181465265,97.9841692794238,0.118019,0.012739,0.033732,0.11797530227552847,9.724154414274874e-05,-0.020259698740965636,0.19163529130145324,0.021849081474241343,0.003308674481892878,0.6748022998613961,0,0.02780060510056173,0.0027141748042332756,0.002521214419465995,0.02804633507205954,0.002266599038733486,0.00023160400236741025,0.0001662424915054091,0.0016970311599006412
0.241,122626.0,0.035,0.6563359127526166,-0.013742998173129631,0.009085998792189175,0.7542888997316289,-0.24840222999151518,1.8715738145493188,97.94036294189966,-0.124991,-0.009372,0.058707,-0.021188017546024646,-0.011992258178104617,-0.01165699527201419,0.05134288252208166,0.00954957561579755,0.011655069583969785,4.030789674663211,0,0.03434614217772333,0.003463106058481178,0.0026223537545939555,0.03461975339714175,0.003354167116103475,0.0003397064174649132,0.0002562549345514582,0.0026786528874227253
0.282,122667.0,0.04099999999999998,0.6564978698499667,-0.013094997403930117,0.00946199812416852,0.7541548504895699,-0.1675082260481756,1.8438027526952785,97.91763776113049,-0.102729,-0.015082,0.079498,-0.0650208326899803,-0.020717298747339685,0.005312206835614236,0.007321458839437022,0.0008038275958300198,0.027905399039334988,1.1642214972913254,0,0.03621730178652376,0.003831054770716273,0.003082353275671218,0.03654956676991406,0.00480071771737054,0.0004892367144634608,0.00037320142867189424,0.004098062776705536
0.323,122708.0,0.041000000000000036,0.6563312185744123,-0.005405001799998322,0.018517006166617746,0.754226251175862,1.194592825481252,1.8601343977594034,97.95950679172547,0.1292,0.020297,0.077886,0.06853683538662972,-0.0010713443531427218,0.010328599527005957,0.13734107526862668,0.019936204241193273,0.032094990755885774,3.2069879429794916,0,0.03627084035405005,0.0038379220689787265,0.004205483689647859,0.03671497785455458,0.006286724631252304,0.0006464507396772084,0.0005226020864609355,0.005596595014272014
0.365,122750.0,0.04199999999999998,0.6565258237372835,-0.013589996351385447,0.00929799750369256,0.7541237975343782,-0.21902681742475452,1.8742402772217925,97.91199742949297,-0.118531,-0.015616,0.054495,-0.04413567064374256,-0.002391023692377904,-0.003042318358884336,0.0240343185150156,0.018137877588884507,0.01824266040358642,2.718203329949333,0,0.041786156198583176,0.004648471002698887,0.005524137709924574,0.042405273610171816,0.007925921558857602,0.0008246649941824382,0.0007269241358519565,0.007138624084163306
