# source_file=fli.csv
# total_time_s=7.406000
# distance_path_m=13.664958
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
178.405,178405.0,0.02400000000000091,0.143117,0.049345,-0.129958,0.979895,-14.049041989258095,-7.6952619323034055,164.33063607243236,-0.20579193975903612,-0.21959195180722846,-0.144803048192771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.425,178425.0,0.020000000000010232,0.143151,0.049319,-0.128989,0.980019,-13.937443324395755,-7.677494559432352,164.31900761532862,-0.37113393975903614,-0.15734195180722832,-0.330709048192771,-0.004115838795182828,-0.004391839036146816,-0.0028960609638569016,0.006679487122057411,0.0,0.0,0.0,0.0
178.449,178449.0,0.02400000000000091,0.143234,0.04955,-0.127944,0.980132,-13.81311766276331,-7.688249274175396,164.30423401223055,-0.44923093975903616,-0.1655309518072281,-0.394085048192771,-0.013023053349400033,-0.00816804587952044,-0.010833078120483706,0.018806181792053723,-9.87801310843916e-05,-0.00010540413686752759,-6.950546313256827e-05,0.00016030769092938393
178.47,178470.0,0.020999999999986585,0.14343,0.050048,-0.126864,0.980219,-13.680144199776711,-7.730182914299486,164.27925983939414,-0.5351769397590361,-0.30627295180722847,-0.40418704819277096,-0.022456903084333766,-0.011644195867470009,-0.01910886413252661,0.031702499617136295,-0.00037226425142161755,-0.00027693310033734725,-0.00029700010366258075,0.0005552375085622598
178.493,178493.0,0.022999999999996135,0.143567,0.051141,-0.126205,0.980227,-13.587712104567458,-7.845211825669343,164.27113077942724,-0.5328739397590361,-0.36585495180722827,-0.22213704819277102,-0.03476597269878953,-0.01868847375903508,-0.028405166240958783,0.048629058990603824,-0.0008887730223612073,-0.0005447496052891124,-0.000736503978710619,0.001284394999756272
178.516,178516.0,0.022999999999996135,0.143851,0.051741,-0.125156,0.980289,-13.45612744339706,-7.900309572117924,164.2370683615929,-0.4952549397590361,-0.4371979518072284,-0.20068004819277097,-0.0470220733132453,-0.027103137650599914,-0.033514318349391656,0.06378765541707856,-0.0016883903944332323,-0.000974584501746847,-0.001389822802252561,0.002402863356539972
178.535,178535.0,0.019000000000005457,0.144246,0.052184,-0.124163,0.980333,-13.332291403183667,-7.939965763987143,164.1885790621043,-0.3971649397590361,-0.4270169518072282,-0.21764504819277097,-0.05643191716866969,-0.03540989873493964,-0.0373272392650554,0.07636586275883335,-0.0025818097873851497,-0.0014895441171083933,-0.0020265948508911853,0.0036148288094648125
178.553,178553.0,0.018000000000000682,0.144676,0.052404,-0.123321,0.980365,-13.22874573394614,-7.957196637098013,164.13467157075698,-0.3029149397590361,-0.45157495180722806,-0.251889048192771,-0.06358088608433261,-0.04309620386747004,-0.04124485013252543,0.08718342460301673,-0.0035975842964212426,-0.002126922294337331,-0.002698485157662208,0.004989414339123865
178.574,178574.0,0.021000000000015007,0.14514,0.052528,-0.122475,0.980395,-13.125812111477577,-7.963858279637744,164.07559675407634,-0.14290393975903615,-0.42666395180722816,-0.228020048192771,-0.06994209981927692,-0.052579277855428604,-0.0465345201445774,0.09910569787864945,-0.004932782904193181,-0.0030319425755548483,-0.003564627010445861,0.006820266255788524
178.596,178596.0,0.02199999999999136,0.145483,0.053104,-0.121837,0.980393,-13.041319132359927,-8.0233121934671,164.0372138967821,-0.06009193975903612,-0.3133509518072284,-0.04680704819277104,-0.07308598649397448,-0.06196588479518394,-0.05155096120481639,0.10880640560825411,-0.0064715091002166695,-0.004188686688373824,-0.004588386453626162,0.009000591609117956
178.62,178620.0,0.02400000000000091,0.145827,0.052721,-0.120943,0.980473,-12.941120933469225,-7.970113686062817,163.9860477061135,0.060224060240963884,-0.24896295180722827,-0.22267904819277096,-0.0745281930481914,-0.0694863076385577,-0.052674330361442936,0.11470563886442199,-0.008225572776072124,-0.0056758679234582944,-0.005825609522541802,0.011611945343716155
178.642,178642.0,0.02199999999999136,0.146054,0.052258,-0.120227,0.980552,-12.863578787435046,-7.909145086199375,163.9490599747851,0.20281606024096388,-0.3362369518072281,-0.308345048192771,-0.07320326372289071,-0.07496349257831457,-0.05757326942168198,0.1195530191635648,-0.00986519302313169,-0.0072045666915059635,-0.006984444790493091,0.014135469398732448
178.66,178660.0,0.018000000000000682,0.146144,0.051718,-0.119654,0.980638,-12.804762374780031,-7.839970430571646,163.92833964342745,0.1535880602409639,-0.3118689518072282,-0.181875048192771,-0.06955257463855322,-0.0810157577108449,-0.06312348028915206,0.12403905594662033,-0.011182851770143774,-0.008553909557915677,-0.008020763640083407,0.016287423743676695
178.683,178683.0,0.022999999999996135,0.146225,0.051278,-0.118907,0.98074,-12.724569125340743,-7.779155459612892,163.9084461235096,0.08899106024096387,-0.2207179518072282,-0.174531048192771,-0.06602004925301164,-0.08818874360240994,-0.0673066063975851,0.12909717528397407,-0.012782560986830229,-0.010417271985264797,-0.009472603686733659,0.019140322030448485
178.709,178709.0,0.02600000000001046,0.146143,0.051614,-0.118555,0.980777,-12.679800470534218,-7.810412135811224,163.9188505614944,0.06035406024096385,-0.16763695180722848,-0.14441204819277098,-0.06370628168674565,-0.09392741034940018,-0.07184441365059896,0.13432225621278837,-0.014499082267409221,-0.012710179318928379,-0.011222575453071575,0.02249684858783316
178.733,178733.0,0.02400000000000091,0.146032,0.05156,-0.117975,0.980866,-12.614708595052699,-7.7934987009062455,163.926668173203,-0.20222993975903614,-0.49432895180722847,0.17320995180722898,-0.06225778424096246,-0.09795069719277381,-0.07531030280722559,0.13835466196720916,-0.016028033027891176,-0.01496443716731407,-0.012946841380686016,0.025720582736940202
