t_imu_s,az_raw_mps2,az_clean_mps2,az_used_mps2
0.0,-9.714142,13.837393658227848,13.837393647135988
0.029,-9.851849,13.760204263099514,13.760204238312298
0.053,-10.369622,13.463241543538372,13.463241506764621
0.079,-11.464201,12.729220072657728,12.729220021393655
0.103,-11.315464,12.47597941292254,12.475979346900376
0.122,-2.94704,16.17638800154449,16.17638793233598
0.147,-3.803977,18.046642737676642,18.046642667506767
0.173,-12.26755,14.438887336846514,14.438887265774328
0.197,-13.309958,12.28349265032984,12.283492578569238
0.216,-19.564957,8.50642302668678,8.506422953782566
0.24,-21.937889,4.966857281608521,4.966857204627463
0.266,-18.106848,5.221771156684024,5.221771074996473
0.291,-19.590963,4.56126996766186,4.561269881504495
0.31,-22.636887,2.9011897752066864,2.9011896868749822
0.358,-25.398212,-0.32059572357772703,0.0
0.387,-24.889698,-0.8909759639519493,0.0
0.406,-25.279461,-1.2719870331881593,-1.2719871201123274
0.43,-25.558168,-1.6492407303986658,0.0
0.455,-26.012684,-2.0744441724775875,-2.0744442581577864
0.481,-26.58857,-2.5879686409312663,-2.5879687260244713
0.5,-26.814163,-2.8950988447273183,-2.8950989294692024
0.524,-25.101955,-2.204581518712126,-2.204581603194161
0.549,-5.107033,8.6095327287935,8.609532643315159
0.575,-20.517513,5.635098814260975,5.63509872797681
0.594,-28.909294,0.6307337116909721,0.6307336253386108
0.618,-33.037426,-4.5643363212395816,-4.564336406861382
0.698,-59.137707,-28.720782408933893,-28.720782386542478
0.868,-53.420097,-29.733162000374556,-29.73316146302027
0.894,-53.796566,-30.006234514845694,-30.00623386512509
0.912,-53.364128,-29.920670808522697,-29.92067007798453
0.936,-53.102375,-29.730755639193774,-29.73075480127414
1.021,-51.522537,-28.342375417653173,-28.34237418745479
1.052,-51.101418,-27.88519414003224,-27.885192765424158
1.078,-50.672714,-27.477605511759364,-27.4776040151373
1.098,-50.091682,-27.038888763703177,-27.03888717240585
1.123,-49.599876,-26.52012949522138,-26.520127784601137
1.144,-49.033134,-26.021479765724074,-26.02147795414569
1.238,-46.38208,-23.4520337546458,-23.452031507335132
1.355,-43.115276,-20.196401988294507,-20.19639923956931
1.376,-42.329552,-19.515365491110785,-19.515362636590826
1.401,-41.472473,-18.68034888608176,-18.680345905619586
1.425,-40.779533,-17.93454001295867,-17.934536911924184
1.446,-39.990707,-17.21654019089329,-17.21653698473294
1.507,-37.884407,-15.115855699383882,-15.115852194460851
1.532,-37.170242,-14.331784887329485,-14.331781261909313
1.551,-36.296814,-13.60954699422372,-13.60954327856014
1.569,-35.559937,-12.902056708341203,-12.902052908483405
1.602,-34.854378,-11.955205911706695,-11.955201962364239
1.696,-31.287155,-8.5574562113727,-8.557451900497382
1.74,-29.577538,-6.888442957062354,-6.888438498898128
1.765,-28.543291,-5.895130305139368,-5.895125772040951
1.79,-27.779022,-5.021769908645082,-5.021765309300055
1.815,-26.81671,-4.101824743811104,-4.101820088140084
1.876,-24.332939,-1.6829763567416265,-1.6829716392592626
1.928,-22.524765,0.20240755575565395,0.2024122665108741
1.953,-21.781406,1.0234379597774965,1.0234426538381216
1.978,-20.907576,1.8721199951374266,1.872124658048985
2.004,-20.105165,2.7119542888626684,2.711958904071188
2.045,-18.378723,4.29496118577905,4.294965679451111
2.071,-17.683636,5.134095449498542,5.134099850830802
2.14,-15.299429,7.4793229214931625,7.479326970554714
2.365,-9.706537,13.26077822068429,13.260781519770251
2.412,-8.506634,14.463217362719837,14.463220304156911
2.48,-6.928502,16.08183431255765,16.081836738830177
2.569,-5.043379,18.014442211674304,18.014443990716327
2.606,-4.445605,18.690496655912312,18.69049817206446
2.626,-4.064158,19.063424942408666,19.063426318694713
2.649,-3.735716,19.441790330358085,19.44179154870152
2.673,-3.398078,19.80724441750155,19.807245473706253
2.699,-3.098453,20.151787453422106,20.151788337367417
2.718,-2.73987,20.45218901538219,20.452189775872963
2.733,-2.461876,20.70557975914544,20.70558042381372
2.767,-2.16229,21.115274984678525,21.115275438172347
2.792,-1.910174,21.39079138739657,21.390791689212687
2.818,-1.779412,21.594225266039206,21.59422541318653
2.837,-1.526477,21.790356950667476,21.790356986835302
2.862,-1.336918,22.012546163659746,22.012546057166993
2.886,-1.148495,22.213072172734943,22.21307193257473
2.956,-0.788231,22.628402781799345,22.628402173445537
2.98,-0.668212,22.759309277771067,22.75930854608051
3.004,-0.638181,22.83841437602254,22.838413522990372
