t_imu_s,dist_m
0.0,0.0
0.029,0.0
0.053,0.014089885395456574
0.079,0.04154812102626095
0.103,0.07880968525031211
0.122,0.11662712918281254
0.147,0.17482278818018482
0.173,0.24743235566724608
0.197,0.3268828037067969
0.216,0.3970037254123169
0.24,0.49224038046466606
0.266,0.6023034726478367
0.291,0.7134363209465324
0.31,0.8020942352691051
0.358,1.034326163269772
0.387,1.186141643632851
0.406,1.2855348689791581
0.43,1.4110245822233565
0.455,1.5467938594113058
0.481,1.6879056830540355
0.5,1.7960148558094386
0.524,1.937708830796401
0.549,2.0927545455833045
0.575,2.2632311826075044
0.594,2.398649132101519
0.618,2.578896918912746
0.698,3.211236762741134
0.868,4.098886273175075
0.894,4.320174004820094
0.912,4.473363711183781
0.936,4.6782958295018995
1.021,5.410592488128849
1.052,5.6982403146400165
1.078,5.947435703153679
1.098,6.144878938504091
1.123,6.397616979051985
1.144,6.6164911103576936
1.238,7.62184887365193
1.355,8.831992633497446
1.376,9.117633726165613
1.401,9.464404996877438
1.425,9.804864547295145
1.446,10.1089361515684
1.507,11.007462352435438
1.532,11.394010182297958
1.551,11.692816192263878
1.569,11.979370645526844
1.602,12.51050270443978
1.696,14.05269902772931
1.74,14.813735837082803
1.765,15.25386832078382
1.79,15.697634588164771
1.815,16.14461792899822
1.876,17.24226267525484
1.928,18.191305013040452
1.953,18.650756973390994
1.978,19.11081999476626
2.004,19.5895581735966
2.045,20.34430891779625
2.071,20.822209685963852
2.14,22.086933672558374
2.365,23.903505177803815
2.412,24.738245740892783
2.48,25.91356918200593
2.569,27.384303614002317
2.606,27.954005130810067
2.626,28.250857426397108
2.649,28.584958674033977
2.673,28.924606780998595
2.699,29.28212286517515
2.718,29.534904955601984
2.733,29.72945144386132
2.767,30.161218528000322
2.792,30.4630958009035
2.818,30.7647287284228
2.837,30.975597069503227
2.862,31.24374307322431
2.886,31.48923551453453
2.956,32.17131249053699
2.98,32.37130966653401
3.004,32.55930414421985
