t_imu_s,p_stationary
0.0,8.015859518319374e-07
0.029,8.580062580809124e-07
0.053,9.27412132700601e-07
0.079,1.0945685145082293e-06
0.103,1.2322086173095834e-06
0.122,2.5917757015103915e-07
0.147,5.32714147871859e-08
0.173,6.008814986972304e-08
0.197,5.837914183623232e-08
0.216,1.7689587453688177e-07
0.24,8.550100538951638e-07
0.266,8.666549353572952e-07
0.291,9.79949444270435e-07
0.31,9.861378923074386e-07
0.358,6.402753042870995e-07
0.387,5.416303375009026e-07
0.406,4.6924727865854876e-07
0.43,3.8605160369672064e-07
0.455,3.0501893108655105e-07
0.481,2.1809279521280386e-07
0.5,1.5967117941765094e-07
0.524,1.2277894390165998e-07
0.549,1.1572114037478365e-07
0.575,1.3750109301451068e-07
0.594,1.4226496199347118e-07
0.618,1.6672757580565078e-07
0.698,1.1752510637408864e-06
0.868,4.329869710002741e-06
0.894,3.6007363146350442e-06
0.912,3.7514740924578688e-06
0.936,3.762288898887648e-06
1.021,4.070798768244258e-06
1.052,4.1763898548090005e-06
1.078,4.269700388740826e-06
1.098,4.37681012873897e-06
1.123,4.499334153437704e-06
1.144,4.618809890707558e-06
1.238,4.941416002230698e-06
1.355,6.206731606518965e-06
1.376,6.4536921904480215e-06
1.401,6.741963645401537e-06
1.425,7.003033384680965e-06
1.446,7.269164322558092e-06
1.507,8.100351667069218e-06
1.532,8.40768771727508e-06
1.551,8.724857288098773e-06
1.569,9.06339590863103e-06
1.602,9.47252528863577e-06
1.696,1.1236096227121466e-05
1.74,1.2148889347986046e-05
1.765,1.2711211371193723e-05
1.79,1.3191896619367171e-05
1.815,1.3731951154190574e-05
1.876,1.5052254135078522e-05
1.928,1.5978298380054515e-05
1.953,1.631219359567661e-05
1.978,1.6638350506516822e-05
2.004,1.6913348407315777e-05
2.045,1.725452540938129e-05
2.071,1.7293833549377832e-05
2.14,1.7064945711840576e-05
2.365,1.4138977153975674e-05
2.412,1.3153278518678158e-05
2.48,1.1777182376569871e-05
2.569,1.0092252370535413e-05
2.606,9.503668159039556e-06
2.626,9.171101766588413e-06
2.649,8.830294830185885e-06
2.673,8.526905534351968e-06
2.699,8.219321627855e-06
2.718,7.94243450749119e-06
2.733,7.71309712372413e-06
2.767,7.353696997788499e-06
2.792,7.090794186491873e-06
2.818,6.887026267497193e-06
2.837,6.701388507904661e-06
2.862,6.480875950822726e-06
2.886,6.268243160508069e-06
2.956,5.811179655992784e-06
2.98,5.644977168397983e-06
3.004,5.534426270574458e-06
