t_imu_s,speed_mps
0.0,0.0
0.029,0.587078558144024
0.053,1.0560859858001683
0.079,1.552565176002132
0.103,1.9903917859210751
0.122,2.327826359894891
0.147,2.7926756725792794
0.173,3.310435334981281
0.197,3.690574826606318
0.216,3.9681939605145504
0.24,4.233195853198866
0.266,4.445313931947835
0.291,4.6662060169775055
0.31,4.838165166680562
0.358,5.235016564244093
0.387,5.231222386647748
0.406,5.228738051841605
0.43,5.430771087517965
0.455,5.427377832412691
0.481,5.689956460810685
0.5,5.903915624456756
0.524,6.201828591476142
0.549,6.556793731700026
0.575,7.127260499684963
0.594,7.510324450467792
0.618,7.904248047854852
0.698,8.876495104339408
0.868,8.511066601731496
0.894,8.510539242427054
0.912,8.538838263254904
0.936,8.61525480737589
1.021,9.278962145521495
1.052,9.584438019756247
1.078,9.872161767520593
1.098,10.10952162191579
1.123,10.422577681224293
1.144,10.695295354193997
1.238,12.10143759845515
1.355,13.601956793722296
1.376,13.87085082847291
1.401,14.185814600737768
1.425,14.479600203488419
1.446,14.72993771913178
1.507,15.461913194500715
1.532,15.726632103469557
1.551,15.919691847942532
1.569,16.094910876149495
1.602,16.406343864782244
1.696,17.29629112167027
1.74,17.60529934804073
1.765,17.750650695237926
1.79,17.879333633337954
1.815,17.994176168141347
1.876,18.250814188184822
1.928,18.378078414021513
1.953,18.402520855010717
1.978,18.41300687808999
2.004,18.4085547365769
2.045,18.380798775676716
2.071,18.329333139051027
2.14,18.165715052454424
2.365,17.76043751253133
2.412,17.28416825166388
2.48,16.525105977487495
2.569,15.39733829210138
2.606,14.842614779351965
2.626,14.526141201603009
2.649,14.152004456859094
2.673,13.750618622175343
2.699,13.304320548780678
2.718,12.969765883955473
2.733,12.699031886441357
2.767,12.075090916127103
2.792,11.601266443049937
2.818,11.098333741075072
2.837,10.725840148843355
2.862,10.228851721259254
2.886,9.74395680003515
2.956,8.333215666542543
2.98,7.833103236909931
3.004,7.331815258506867
