x_m,z_m
0.0,0.0
-0.002993120349588098,0.005818624028620684
-0.009936268559798041,0.019409500229959235
-0.021986164588364606,0.042967401558231394
-0.037303325661404804,0.07256622002886748
-0.05223249135573612,0.10114038310266915
-0.07566815002404777,0.14673523782242848
-0.10571175245876199,0.205480692629268
-0.13858676980768703,0.2694624774591179
-0.16762791756389828,0.3255969468277296
-0.20847522660457057,0.4017158534312933
-0.2569512156029626,0.4884592119323398
-0.30614695026334904,0.5750591802752385
-0.34478813205129216,0.6429025359926113
-0.4455509845350162,0.8195741680562992
-0.5075381696229286,0.9282302823774582
-0.5481261007015517,0.9993760663501227
-0.6003288135111878,1.0888298013568731
-0.6556746809259579,1.181572126849435
-0.7154651761611246,1.2772615137246164
-0.762295874832056,1.3461694873200003
-0.8261374082231033,1.4317405583028566
-0.8990482069397531,1.5192650604059177
-0.9852415259697413,1.6124260740748748
-1.056582632061768,1.6836108663967675
-1.1554853160834704,1.7749465554794734
-1.5393511838846021,2.065002634134118
-2.07672973948665,2.26490108334954
-2.218125345940922,2.2693714567453864
-2.3153339335665275,2.260645362882043
-2.443785972515587,2.233918665959383
-2.8859617453696838,2.001492308078573
-3.0415515780088747,1.8640327352399273
-3.1689542505313186,1.7279783199292658
-3.2649042702290174,1.6106350465250792
-3.382172852273796,1.448719841744426
-3.4782801272891977,1.2998435320628068
-3.8799254699436503,0.49328762427074035
-4.252187487330947,-0.6022234165872259
-4.322576052020943,-0.8610349508259959
-4.402456008734292,-1.180366558679693
-4.475057196782242,-1.4979717089006388
-4.535242984910158,-1.7843820341701213
-4.692070871605027,-2.658995885225613
-4.7485199139316965,-3.034915940973942
-4.788306677898532,-3.326635148334431
-4.823498922230048,-3.6075283422999154
-4.881661707811297,-4.133237235959182
-5.002045894832599,-5.701148449655382
-5.035339443861873,-6.466820277534399
-5.047726342161889,-6.90834596295185
-5.05541880670277,-7.353590356064146
-5.058450271985241,-7.80196778412688
-5.046504274940569,-8.9062909265609
-5.015062196595317,-9.855132231069812
-4.993188462542315,-10.311897481772917
-4.967066244372509,-10.76799388370007
-4.935478342919272,-11.241066045272358
-4.87671799246351,-11.983162079681133
-4.833928642938291,-12.450467573843419
-4.70057560315152,-13.67307877235166
-4.459351523868046,-15.386133545938549
-4.32901881007906,-16.1575544670102
-4.126858964225973,-17.217424061953984
-3.8420245238892368,-18.49443829103012
-3.718248405360555,-18.985668557483415
-3.6505159111140872,-19.240604283915335
-3.572092397252593,-19.524281788408775
-3.489781969147757,-19.809258445183783
-3.400221314035682,-20.105029599717263
-3.3346121417284267,-20.31251821333659
-3.282783129087304,-20.471082719760766
-3.165423945127449,-20.81309352633825
-3.07939077655493,-21.048987159008632
-2.990369513352723,-21.280067635691662
-2.9257000872014696,-21.439657375059408
-2.8412372365903917,-21.63759062598211
-2.760949552995962,-21.81461333493116
-2.5322396740018887,-22.257421200648132
-2.455938137140813,-22.383875931340807
-2.3810329101393743,-22.497183116979127
