t_imu_s,vx_mps,vy_mps,vz_mps
0.0,0.0,0.0,0.0
0.029,-0.20642209307504125,0.3755289211040447,0.4012844157669437
0.053,-0.37217359110912074,0.6648469068255002,0.7312886010112691
0.079,-0.5547414880113842,0.9666784557547827,1.0808576550096662
0.103,-0.7216886014086324,1.2331387972357386,1.385710550876674
0.122,-0.8498025243104534,1.4371553539073592,1.622096088470869
0.147,-1.0250501691544789,1.6265578839035921,2.025492289109878
0.173,-1.2859961719773843,1.7573297914897243,2.493388849877777
0.197,-1.4535886070997,1.8576214408566631,2.8384265526097066
0.216,-1.6033743146067476,1.9359749599875433,3.0704649598757396
0.24,-1.8005681054492777,1.9916904013091628,3.2727772570879026
0.266,-1.9283541251962586,2.1174755164834203,3.399788781454131
0.291,-2.0073046476346628,2.301293139226802,3.5282086859777735
0.31,-2.0601881721488193,2.4714920637181743,3.6131971790088255
0.358,-2.138264014673016,2.9639189804757464,3.74812082364484
0.387,-2.1367142672519757,2.961770823950338,3.745404301952321
0.406,-2.1356995304978152,2.9603642635325396,3.7436255899070883
0.43,-2.2145265369718685,3.2891825469068214,3.7108523273221206
0.455,-2.213142856209736,3.2871273994351995,3.7085337120828323
0.481,-2.386126008033857,3.6528793324668656,3.652188355238829
0.5,-2.5434212204852282,3.926575122709374,3.6012825495384146
0.524,-2.7767065621020484,4.277174276078522,3.529640032366266
0.549,-3.056157335229927,4.646981736175968,3.472320135878608
0.575,-3.5740979747691934,4.937477327739466,3.6939116848104314
0.594,-3.9354921401809624,5.146141205921088,3.7992243490730124
0.618,-4.306398194960904,5.422185391673136,3.8120830744858027
0.698,-5.2902485000673956,6.2431179473762395,3.4393188918803146
0.868,-5.4573226119735585,6.507210975693154,0.5586500924281323
0.894,-5.419262499893512,6.5585626291746495,-0.2147752158245796
0.912,-5.381691680729345,6.586307344380458,-0.7547907689913882
0.936,-5.322644898358924,6.612412938749212,-1.4724339745635968
1.021,-5.081490933502199,6.656290524402477,-3.9964215049848812
1.052,-4.95656278515524,6.59986040110296,-4.871938032992233
1.078,-4.843642793494292,6.535155557393871,-5.593786221674023
1.098,-4.751359176275577,6.474624944428161,-6.140541118744617
1.123,-4.630127387306747,6.385882996871486,-6.812675263707673
1.144,-4.52294642368393,6.298732770569058,-7.366020896446592
1.238,-4.022699164708676,5.858813105195922,-9.794743099129274
1.355,-3.4225411830372576,5.1492368495359955,-12.11547771803005
1.376,-3.2811316445814303,4.955055724962575,-12.533239828519584
1.401,-3.1092648924865216,4.714246740305286,-13.013288799776042
1.425,-2.940834111509217,4.472738824235479,-13.453807051969427
1.446,-2.791145710197117,4.253833754454119,-13.823366783219498
1.507,-2.350752214224792,3.5983400349339267,-14.85249718581304
1.532,-2.165171171908767,3.3101184972718287,-15.22110727405314
1.551,-2.022909245652914,3.085891542573076,-15.48617771126161
1.569,-1.8873401245154775,2.8695566857587176,-15.724177173792167
1.602,-1.6376771834389894,2.466657568601043,-16.136967896466317
1.696,-0.9236884978653046,1.2969543893888749,-17.222845160899695
1.74,-0.5896546398289844,0.7264394060200976,-17.580419742691944
1.765,-0.4012972241723175,0.3986790068631299,-17.741635090704264
1.79,-0.21409993909816669,0.06956345781206191,-17.877916358279148
1.815,-0.028417283499552054,-0.25981700183110423,-17.992277886739746
1.876,0.42008931775111685,-1.0621321636759502,-18.215038258637968
1.928,0.7892213878354829,-1.7361576828917997,-18.278858068627873
1.953,0.9606773364047194,-2.053291871006364,-18.262361987620384
1.978,1.1291001171797583,-2.366551610367994,-18.225350166552044
2.004,1.3007384561461568,-2.687456550737201,-18.1648161082393
2.045,1.5656201026715435,-3.1846062325269098,-18.034990448286358
2.071,1.7258683223452251,-3.4872507651337905,-17.91158602573522
2.14,2.1394371787206365,-4.270904288180946,-17.52641972812687
2.365,2.6850444069488457,-5.307947336348055,-16.73467574361088
2.412,2.8610285202420687,-5.62251587832336,-16.091746429651096
2.48,3.084849298966358,-6.0107926193550565,-15.080888715754336
2.569,3.315924641185024,-6.378524395385364,-13.616060252248712
2.606,3.374676360365365,-6.445982434785193,-12.9369271236051
2.626,3.398573064281411,-6.464451456317598,-12.556645519586935
2.649,3.42086292367456,-6.473135908356723,-12.110963566798935
2.673,3.4383394183951075,-6.468032449413329,-11.637091164451792
2.699,3.450941744072248,-6.446939852522108,-11.114536107354622
2.718,3.455286919849336,-6.42034215323754,-10.726370589416279
2.733,3.455248098966964,-6.390829860974378,-10.415563600473943
2.767,3.448233310436323,-6.306722522188438,-9.702719139378083
2.792,3.434420175365205,-6.223164050112507,-9.168771474252605
2.818,3.4133693017276197,-6.119436322290037,-8.606649809057313
2.837,3.3939387141937325,-6.034197304685498,-8.192270124389411
2.862,3.363089334692525,-5.908715048408272,-7.642389949426777
2.886,3.327550964843271,-5.772960542564415,-7.109502462993895
2.956,3.207017006415985,-5.333112533673702,-5.542150843205298
2.98,3.151444398673619,-5.144750002819586,-4.995743381184164
3.004,3.0906578514462835,-4.942852450264477,-4.446522088675826
