t_imu_s,dist_m
0.0,0.0
0.104,0.0
0.123,0.016501790793845478
0.147,0.04034559521059633
0.171,0.06779091835166283
0.195,0.09876195891682465
0.215,0.12796474122615484
0.241,0.17042958812847553
0.265,0.21579600780033276
0.289,0.26720652151920943
0.309,0.31437417590133343
0.333,0.3750547010520234
0.354,0.4342468027792822
0.373,0.4957885579098049
0.401,0.5999239871197654
0.421,0.6899839851344225
0.444,0.8076830884891093
0.468,0.9449107146307064
0.488,1.0666681993426665
0.507,1.1850469661066292
0.531,1.3358470972645757
0.557,1.4995366127614784
0.582,1.6556086498959357
0.601,1.7720244799694045
0.616,1.8621422372384295
0.639,1.997675846153765
0.68,2.2309400748588346
0.699,2.3389273750977777
0.743,2.5784738458836984
0.763,2.6755872930277245
0.787,2.7850563090063516
0.811,2.8856026783757325
0.857,3.0602794389566204
0.884,3.141505655186711
0.926,3.2483166476486316
0.976,3.340192355293511
1.001,3.3664831178056187
1.035,3.390844016494447
1.126,3.434230492503242
