t_imu_s,roll_deg,pitch_deg,yaw_deg_unwrap
0.0,13.956028406532296,-1.8490930486370196,139.55808170725246
0.104,17.208347559606985,-0.8442322536900925,137.93520629392623
0.123,17.971977084926277,-0.9112482094403891,137.516758038247
0.147,18.358829345606612,-1.9816633104955896,137.2618516012024
0.171,18.425535665978607,-3.527048575217923,136.85120587729935
0.195,18.668441370756426,-4.438400052197314,136.64327321299024
0.215,18.952208596981688,-5.1533176708695345,136.76226175549945
0.241,19.412059957387353,-5.472948342999438,137.0859078969547
0.265,20.587230775176753,-5.754219827952393,138.08523693855696
0.289,22.264722458169967,-5.934664286658779,139.65108185470478
0.309,24.24734912403148,-6.1583632365474195,142.04530204099942
0.333,25.489585199951517,-6.49693866825799,144.5187511782234
0.354,26.70685393822964,-6.985228484641695,147.6708253660761
0.373,28.085073549513766,-7.653223281415636,150.63626397157117
0.401,29.656175077239975,-8.781945575005045,153.0031056035824
0.421,32.592304682983176,-10.755253441881925,155.43215665460121
0.444,36.35551296543469,-11.681448780662926,156.39445712747917
0.468,40.75043491708263,-12.771930432717687,156.97146278374052
0.488,42.65048490039059,-14.779781655854038,157.15089864322675
0.507,45.4050686360369,-16.08062425418955,157.13186693188996
0.531,49.21626559547645,-17.126278757985983,156.9045336922716
0.557,53.76809942367229,-18.532406856469215,156.1770264247068
0.582,59.2132224033532,-20.34977511416518,155.19430191157542
0.601,64.35527314953436,-22.182732539892136,153.82860233277535
0.616,68.63351509774292,-23.579821089135873,152.35212161718357
0.639,72.01095014574278,-24.56650537201563,150.89897347224775
0.68,80.50754952792511,-26.936016990219954,146.31150836494996
0.699,83.51578474504755,-27.63607364800673,144.3675344200349
0.743,89.5619604333562,-28.5769427249606,139.78088735462055
0.763,93.11167431938192,-28.821110127679958,136.47168141418234
0.787,95.63564728244602,-28.839888061979256,133.8873274443807
0.811,98.02582213556556,-28.58172627137359,131.1795984122112
0.857,102.02335692722727,-27.550337620288545,126.52883815775648
0.884,104.49088751246244,-26.56301826142769,124.02446666494225
0.926,108.4873845239418,-24.43352315551803,120.77693218788279
0.976,112.2928954537513,-22.056650110858794,118.79727691627221
1.001,114.43672591725893,-20.63171142331941,118.15380832269763
1.035,118.82447967692573,-17.73631382029161,117.64650279494218
1.126,128.15585683222878,-12.139306845842524,119.53391379866842
