t_imu_s,p_stationary
0.0,9.359021361896002e-05
0.104,0.00011534176480597713
0.123,0.00015041418235391338
0.147,0.00015915426985109386
0.171,8.197460921685865e-05
0.195,5.886715208355762e-05
0.215,6.703886415068191e-05
0.241,5.83116329799864e-05
0.265,1.9700304025247073e-05
0.289,7.482295258228439e-06
0.309,2.2971637902671275e-06
0.333,8.797757336442014e-07
0.354,4.6888195114248845e-07
0.373,3.051272556655212e-07
0.401,2.3114801902270995e-07
0.421,2.693185230963548e-07
0.444,2.1245430434466093e-07
0.468,3.0640427901547953e-07
0.488,2.312472435429143e-06
0.507,8.65157805738398e-06
0.531,1.4687662186711604e-05
0.557,4.976481346436242e-06
0.582,2.663283812171544e-06
0.601,2.130740722546725e-06
0.616,1.8943599971705186e-06
0.639,1.6664974665843445e-06
0.68,1.4775963621426221e-06
0.699,1.527251358917246e-06
0.743,1.6861250200317798e-06
0.763,1.8587420212513602e-06
0.787,1.932766108726902e-06
0.811,2.1849097886898943e-06
0.857,2.6850973527845025e-06
0.884,3.0980270081433285e-06
0.926,3.3055037306746017e-06
0.976,3.3094710237734095e-06
1.001,3.0388664832122172e-06
1.035,2.458217898370518e-06
1.126,1.7888038351336397e-06
