t_imu_s,speed_mps
0.0,0.0
0.104,0.8685153049392356
0.123,0.9934918506979525
0.147,1.1435551308777696
0.171,1.29046002354841
0.195,1.4601391154665098
0.215,1.6332633423969505
0.241,1.8902674863273832
0.265,2.142104738286532
0.289,2.3583827191061975
0.309,2.5283552146120787
0.333,2.8186715108218543
0.354,3.239039743711719
0.373,3.7191224717842997
0.401,4.502999900732864
0.421,5.117352319768988
0.444,5.717817755899875
0.468,6.08787423559802
0.488,6.230461408629609
0.507,6.283338798247766
0.531,6.295750596034712
0.557,6.242881485378316
0.582,6.127148951235194
0.601,6.00785048460167
0.616,5.892765605014572
0.639,5.689371431830962
0.68,5.683542117839139
0.699,5.4442379724072865
0.743,4.855672357201291
0.763,4.561208999109461
0.787,4.189432057057535
0.811,3.7973208821932225
0.857,3.0083783788922545
0.884,2.5431188681409673
0.926,1.8375141528975891
0.976,1.0516305004843023
1.001,0.7164970202596578
1.035,0.4767744616351113
1.126,1.49724959486193
