raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"120009,0.181159,0.009513,0.001026,0.983407,0.013189,-0.002417,1.009231,0.001624,0.002045,0.010495,-54.000000,-23.000000,25.000000"
"120050,0.180794,0.000872,-0.007546,0.983492,0.012268,-0.003077,1.008532,-0.013118,-0.005511,0.015349,0.000000,0.000000,0.000000"
"120095,0.181309,0.001182,-0.007335,0.983398,0.011678,-0.001969,1.009540,0.010185,0.002135,0.013375,-54.000000,-25.000000,23.000000"
"120131,0.181241,0.010355,-0.000733,0.983384,0.013431,-0.005131,1.010433,-0.013122,0.000137,0.007331,0.000000,0.000000,0.000000"
"120164,0.181167,-0.001006,-0.002892,0.983448,0.011345,-0.000870,1.009213,-0.027019,-0.003539,0.003406,0.000000,0.000000,0.000000"
"120208,0.181350,-0.000704,-0.002916,0.983414,0.012644,-0.001320,1.008985,0.003187,0.008394,0.013660,-54.000000,-23.000000,24.000000"
"120245,0.181308,0.010742,-0.003059,0.983363,0.013045,-0.003424,1.010291,-0.014934,0.000951,0.003441,0.000000,0.000000,0.000000"
"120289,0.181493,0.010469,-0.003377,0.983331,0.012604,-0.002785,1.008723,-0.009303,-0.000167,0.011099,-54.000000,-23.000000,27.000000"
"120321,0.181196,-0.001357,-0.003490,0.983440,0.013499,-0.004179,1.010057,-0.021445,-0.014872,0.013900,0.000000,0.000000,0.000000"
"120362,0.181183,0.009443,0.000829,0.983404,0.011452,0.000826,1.009116,0.000884,-0.009779,0.001934,0.000000,0.000000,0.000000"
"120401,0.181369,0.009321,0.000625,0.983371,0.011651,-0.001792,1.009509,0.009045,-0.001313,0.017900,-53.000000,-23.000000,24.000000"
"120437,0.181121,0.000712,-0.007339,0.983433,0.012245,-0.003000,1.009156,-0.018957,-0.004706,0.010076,0.000000,0.000000,0.000000"
"120481,0.181387,0.001256,-0.007356,0.983383,0.010920,-0.000354,1.010081,-0.004495,-0.011253,0.016910,-54.000000,-24.000000,26.000000"
"120520,0.181243,0.008574,0.002128,0.983399,0.010328,-0.004123,1.006818,-0.001035,0.001585,0.010542,0.000000,0.000000,0.000000"
"120558,0.181093,0.000649,-0.006572,0.983444,0.010909,-0.001506,1.008378,-0.000975,0.011897,0.005002,0.000000,0.000000,0.000000"
"120599,0.181697,0.000856,-0.006755,0.983331,0.011965,-0.002474,1.008775,-0.006506,0.006597,0.008347,-54.000000,-25.000000,26.000000"
"120636,0.181582,0.009078,0.001205,0.983333,0.012327,-0.001542,1.008513,-0.004755,0.000489,0.009203,0.000000,0.000000,0.000000"
"120677,0.181191,-0.000098,-0.007855,0.983417,0.012235,-0.001950,1.009752,0.003045,-0.001940,0.015136,0.000000,0.000000,0.000000"
"120719,0.181608,0.000237,-0.008112,0.983338,0.012124,-0.003947,1.007949,-0.015746,-0.001703,0.007785,-54.000000,-24.000000,24.000000"
"120756,0.181494,0.007088,0.001024,0.983366,0.010640,-0.001097,1.009757,-0.012662,-0.001641,0.009062,0.000000,0.000000,0.000000"
"120799,0.181935,0.007082,0.000686,0.983285,0.011622,-0.001461,1.008948,0.005524,-0.000043,0.014132,-53.000000,-24.000000,24.000000"
"120835,0.181439,0.002180,-0.011647,0.983331,0.011695,-0.005447,1.008086,-0.038192,-0.006898,0.020316,0.000000,0.000000,0.000000"
"120875,0.181262,0.005601,-0.000791,0.983419,0.010893,-0.002020,1.008155,-0.016764,-0.003754,0.013039,0.000000,0.000000,0.000000"
"120917,0.181874,0.005469,-0.001001,0.983306,0.010962,-0.001607,1.008173,0.004509,0.009722,0.004857,-53.000000,-24.000000,23.000000"
"120957,0.181626,0.007319,-0.012452,0.983262,0.011798,-0.001592,1.008540,-0.002725,0.001284,0.009102,0.000000,0.000000,0.000000"
"120994,0.182037,0.007184,-0.012032,0.983192,0.012201,-0.000754,1.007895,-0.003808,0.003124,0.002120,-55.000000,-24.000000,25.000000"
"121034,0.181796,0.005973,-0.000145,0.983318,0.012572,-0.000829,1.009483,-0.000865,-0.004438,0.016459,0.000000,0.000000,0.000000"
"121074,0.181673,0.001453,-0.011171,0.983295,0.011289,-0.001123,1.008595,0.006272,0.002483,0.002423,0.000000,0.000000,0.000000"
"121116,0.181762,0.001625,-0.010115,0.983289,0.013655,-0.004072,1.005404,0.025058,0.011504,-0.003531,-53.000000,-21.000000,28.000000"
"121158,0.181612,0.007155,0.000281,0.983344,0.012394,-0.001948,1.010473,0.006472,-0.005417,0.011732,0.000000,0.000000,0.000000"
"121199,0.181669,0.007521,-0.000077,0.983331,0.011621,-0.004125,1.007865,0.002543,-0.023149,0.017188,-57.000000,-24.000000,24.000000"
"121234,0.181437,0.001271,-0.010904,0.983341,0.011880,-0.005529,1.006441,-0.010575,-0.006868,0.007345,0.000000,0.000000,0.000000"
"121274,0.181450,0.006384,-0.000183,0.983379,0.011392,-0.003760,1.009304,-0.004150,0.007473,0.003362,0.000000,0.000000,0.000000"
"121319,0.181902,0.006205,-0.000922,0.983297,0.012088,-0.003053,1.009375,-0.022353,0.005466,0.003173,-53.000000,-23.000000,24.000000"
"121356,0.181736,-0.001456,-0.009941,0.983296,0.011360,-0.001692,1.008214,-0.020701,-0.000590,0.005498,0.000000,0.000000,0.000000"
"121395,0.182395,-0.001033,-0.009836,0.983176,0.012263,-0.001160,1.009459,-0.002840,0.001814,0.008474,-53.000000,-25.000000,22.000000"
"121432,0.182274,0.007303,-0.000059,0.983221,0.011847,-0.001952,1.009320,-0.000587,-0.001621,0.009256,0.000000,0.000000,0.000000"
"121475,0.181875,0.001045,-0.009826,0.983272,0.011933,-0.003495,1.008563,-0.007983,-0.006369,0.017351,0.000000,0.000000,0.000000"
"121509,0.181791,0.001310,-0.009731,0.983288,0.011864,-0.003163,1.008732,-0.014694,-0.002808,0.008268,-55.000000,-22.000000,26.000000"
"121551,0.181764,0.007608,0.000899,0.983312,0.012032,-0.002615,1.009146,-0.010731,0.000522,0.005157,0.000000,0.000000,0.000000"
"121597,0.182105,0.007651,0.000360,0.983249,0.012434,-0.000853,1.010242,-0.007424,-0.005819,0.014716,-54.000000,-24.000000,24.000000"
"121631,0.181746,-0.000235,-0.009217,0.983302,0.010503,-0.004650,1.007103,0.003947,-0.001826,0.013991,0.000000,0.000000,0.000000"
"121671,0.181761,0.007175,-0.000492,0.983316,0.012413,-0.000906,1.009728,-0.018796,-0.005648,0.002686,0.000000,0.000000,0.000000"
"121716,0.182081,0.007078,-0.000975,0.983258,0.010628,-0.001955,1.009303,-0.011085,-0.001075,0.010909,-55.000000,-24.000000,23.000000"
"121747,0.181812,-0.003888,-0.007043,0.983300,0.012289,-0.001028,1.011599,-0.010673,-0.007146,0.010647,0.000000,0.000000,0.000000"
"121796,0.182055,-0.003060,-0.006876,0.983260,0.009695,-0.001442,1.009154,0.006006,-0.014104,0.010585,-53.000000,-23.000000,29.000000"
"121828,0.182026,0.006844,-0.001224,0.983269,0.010201,-0.003001,1.007341,-0.006292,0.002299,0.004236,0.000000,0.000000,0.000000"
"121864,0.181875,-0.005230,-0.000053,0.983308,0.009229,-0.000279,1.010181,-0.006283,-0.003064,0.007400,0.000000,0.000000,0.000000"
"121911,0.181520,-0.004374,0.000057,0.983378,0.009915,-0.000345,1.009772,0.011531,-0.010063,0.021140,-54.000000,-21.000000,23.000000"
"121948,0.181331,0.006152,-0.004048,0.983395,0.008716,-0.005346,1.006051,0.018872,0.005699,0.010913,0.000000,0.000000,0.000000"
"121987,0.181825,0.005714,-0.004135,0.983306,0.010522,-0.004997,1.008486,0.001497,0.020275,0.006630,-54.000000,-24.000000,22.000000"
"122031,0.181787,0.003915,0.008298,0.983295,0.011802,-0.002870,1.010107,-0.001983,0.004452,0.004763,0.000000,0.000000,0.000000"
"122070,0.181492,0.005321,-0.003126,0.983373,0.011378,-0.003458,1.008313,-0.002010,-0.002427,0.013022,0.000000,0.000000,0.000000"
"122114,0.181879,0.005270,-0.003521,0.983301,0.010814,-0.002702,1.008940,-0.011527,0.002136,0.004854,-53.000000,-23.000000,29.000000"
"122146,0.181637,0.003845,0.008062,0.983325,0.010398,-0.000784,1.010098,0.008209,0.000136,0.015433,0.000000,0.000000,0.000000"
"122189,0.181744,0.004014,0.007088,0.983312,0.011401,-0.005753,1.008362,0.000438,-0.002008,0.016590,-53.000000,-22.000000,28.000000"
"122227,0.181570,0.005204,-0.004814,0.983353,0.010911,-0.003562,1.008680,-0.020407,-0.005681,0.006561,0.000000,0.000000,0.000000"
"122266,0.181508,0.004945,0.006387,0.983356,0.010695,-0.000732,1.010576,-0.017032,-0.001078,0.006369,0.000000,0.000000,0.000000"
"122306,0.181800,0.004904,0.005352,0.983309,0.015348,0.000445,1.005719,-0.025652,0.007212,0.010271,-54.000000,-23.000000,22.000000"
"122341,0.181750,0.002674,-0.006575,0.983319,0.008281,-0.002978,1.011370,-0.027092,0.020470,0.000174,0.000000,0.000000,0.000000"
"122387,0.182499,0.002915,-0.006654,0.983179,0.011463,-0.002671,1.008281,0.004128,0.000147,0.014193,-53.000000,-26.000000,23.000000"
"122424,0.182516,0.009798,0.002358,0.983151,0.012289,-0.004316,1.009567,-0.007577,0.009927,0.002776,0.000000,0.000000,0.000000"
"122459,0.182276,0.000448,-0.006121,0.983228,0.011856,-0.000024,1.011477,-0.016290,-0.010951,0.009491,0.000000,0.000000,0.000000"
"122504,0.182714,0.000953,-0.006364,0.983145,0.010759,-0.000549,1.009304,-0.008081,-0.009562,0.014234,-52.000000,-24.000000,29.000000"
"122530,0.182443,0.008326,0.002456,0.983178,0.010747,-0.000504,1.010645,-0.002786,-0.004453,0.017048,0.000000,0.000000,0.000000"
"122570,0.182075,0.002695,-0.007588,0.983252,0.011558,-0.003390,1.007548,-0.006959,-0.007093,0.016189,0.000000,0.000000,0.000000"
"122615,0.182492,0.003048,-0.007524,0.983174,0.011769,0.000588,1.009381,-0.003282,-0.008570,0.012001,-53.000000,-24.000000,19.000000"
"122653,0.182190,0.005028,0.003518,0.983244,0.008829,-0.003931,1.008125,-0.015009,0.004510,0.018849,0.000000,0.000000,0.000000"
"122695,0.182954,0.004879,0.003147,0.983104,0.010474,-0.001120,1.009283,0.012761,0.013643,0.006848,-54.000000,-25.000000,25.000000"
"122737,0.182855,0.006131,-0.008211,0.983086,0.012034,-0.002555,1.010095,-0.000597,0.015758,0.001693,0.000000,0.000000,0.000000"
"122773,0.182776,0.005129,0.003908,0.983133,0.011980,-0.001917,1.009202,-0.002473,0.003459,0.007578,0.000000,0.000000,0.000000"
"122818,0.183595,0.005197,0.002947,0.982984,0.012239,-0.002851,1.010437,-0.010051,0.001268,0.004256,-53.000000,-25.000000,27.000000"
"122855,0.183361,0.006323,-0.008849,0.982986,0.011944,-0.001641,1.010392,-0.020690,-0.005617,0.008936,0.000000,0.000000,0.000000"
