t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg
189236.0,2025-12-16T02:52:47.260086,0.047416,-0.985618,-0.023788,-0.144652,0.084071,0.233389,-1.206338,-0.046553,0.261707,0.091876,-0.468547,1.350973,16.806609,-9.551174
189260.0,2025-12-16T02:52:48.269888,1.057218,-0.985195,-0.019117,-0.143675,0.091563,0.198118,-1.100920,-0.009751,0.265900,0.096698,-0.474856,0.679177,16.654327,-10.520099
189290.0,2025-12-16T02:52:48.269888,1.057218,-0.984816,-0.015032,-0.142163,0.098493,0.172203,-1.043363,-0.035023,0.295574,0.057643,-0.452846,0.095809,16.437538,-11.408641
189306.0,2025-12-16T02:52:48.304369,1.091699,-0.984426,-0.010935,-0.140182,0.105524,0.152327,-0.985741,-0.098621,0.301947,0.028519,-0.450581,-0.480584,16.159042,-12.305008
189342.0,2025-12-16T02:52:48.304369,1.091699,-0.982568,-0.017025,-0.143855,0.116515,0.211998,-1.101554,-0.136237,0.275822,0.051572,-0.466383,-0.003923,16.658229,-13.525882
189363.0,2025-12-16T02:52:48.305100,1.092430,-0.981982,-0.012019,-0.141370,0.124825,0.185122,-0.996262,-0.137005,0.269840,0.039066,-0.480869,-0.697695,16.298807,-14.588511
189387.0,2025-12-16T02:52:48.305100,1.092430,-0.981438,-0.007428,-0.138772,0.132158,0.110918,-0.874882,-0.117643,0.273568,-0.008051,-0.470705,-1.316866,15.923634,-15.522577
189412.0,2025-12-16T02:52:48.305100,1.092430,-0.980782,-0.002844,-0.136559,0.139318,0.080162,-0.707839,-0.048912,0.263098,0.015217,-0.476211,-1.931866,15.584629,-16.433681
189439.0,2025-12-16T02:52:48.305100,1.092430,-0.978648,-0.009330,-0.140551,0.149688,0.096632,-0.822059,-0.077543,0.260788,0.047744,-0.485101,-1.420618,16.134464,-17.593826
189463.0,2025-12-16T02:52:48.305100,1.092430,-0.977795,-0.004783,-0.138890,0.156855,0.084178,-0.719334,-0.056688,0.256544,0.066564,-0.481969,-2.038443,15.849611,-18.510926
189486.0,2025-12-16T02:52:48.305100,1.092430,-0.976890,-0.000169,-0.136671,0.164337,0.074445,-0.603863,-0.029680,0.264818,0.048118,-0.482246,-2.652031,15.490678,-19.459021
189511.0,2025-12-16T02:52:48.305100,1.092430,-0.975930,0.004287,-0.134798,0.171384,0.020387,-0.505391,-0.016711,0.274512,0.034986,-0.471308,-3.241367,15.167229,-20.352100
189541.0,2025-12-16T02:52:48.305100,1.092430,-0.973671,-0.002352,-0.137976,0.181446,0.049171,-0.617700,0.013525,0.261365,0.041393,-0.468135,-2.707550,15.636898,-21.484156
189563.0,2025-12-16T02:52:48.305100,1.092430,-0.972562,0.002482,-0.135792,0.188883,0.025886,-0.471278,0.085995,0.258765,0.040174,-0.473324,-3.335173,15.259738,-22.428291
189589.0,2025-12-16T02:52:48.305100,1.092430,-0.971342,0.007501,-0.133945,0.196208,-0.006358,-0.319201,0.105189,0.250872,0.034151,-0.471579,-3.983754,14.908086,-23.361246
189611.0,2025-12-16T02:52:48.305100,1.092430,-0.970291,0.011983,-0.130799,0.203185,0.000139,-0.150266,0.096693,0.260720,0.015406,-0.457069,-4.524778,14.415777,-24.226973
189643.0,2025-12-16T02:52:48.309092,1.096421,-0.967869,0.004873,-0.133952,0.212750,0.058246,-0.302502,0.035973,0.268292,0.024196,-0.466630,-3.941759,14.905293,-25.310225
189662.0,2025-12-16T02:52:48.309092,1.096421,-0.966466,0.009754,-0.131462,0.220376,-0.021849,-0.195122,0.053573,0.280231,0.012404,-0.471459,-4.548948,14.466155,-26.267890
189693.0,2025-12-16T02:52:48.309092,1.096421,-0.964878,0.015112,-0.128191,0.228801,-0.026223,-0.043171,-0.009007,0.274053,0.013490,-0.473121,-5.191034,13.913766,-27.314101
189718.0,2025-12-16T02:52:48.309092,1.096421,-0.962777,0.018355,-0.131522,0.235427,0.046992,0.033211,0.023301,0.282606,0.006904,-0.481199,-5.757579,14.158787,-28.197319
189747.0,2025-12-16T02:52:48.309092,1.096421,-0.960173,0.011629,-0.133986,0.244909,0.021317,-0.135633,-0.022693,0.274593,-0.009866,-0.477838,-5.214501,14.572448,-29.285565
189767.0,2025-12-16T02:52:48.311114,1.098444,-0.958595,0.016453,-0.130551,0.252549,-0.030179,0.029960,-0.030414,0.263194,0.010209,-0.487226,-5.766227,14.003493,-30.227942
189797.0,2025-12-16T02:52:48.311114,1.098444,-0.956300,0.012652,-0.136805,0.258100,0.037482,-0.054834,-0.032436,0.264975,0.025748,-0.485476,-5.627630,14.780808,-30.938383
189817.0,2025-12-16T02:52:48.312632,1.099962,-0.955241,0.014365,-0.129894,0.265399,-0.047654,0.004252,-0.022714,0.264210,0.023603,-0.484845,-5.699238,13.918166,-31.750452
189847.0,2025-12-16T02:52:48.312632,1.099962,-0.952243,0.007810,-0.132736,0.274870,-0.062937,-0.164236,-0.073850,0.258439,0.031852,-0.488772,-5.203206,14.388809,-32.859423
189870.0,2025-12-16T02:52:48.312632,1.099962,-0.949883,0.012868,-0.134157,0.282062,-0.036070,-0.042483,-0.104390,0.247220,0.031305,-0.483856,-5.931792,14.336005,-33.823537
189896.0,2025-12-16T02:52:48.312632,1.099962,-0.948823,0.013514,-0.127077,0.288798,-0.067373,0.027570,-0.120760,0.242093,0.031813,-0.486360,-5.846096,13.493867,-34.550101
