t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,vx_mps,vy_mps,vz_mps,px_m,py_m,pz_m,roll_deg,pitch_deg,yaw_deg
601050.0,2025-12-16T03:23:49.749290,0.054105,-0.460780,0.120965,-0.803737,0.356449,8.109749,-4.217759,-13.182833,-0.058254,-0.000360,0.003178,2.199834,-3.818224,-2.374949,189.387863,133.613434,1246.498047,-115.143103,40.878388,-136.241168
601087.0,2025-12-16T03:23:50.776974,1.081789,-0.463207,0.120333,-0.801381,0.358815,8.131211,-4.275064,-13.098795,-0.035657,0.014711,0.006263,2.209459,-3.781782,-2.319879,189.476074,133.461411,1246.404175,-114.534122,40.999762,-135.893471
601121.0,2025-12-16T03:23:50.809054,1.113869,-0.463347,0.120333,-0.801357,0.358687,8.122496,-4.420578,-13.042788,-0.033258,0.020795,0.005441,2.218290,-3.751162,-2.265831,189.560822,133.317245,1246.316406,-114.534751,41.017447,-135.881056
601164.0,2025-12-16T03:23:50.812101,1.116916,-0.463628,0.120563,-0.801331,0.358305,8.127766,-4.307113,-13.088150,-0.048462,0.008912,0.004438,2.226460,-3.721497,-2.212871,189.645859,133.174286,1246.230713,-114.547584,41.044309,-135.836096
601205.0,2025-12-16T03:23:50.812994,1.117809,-0.464464,0.120989,-0.800962,0.357904,8.144938,-4.462963,-13.030046,-0.054100,-0.021006,0.006608,2.235301,-3.689856,-2.155357,189.740494,133.017075,1246.138062,-114.489862,41.104209,-135.698348
601245.0,2025-12-16T03:23:50.813956,1.118771,-0.465010,0.121488,-0.800856,0.357263,8.138393,-4.335379,-13.062009,-0.061788,-0.009683,0.003930,2.243068,-3.661422,-2.102941,189.828430,132.872726,1246.054443,-114.499021,41.147871,-135.600560
601286.0,2025-12-16T03:23:50.814555,1.119370,-0.465545,0.121891,-0.800706,0.356764,8.145458,-4.231821,-13.082987,-0.066061,-0.010005,0.005620,2.249912,-3.630507,-2.055293,189.912201,132.736755,1245.976929,-114.492027,41.189833,-135.508408
601316.0,2025-12-16T03:23:50.815073,1.119888,-0.465949,0.122168,-0.800639,0.356292,8.163388,-4.227228,-13.077926,-0.052237,0.000923,0.006851,2.256717,-3.597884,-2.008836,189.996567,132.601425,1245.900879,-114.500653,41.228154,-135.446088
601358.0,2025-12-16T03:23:50.815073,1.119888,-0.466327,0.122263,-0.800490,0.356098,8.171488,-4.251678,-13.064507,-0.034271,0.006197,0.006381,2.263746,-3.564720,-1.961201,190.084778,132.461670,1245.823364,-114.478277,41.262141,-135.394686
601402.0,2025-12-16T03:23:50.816777,1.121592,-0.469067,0.121215,-0.797791,0.358905,8.190712,-4.301529,-12.967102,-0.013524,0.006747,0.015936,2.271112,-3.531606,-1.909826,190.178406,132.315155,1245.743408,-113.771914,41.408673,-135.024765
601440.0,2025-12-16T03:23:50.816777,1.121592,-0.471678,0.120921,-0.795709,0.360203,8.208582,-4.366884,-12.860589,-0.033991,0.000519,0.015046,2.278198,-3.502906,-1.858629,190.267151,132.177933,1245.669922,-113.268240,41.569206,-134.651362
601482.0,2025-12-16T03:23:50.818343,1.123158,-0.474366,0.120604,-0.793244,0.362209,8.233218,-4.334419,-12.802727,-0.060803,-0.004268,0.006823,2.285681,-3.474514,-1.804372,190.358246,132.038666,1245.596802,-112.652004,41.698355,-134.234193
601518.0,2025-12-16T03:23:50.820509,1.125324,-0.476719,0.120655,-0.791371,0.363199,8.263140,-4.321647,-12.739182,-0.057943,0.003991,0.004807,2.293129,-3.447421,-1.752667,190.443741,131.909424,1245.530396,-112.208070,41.826609,-133.864104
601554.0,2025-12-16T03:23:50.821414,1.126229,-0.479107,0.120574,-0.789422,0.364322,8.289963,-4.351110,-12.673089,-0.048538,0.005371,0.007425,2.301091,-3.420827,-1.699668,190.529831,131.780716,1245.465698,-111.740921,41.957568,-133.494503
601596.0,2025-12-16T03:23:50.821414,1.126229,-0.481796,0.120135,-0.786857,0.366465,8.302467,-4.397842,-12.585009,-0.059722,0.003322,0.007320,2.309983,-3.393416,-1.639785,190.624908,131.640213,1245.396851,-111.096346,42.079339,-133.072717
601635.0,2025-12-16T03:23:50.823441,1.128256,-0.484433,0.120027,-0.784743,0.367555,8.323917,-4.316461,-12.554979,-0.052826,0.002827,0.012093,2.318604,-3.366469,-1.581044,190.717361,131.505203,1245.332520,-110.593764,42.227616,-132.665489
