t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg
988085.0,2025-12-15T01:34:33.326066,0.040259,0.144559,0.002832,0.010132,0.989440,0.000417,0.001533,0.021302,-0.005326,0.004261,0.001065,1.195767,-0.153312,163.373966
988113.0,2025-12-15T01:34:34.341644,1.055837,0.145626,0.003026,0.009455,0.989290,0.004937,-0.010681,0.010466,-0.005326,0.002131,0.001065,1.122472,-0.185274,163.250262
988140.0,2025-12-15T01:34:34.341644,1.055837,0.145607,0.005100,0.010518,0.989273,0.031560,0.010577,0.021227,-0.004261,0.002131,0.000000,1.277616,-0.402626,163.249504
988169.0,2025-12-15T01:34:34.342648,1.056841,0.145640,0.002796,0.009555,0.989288,0.005770,0.000347,0.007878,-0.008522,0.006392,-0.001065,1.129878,-0.157454,163.248887
988193.0,2025-12-15T01:34:34.342648,1.056841,0.145640,0.002907,0.011800,0.989263,0.005344,0.030268,0.014146,-0.011718,0.008522,0.000000,1.386345,-0.132613,163.248423
988219.0,2025-12-15T01:34:34.343647,1.057840,0.146630,0.002995,0.011244,0.989123,-0.009954,0.022651,0.014244,-0.005326,0.007457,-0.001065,1.324887,-0.150556,163.133799
988239.0,2025-12-15T01:34:34.343647,1.057840,0.146621,0.003201,0.008849,0.989148,-0.002550,-0.023656,0.024908,-0.004261,0.008522,0.000000,1.056854,-0.214129,163.134908
988265.0,2025-12-15T01:34:34.343647,1.057840,0.146604,0.004011,0.011089,0.989125,0.007840,0.015890,0.013092,0.001065,0.004261,0.001065,1.324403,-0.268327,163.135347
988292.0,2025-12-15T01:34:34.343647,1.057840,0.146592,0.003538,0.008835,0.989151,-0.006916,-0.019346,0.011742,0.006392,-0.002131,0.001065,1.060975,-0.252603,163.137972
988319.0,2025-12-15T01:34:34.343647,1.057840,0.147518,0.003736,0.008503,0.989016,-0.005406,-0.025985,0.008144,0.008522,-0.002131,0.001065,1.026868,-0.279643,163.030558
988344.0,2025-12-15T01:34:34.345158,1.059350,0.147527,0.001393,0.009038,0.989016,-0.021670,0.008039,0.020780,-0.003196,0.002131,0.001065,1.047931,-0.005113,163.031994
988363.0,2025-12-15T01:34:34.345158,1.059350,0.147483,0.003423,0.010201,0.989006,0.009585,0.003221,0.018885,-0.004261,0.001065,0.002131,1.214084,-0.215500,163.034604
988387.0,2025-12-15T01:34:34.345158,1.059350,0.147467,0.003234,0.007777,0.989031,-0.006077,-0.026820,0.019797,-0.004261,-0.001065,0.001065,0.936074,-0.235089,163.037095
988417.0,2025-12-15T01:34:34.346171,1.060364,0.148557,0.003416,0.007220,0.988872,0.016276,-0.048229,0.016118,-0.003196,0.000000,-0.001065,0.876367,-0.264124,162.910850
988444.0,2025-12-15T01:34:34.346171,1.060364,0.148555,0.002590,0.009406,0.988856,0.000268,-0.003683,0.027084,-0.004261,0.000000,0.001065,1.109960,-0.133345,162.911464
988468.0,2025-12-15T01:34:34.346171,1.060364,0.148535,0.004658,0.010401,0.988841,0.015444,0.004329,0.021440,-0.006392,0.004261,0.000000,1.258012,-0.350795,162.910932
988492.0,2025-12-15T01:34:34.346171,1.060364,0.148543,0.002441,0.009408,0.988858,-0.014073,-0.003689,0.015202,-0.001065,0.004261,0.001065,1.107652,-0.116424,162.913117
988516.0,2025-12-15T01:34:34.346171,1.060364,0.149483,0.002582,0.008845,0.988721,-0.008117,-0.018968,0.017616,-0.001065,0.005326,0.001065,1.046376,-0.141082,162.804008
988540.0,2025-12-15T01:34:34.346171,1.060364,0.149464,0.003497,0.010948,0.988700,0.012386,0.020236,0.015224,-0.006392,0.004261,0.001065,1.300373,-0.208695,162.804773
988564.0,2025-12-15T01:34:34.346171,1.060364,0.149459,0.002345,0.008756,0.988726,-0.018202,-0.024677,0.016527,-0.007457,0.003196,0.001065,1.032225,-0.115700,162.807045
988591.0,2025-12-15T01:34:34.347169,1.061362,0.149429,0.003108,0.011063,0.988706,0.004476,0.009105,0.028710,0.004261,0.000000,0.002131,1.306751,-0.162650,162.809297
988618.0,2025-12-15T01:34:34.347169,1.061362,0.150316,0.003247,0.010660,0.988575,0.007450,0.010250,0.020126,0.003196,0.001065,0.000000,1.263588,-0.184236,162.706366
988641.0,2025-12-15T01:34:34.347169,1.061362,0.150320,0.003533,0.008286,0.988596,-0.001344,-0.032024,0.015269,-0.002131,0.004261,-0.001065,0.999621,-0.257529,162.706051
988664.0,2025-12-15T01:34:34.347169,1.061362,0.150331,0.002694,0.010528,0.988576,-0.002943,0.007742,0.015362,-0.002131,0.006392,0.000000,1.239202,-0.123826,162.705393
988690.0,2025-12-15T01:34:34.347169,1.061362,0.150318,0.003510,0.008410,0.988596,0.005628,-0.026888,0.006786,0.006392,0.007457,0.000000,1.013235,-0.252745,162.706374
988717.0,2025-12-15T01:34:34.347169,1.061362,0.151293,0.003562,0.007978,0.988450,0.002631,-0.031682,0.027091,-0.005326,0.006392,-0.001065,0.965479,-0.265124,162.593404
