t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,gx_rads,gy_rads,gz_rads,roll_deg,pitch_deg,yaw_deg
7870.0,2025-12-15T20:42:11.638935,0.118505,0.997760,-0.014130,0.018585,0.062684,0.016311,0.055476,0.006328,-0.001085,-0.001478,-0.000641,-1.483329,2.226994,7.160852
7913.0,2025-12-15T20:42:11.638935,0.118505,0.997949,-0.002774,0.012027,0.062808,-0.100306,-0.201629,-0.001376,-0.003733,-0.001892,-0.000462,-0.230714,1.395509,7.199773
7955.0,2025-12-15T20:42:11.696136,0.175706,0.997774,-0.013389,0.018293,0.062718,0.013555,0.013030,-0.003603,0.019133,0.006917,0.002007,-1.400537,2.188357,7.166828
7999.0,2025-12-15T20:42:11.754102,0.233672,0.997131,-0.022502,0.025534,0.067606,0.130996,0.258537,-0.005034,0.018957,0.005788,0.001790,-2.377465,3.093401,7.693295
8041.0,2025-12-15T20:42:12.134679,0.614249,0.997451,-0.011245,0.019302,0.067763,0.017654,0.039372,-0.005029,-0.002263,-0.000180,-0.000705,-1.136436,2.294199,7.750208
8086.0,2025-12-15T20:42:12.140321,0.619891,0.996763,-0.020213,0.026089,0.073315,0.167110,0.190867,0.014744,-0.003179,0.000043,-0.000479,-2.093202,3.151277,8.355815
8122.0,2025-12-15T20:42:12.140321,0.619891,0.997080,-0.011937,0.017430,0.073386,0.005676,-0.001054,-0.001604,0.012573,0.004088,0.001171,-1.218167,2.092290,8.396591
8169.0,2025-12-15T20:42:12.140321,0.619891,0.996522,-0.020820,0.023961,0.077052,0.108119,0.199530,0.005630,0.013324,0.004302,0.000787,-2.169266,2.921271,8.787392
8202.0,2025-12-15T20:42:12.140321,0.619891,0.996803,-0.010788,0.017543,0.077195,0.002671,-0.003909,0.002779,0.011122,0.005153,0.001487,-1.077859,2.099790,8.836832
8245.0,2025-12-15T20:42:12.142809,0.622379,0.996623,-0.023093,0.016827,0.076984,-0.031462,0.229976,0.002443,0.008943,0.002945,0.001666,-2.491385,2.125896,8.787778
8286.0,2025-12-15T20:42:12.142809,0.622379,0.995752,-0.031341,0.024092,0.083163,0.101792,0.387644,-0.000321,0.005163,0.001597,0.000083,-3.353195,3.049135,9.459043
8325.0,2025-12-15T20:42:12.151875,0.631445,0.996116,-0.019694,0.020283,0.083391,0.046018,0.163232,-0.002084,0.016286,0.004484,0.002916,-2.056548,2.504253,9.525945
8366.0,2025-12-15T20:42:12.151875,0.631445,0.995253,-0.027468,0.026619,0.089491,0.151022,0.333923,-0.001758,0.013451,0.003602,0.002820,-2.865738,3.319318,10.193126
8407.0,2025-12-15T20:42:12.151875,0.631445,0.995612,-0.016507,0.021137,0.089654,0.048228,0.120448,0.000782,0.001480,0.000968,-0.000422,-1.667984,2.581924,10.253484
8449.0,2025-12-15T20:42:12.170178,0.649749,0.995855,-0.006680,0.013236,0.089742,-0.069827,-0.105646,0.003121,0.001768,0.001128,-0.000411,-0.626455,1.579353,10.290037
8492.0,2025-12-15T20:42:12.228537,0.708107,0.995170,-0.015539,0.020404,0.094760,0.058386,0.066727,0.014958,0.006695,0.001976,0.000401,-1.552167,2.496357,10.844745
8533.0,2025-12-15T20:42:12.237535,0.717105,0.995392,-0.006602,0.012326,0.094866,-0.080640,-0.112272,0.008097,0.015845,0.003774,0.002190,-0.619264,1.477859,10.880268
8572.0,2025-12-15T20:42:12.301316,0.780886,0.994739,-0.015388,0.019471,0.099386,0.032165,0.086692,0.002960,0.011709,0.003422,0.001836,-1.533843,2.395388,11.379097
8613.0,2025-12-15T20:42:12.330281,0.809852,0.994934,-0.004661,0.013338,0.099534,-0.064300,-0.145820,0.009497,0.005877,0.001727,0.000946,-0.379361,1.574090,11.420615
8656.0,2025-12-15T20:42:12.377982,0.857552,0.994738,-0.016207,0.018730,0.099411,0.030527,0.079501,0.000651,0.011765,0.003752,0.001540,-1.635629,2.320211,11.380867
8701.0,2025-12-15T20:42:12.422413,0.901983,0.993876,-0.024175,0.025137,0.104849,0.124552,0.259001,0.001485,0.010729,0.003420,0.000879,-2.455704,3.154903,11.976642
8736.0,2025-12-15T20:42:12.454078,0.933648,0.994216,-0.013256,0.018317,0.104993,0.019617,0.029293,0.006898,0.012087,0.003336,0.000710,-1.290970,2.246935,12.031290
