# source_file=20251212_123242_glider_ble.csv
# total_time_s=18.849000
# distance_path_m=0.204363
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2,ay_lin_mps2,az_lin_mps2,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
2787.04,2787040.0,0.024999999999636202,-0.451349,0.042514,-0.030035,0.890828,-5.278572521861134,-2.787553108147776,-126.13224493196022,0.0100019875,0.0046564125,-0.02068635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2787.059,2787059.0,0.01900000000023283,-0.451385,0.042202,-0.030995,0.890792,-5.360563067685391,-2.7056557190780435,-126.12855396710525,0.0029619875,-0.0165095875,-0.020881349999999996,0.00019003776250232877,8.847183750108416e-05,-0.0003930406500048164,0.00044544648361382125,0.0,0.0,0.0,0.0
2787.082,2787082.0,0.022999999999683496,-0.451353,0.04237,-0.030018,0.890834,-5.269317713807225,-2.7737317430210373,-126.13305791703839,-4.501249999999972e-05,0.0006724125,0.012536650000000003,0.0002581634750013913,-0.00029124867499369047,-0.0008733116999982073,0.0009561106085930294,4.370868537493414e-06,2.034852262496934e-06,-9.039934949986378e-06,1.0245269122976904e-05
2787.108,2787108.0,0.026000000000294676,-0.451308,0.043342,-0.030077,0.890808,-5.326049153550342,-2.87004671495803,-126.13045291670754,0.0045179875,0.0007264125,-0.0006673499999999971,0.00025699315000137803,-0.0002737659499934923,-0.0005473587999945129,0.000663773252289442,1.1083118887605663e-05,-5.537613287424842e-06,-3.174603915019711e-05,3.510414494667741e-05
2787.128,2787128.0,0.01999999999998181,-0.451281,0.043359,-0.030109,0.890819,-5.330122448942292,-2.870275241887771,-126.13361036437385,0.0041209875,-0.0092615875,0.0004996500000000043,0.00034735290000129586,-0.00025923769999350554,-0.0005607057999945006,0.000708695432738709,1.6222981887628548e-05,-1.1012932287289708e-05,-4.2693215150077414e-05,4.837960999245418e-05
2787.146,2787146.0,0.018000000000029104,-0.451246,0.043656,-0.029149,0.890854,-5.2473432453134325,-2.9506332348438433,-126.1373889370588,0.00017598750000000023,-0.0063905875,0.011188650000000001,0.0004215306750014158,-0.0004259462749937751,-0.000551712099994486,0.0008145579048959918,2.2475334087661982e-05,-1.5679210887180352e-05,-5.2785919549994746e-05,6.113612778177157e-05
2787.165,2787165.0,0.018999999999778083,-0.451247,0.044198,-0.030008,0.890799,-5.363578597906325,-2.9612770996005984,-126.13099829484523,-0.0023140124999999996,0.0007994125,0.013499650000000002,0.00042487443750137676,-0.0005473674374923569,-0.0003391277499969689,0.0007714512493262728,3.0484416912595337e-05,-2.3772190111967552e-05,-6.326844944976754e-05,7.661272797461465e-05
2787.188,2787188.0,0.023000000000138243,-0.451272,0.043343,-0.029583,0.890842,-5.275450833799256,-2.896020324181949,-126.13591342151872,0.0004789875000000002,-0.0009015875000000001,0.00396465,0.00037165215000105686,-0.0005289809499922464,-2.8635799995102606e-05,0.0006471214531264337,4.025652897518574e-05,-3.636164117436743e-05,-7.106838769974471e-05,9.435610670922558e-05
2787.209,2787209.0,0.02099999999973079,-0.451325,0.042442,-0.030046,0.890843,-5.275857035139876,-2.7797807345349494,-126.13588556780599,0.0055939875,0.0076714125000000005,-0.021495349999999996,0.0003817108875009279,-0.0005479142874920037,5.4621850003830076e-05,0.0006699976228110492,4.8061224125107876e-05,-4.7470241124062196e-05,-7.166973949963416e-05,0.00010794565722470647
2787.228,2787228.0,0.01900000000023283,-0.451333,0.04248,-0.030083,0.890836,-5.281654092027983,-2.781686916084799,-126.1344841311326,-0.008912012499999998,0.0045354125,-0.034384349999999994,0.00048799665000223035,-0.0004021574499902175,-0.00035378980000117465,0.0007245954509799967,5.531373098771438e-05,-5.788061258653783e-05,-7.063192434954867e-05,0.0001206756120582724
