# source_file=20251214_030614_glider_ble.csv
# total_time_s=15.733000
# distance_path_m=0.262862
# lpf_cutoff_hz=7.0
# zupt_alin_tol=0.35
# zupt_w_tol=0.15
# zupt_win_s=0.25
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_bias,ay_lin_mps2_bias,az_lin_mps2_bias,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
94.739,94739.0,0.02400000000000091,0.871725,0.000196,-0.006089,0.489957,-0.3223081471736643,-0.6192608419035972,58.678438532327,0.00745,-0.005663,19.650713,0.0036773855421686754,-0.00860577108433735,-0.006067445783134673,0.0036773855421686754,-0.00860577108433735,-0.006067445783134673,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.762,94762.0,0.022999999999996135,0.871343,0.000191,-0.005479,0.490644,-0.2889932857155151,-0.5578177521909641,58.7682173073249,0.035574,-0.004872,19.65922,0.03180138554216868,-0.00781477108433735,0.0024395542168669238,0.01782042502258658,-0.008207991812931768,-0.0017894328098756176,0,8.457986746986533e-05,-0.00019793273493972578,-0.000139551253012074,0.00025652616583728767,1.9453369518065754e-06,-4.552452903612927e-06,-3.209678819277163e-06,0.0
94.782,94782.0,0.01999999999999602,0.871337,-0.000232,-0.006374,0.490643,-0.3815589936114863,-0.6233987302896339,58.76908402776909,0.0357,0.002883,19.658346,0.03192738554216868,-5.97710843373493e-05,0.0015655542168673264,0.0244222697132645,-0.004394747444602282,-0.0002193494982330648,0,0.00044098836792152605,-0.0003620925711983285,-0.00017533990920957926,0.0005969303598584439,1.0765104310235342e-05,-1.1794304327578057e-05,-6.716477003468051e-06,5.130523316744733e-06
94.803,94803.0,0.021000000000000796,0.87133,-0.000876,-0.00717,0.490644,-0.49062888309994823,-0.6666665584048636,58.77036967839475,0.004605,-0.000833,19.649824,0.0008323855421686751,-0.0037757710843373494,-0.006956445783135479,0.013095609630202286,-0.004097546543515947,-0.003454159767435252,0,0.0009538560319001,-0.00045438226753497993,-0.00017994624867247378,0.0010717673381166876,3.07960809801382e-05,-2.1336331945812997e-05,-1.0495348225590143e-05,1.766606087377253e-05
94.828,94828.0,0.025000000000005684,0.871337,-0.000208,-0.006421,0.490642,-0.38180487597455665,-0.6294413300460567,58.768986517085324,0.009107,-0.001703,19.650845,0.005334385542168676,-0.0046457710843373495,-0.005935445783133986,0.009030985588317294,-0.004384656749805404,-0.004753631948602149,0,0.0012812462726552315,-0.0005568209311229018,-0.0002663002428583747,0.0014221664388797564,6.282723779652627e-05,-3.525685522388871e-05,-1.7152854297051023e-05,4.4460244326695816e-05
94.845,94845.0,0.016999999999995907,0.871328,-0.000849,-0.007177,0.490647,-0.48832883115403936,-0.6688817404275936,58.770753859718354,0.001629,0.000477,19.652191,-0.0021436144578313244,-0.0024657710843373495,-0.004589445783135915,0.004250278149829754,-0.003563720793563106,-0.004683389969533582,0,0.0014347730276565885,-0.0006313600958695758,-0.00034711198598459176,0.0016055142298844506,8.721837926668241e-05,-4.5989976853668915e-05,-2.3053758058787662e-05,6.863707378764586e-05
94.873,94873.0,0.028000000000005798,0.870956,-0.000896,-0.006571,0.491316,-0.45940681307661907,-0.6053793035209334,58.8580747207782,0.01591,0.007476,19.646248,0.012137385542168675,0.00453322891566265,-0.010532445783134392,0.008602950353799564,0.0009047574688885686,-0.007911318967185837,0,0.0015537808158518462,-0.0007311442780893635,-0.0004782469051315592,0.0017825618871051743,0.00013072424211054313,-6.646201664017534e-05,-3.6444671402474096e-05,0.0001135914722244198
94.893,94893.0,0.01999999999999602,0.87095,-0.001214,-0.00754,0.491313,-0.5457130615306699,-0.6841861966561602,58.85899073952076,-0.00311,0.000219,19.657028,-0.0068826144578313245,-0.0027237710843373494,0.0002475542168660638,0.00135593965352132,-0.0007933391502120142,-0.0040930894104164285,0,0.0017258398229278032,-0.0007130491287115957,-0.0006364732844752445,0.0019728305543585192,0.0001652410385690923,-8.072299921440442e-05,-4.917413709197646e-05,0.0001492427099665162
94.917,94917.0,0.02400000000000091,0.870954,-0.000226,-0.007514,0.491307,-0.4456325381719579,-0.7372237055866353,58.85773897512669,-0.003599,0.005388,19.648645,-0.007371614457831325,0.002445228915662651,-0.008135445783135964,-0.0031258177573560654,0.0008697243203409156,-0.006168912762491338,0,0.0017583823746123162,-0.0007320892683166848,-0.0007347074303252425,0.0020414843326136078,0.00020744221555978948,-9.829314165400552e-05,-6.680711541978294e-05,0.00019659064327112244
94.936,94936.0,0.019000000000005457,0.870961,-0.000611,-0.006602,0.491308,-0.4327014844966005,-0.6245243694171659,58.85696652124559,0.005388,0.00695,19.665281,0.0016153855421686758,0.00400722891566265,0.008500554216865908,-0.0009674423687235185,0.0022980352938321317,0.000509184440338234,0,0.0016989918372225339,-0.0007155645062302027,-0.0008519167728126115,0.0020308540108350303,0.0002397230604670269,-0.00011188886727238327,-8.29935341032272e-05,0.00023537884559079214
