# source_file=20251214_030936_glider_ble.csv
# total_time_s=20.701000
# distance_path_m=0.090196
# lpf_cutoff_hz=7.0
# zupt_alin_tol=0.35
# zupt_w_tol=0.15
# zupt_win_s=0.25
# dt_clamp=[0.0001,0.1]
# dv_max=0.0005
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_bias,ay_lin_mps2_bias,az_lin_mps2_bias,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
296.654,296654.0,0.02400000000000091,0.08782399322271052,0.0020949998383309634,-0.04908099621246874,0.9949239232227186,-5.5839260068649,-0.7328163306776795,169.94665448181902,0.00289,-0.019897,19.666836,0.0033840000000000003,-0.019253530120481928,0.005384421686745355,0.0033840000000000003,-0.019253530120481928,0.005384421686745355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296.68,296680.0,0.02600000000001046,0.08784700551841729,0.002543000159747461,-0.04819700302766353,0.994964062502152,-5.478401637824294,-0.7751388448947755,169.94577810669946,-0.004513,-0.006711,19.659239,-0.004019,-0.006067530120481927,-0.0022125783132551646,-0.0005653667826976913,-0.012219037293702006,0.0013315594081884973,0,8.344580384464799e-05,-0.0004747713645835569,0.0001327740531586943,0.0004999999999999999,2.1695908999617204e-06,-1.2344055479177444e-05,3.4521253821274402e-06,0.0
296.702,296702.0,0.02199999999999136,0.08780799541181282,0.0018039999057364972,-0.04887699744605475,0.9949359480121106,-5.563526530659563,-0.6974965734088538,169.94675710250908,-0.004086,-0.003136,19.657209,-0.003592,-0.0024925301204819276,-0.0042425783132529205,-0.002053772205465311,-0.0074358392707474736,-0.0014096306258129915,0,7.100773462530367e-05,-0.0007435901850448955,0.00016206836013882972,0.0007643524154667197,3.7317610617177877e-06,-2.870303955015872e-05,7.017629305180294e-06,1.0999999999995678e-05
296.725,296725.0,0.023000000000024556,0.08783701485012226,0.00217700036805351,-0.047962008108673605,0.9949771682153317,-5.4552048946079665,-0.7309885313107147,169.94479131348535,0.001939,0.003863,19.668222,0.0024330000000000003,0.004506469879518073,0.006770421686745465,0.0002025425592045993,-0.0014302728577313562,0.0027039664019380054,0,2.3770973899551083e-05,-0.00091461448827227,0.0001296468557450963,0.0009240633249741433,4.278493461408046e-06,-4.973917278044339e-05,9.999506987320693e-06,2.8580105555748997e-05
296.748,296748.0,0.022999999999967713,0.08775696357095114,0.0021749990971297872,-0.047933980101985844,0.9949855869686338,-5.452080045459347,-0.730040555066213,169.95395932946994,0.00086,-0.000423,19.656925,0.0013540000000000002,0.00022046987951807246,-0.0045265783132535375,0.0007815892113586424,-0.0006001448636722807,-0.0009321408150943576,0,2.8429452761250327e-05,-0.000947510764000045,0.00019183808298958314,0.0009671539338519859,4.932370874915885e-06,-7.153192035241383e-05,1.4411782896074912e-05,4.983356203012446e-05
296.773,296773.0,0.025000000000034106,0.08775302462060632,0.0022080006194921966,-0.04893201372871023,0.9949372791466068,-5.565822784582612,-0.7438065504004373,169.95531805830012,-0.000194,0.000618,19.657734,0.0003000000000000001,0.0012614698795180724,-0.003717578313253256,0.0005293765365796851,0.0003747998043433908,-0.002390899909506649,0,4.796918304524304e-05,-0.0009625143855918725,0.00016853456261219243,0.0009783347503734142,6.131600451048598e-06,-9.559477999224348e-05,1.862514696138547e-05,7.40124103764571e-05
296.793,296793.0,0.01999999999998181,0.08774397020899681,0.001995999322314433,-0.04796398371517509,0.9949856621805354,-5.457304374239466,-0.7098602782852269,169.95451650068193,-0.001609,0.012079,19.66177,-0.0011149999999999999,0.012722469879518071,0.00031842168674600657,-0.00024016687374038787,0.006153323109547809,-0.0011229782781442947,0,5.855671377682711e-05,-0.0009550183895050114,0.00012071656442210293,0.0009643969628461937,7.3027347265840745e-06,-0.00011469514778232633,2.103947824982533e-05,9.357910538390758e-05
296.815,296815.0,0.02199999999999136,0.08778897251476941,0.002729999145283811,-0.04730098519086797,0.9950116884788042,-5.374175242863827,-0.7871411099193563,169.95274711302156,0.007086,0.00534,19.663568,0.00758,0.005983469879518073,0.002116421686746861,0.003605551436388204,0.006069794498546774,0.0004700593078750504,0,5.327304255454066e-05,-0.0008196452810950129,9.601104230293816e-05,0.000826967063508842,8.474741662783509e-06,-0.00013272734396640952,2.3151721180489143e-05,0.00011479583856651552
296.832,296832.0,0.016999999999995907,0.0877610243328005,0.002125000589181995,-0.04810101333658501,0.9949772758694277,-5.471666323070042,-0.7260396345277126,169.95334536177162,0.001819,0.002051,19.65748,0.002313,0.002694469879518072,-0.003971578313255009,0.003052573232152736,0.004625766126447484,-0.0014301581430144815,0,0.00011456741697312537,-0.0007164587746197426,0.00010400205053681209,0.000732977008696302,1.0422387751326171e-05,-0.0001449071431349422,2.4919756039614523e-05,0.00012885427864616246
296.855,296855.0,0.023000000000024556,0.08768896068032268,0.0021229990480485014,-0.048081978440069735,0.9949845538495234,-5.4695630690900305,-0.7252246487990289,169.96160192963782,-0.009207,0.008981,19.660473,-0.008713,0.009624469879518071,-0.0009785783132549852,-0.0028641159561628078,0.007139521798849484,-0.0012030669980545585,0,0.00018477660131271327,-0.0006100661537113369,7.11084132474439e-05,0.0006413887360496684,1.4672249581523113e-05,-0.00015893866467031793,2.655524954430748e-05,0.0001457127498461954
296.879,296879.0,0.02400000000000091,0.08768697810188984,0.002099999475566146,-0.049085987741733256,0.9949357515342282,-5.584547093125491,-0.7326687191361198,169.96242946233264,-0.000476,-0.003459,19.654011,1.8000000000000058e-05,-0.0028155301204819275,-0.007440578313254065,-0.0013840971123107258,0.0020274219887667436,-0.004406142247506586,0,0.00011603781836480328,-0.00043871763053894276,4.2234805294133395e-05,0.00045576497607297635,1.7457157222278496e-05,-0.00016946788780325295,2.756888487136672e-05,0.00016110607951138803
