# source_file=20251215_010158_glider_ble.csv
# total_time_full_s=23.791000
# cut_tail_seconds=5.000000
# cut_time_s=18.791000
# note=NO_ZUPT; cut last N seconds to remove end-peak region
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,15688.0,0.025000000000000355,0.9789075869280054,0.008355996474000022,0.009826995853278868,-0.20389591396154957,0.7079243796777711,1.2976855209191323,-23.52371760799072,0.010402,-0.022401,0.048165,0.008228746835443038,0.0014287190486399677,0.02073886075949367,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023,15711.0,0.023,0.9789296732230509,0.006600997796517994,0.008155997277442926,-0.20392793192672645,0.5499920852339083,1.0692328848846269,-23.529678822876384,-0.009887,0.017332,0.050486,-0.0019742160438850336,0.0026039149365485424,0.021906048735388022,-0.010057616975554174,0.0011584546814120274,0.0011505608457913787,0.44301225886444273,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049,15737.0,0.026000000000000002,0.978688105356759,0.007683000827082767,0.009767001051427488,-0.20497602206587495,0.6324011222658037,1.2759310567957847,-23.651002061737227,0.012413,0.001518,0.030414,0.004541712536516412,0.004704771668295491,0.01181353716159172,-0.003484760367783786,0.003206922227936988,-0.008798220518291303,0.4653320280298237,0,-0.00026149804136440857,3.0119821716712717e-05,2.9914581990575848e-05,0.00026492133080093677,-3.3994745377373118e-06,3.9155768231726535e-07,3.8888956587748605e-07,0.0
0.071,15759.0,0.021999999999999992,0.9786955110869073,0.009277995365122903,0.008135995935615427,-0.20494589761807272,0.8496515094114014,1.1304216386093788,-23.646108965015404,-0.020691,-0.011558,0.02575,-0.008935701156189652,-0.0008221490184143424,0.005179727886821681,-0.016730902664535002,-0.0022883663531087913,-0.015221621206288767,0.7142564745471194,0,-0.00033720569900541424,0.00010056187360992743,-0.0001637557553655516,0.0003881189524888104,-9.98521568180536e-06,1.8290563309103065e-06,-1.0833633412472466e-06,5.828269277620607e-06
0.097,15785.0,0.02600000000000001,0.9787029299229153,0.006924999504156203,0.008870999364818727,-0.20497298532352481,0.5684080328874813,1.1576266405616646,-23.651612671309362,0.004814,0.010124,0.046909,-0.002759875253208026,0.0076975965031496705,0.01281019092286539,-0.010385417652190344,0.006131217865633216,-0.007469140191286452,0.5033255389362735,0,-0.0007707511050063327,4.0629523112063615e-05,-0.0005588098337219937,0.0009528779849913623,-2.4388654133958078e-05,3.6645444882961907e-06,-1.0476715999385338e-05,1.591936204232968e-05
0.118,15806.0,0.02099999999999999,0.9787039870414699,0.0089209998818815,0.008167999891851596,-0.20491999728675675,0.8088821278504913,1.1256073494477334,-23.643440917302048,-0.009985,-0.01283,0.04465,-0.00727249732298661,0.0002535231607313929,0.014929410228723898,-0.014704024687041871,-0.0012957583481737703,-0.005280249632913247,0.4221787358278108,0,-0.0009861519621824828,0.00016924314352522,-0.0007137093620415434,0.0012290321344913672,-4.2836136339440634e-05,5.868207487987668e-06,-2.3838167554902473e-05,3.592979972714828e-05
0.149,15837.0,0.031,0.9784437495350659,0.01011899740970902,0.009684997520805597,-0.20603794725779492,0.906171317270287,1.3249251563879216,-23.77242171895375,-0.002618,-0.014279,0.020322,-0.005841092546131945,-0.005231891944892479,0.002218477346858554,-0.013019036746940972,-0.006651614148508145,-0.01764744774323313,0.43813050575723334,0,-0.0014368947487595793,0.0001282024668641133,-0.0008737191119439792,0.00168656084328407,-8.03933603590426e-05,1.0478614449022333e-05,-4.844330890167807e-05,7.402979589638067e-05
0.174,15862.0,0.024999999999999994,0.9784610686180096,0.007789000546230945,0.009315000653247047,-0.20607401445166207,0.6535258201777526,1.228455596583389,-23.77952898183084,0.00109,0.016947,0.028356,-0.0033493685450698267,0.00901447159882373,0.0015436170538990748,-0.010364507443663407,0.007477296299590526,-0.018038952827781556,0.5752577335470819,0,-0.0017563960617189899,-3.862095246926362e-05,-0.001311272383069452,0.002192225801826137,-0.00012030949549002472,1.1598383378957954e-05,-7.575570258934595e-05,0.0001161938169784824
0.194,15882.0,0.020000000000000018,0.9784344476866977,0.010054004600251075,0.009668004423635109,-0.20608609429553837,0.8992174334578598,1.3215296324376025,-23.778147808111267,-0.00109,-0.02407,0.01764,-0.003309067846217267,-0.00411744130271223,-0.0037585379592290687,-0.010196079036820857,-0.005584440453532524,-0.02305143496593496,0.6995754289592787,0,-0.001957841303976171,0.00011105349570813324,-0.001667687808440558,0.0025742296084237284,-0.00015745186914697636,1.2322708811346651e-05,-0.00010554530450444608,0.00016003833301500518
0.222,15910.0,0.027999999999999997,0.9784514618477896,0.0079910037719065,0.008476004000835877,-0.20614809730584172,0.6958969855420453,1.139194075635729,-23.788151339015656,-0.010792,0.033873,0.028607,-0.00863804428089094,0.019620974206470753,-0.0010326230657422613,-0.015256646527066577,0.01784011535377659,-0.01997411705185271,0.8629188155270255,0,-0.002234216209847893,-4.5827879267101626e-05,-0.0023053635754331043,0.003210688941924912,-0.00021614067434051325,1.3235867441521094e-05,-0.00016116802387867735,0.00023211676205086958
0.248,15936.0,0.025999999999999995,0.9781968564765222,0.009609998589997086,0.010209998501963604,-0.20720596959822435,0.8350570228164691,1.3727820874876546,-23.90971163085421,0.003218,-0.000997,0.026546,-0.0034724501165464133,0.01130183011715883,-0.0009512756992306634,-0.009928851841108487,0.00936793405388901,-0.019573019325981128,0.38523821029076133,0,-0.002621228362516328,0.0004182132777558799,-0.0028147223235259825,0.00386890194146955,-0.0002792614537812481,1.8076877621875212e-05,-0.0002277291405651455,0.00031559467454091725
