# source_file=EnsaioZ1.csv
# total_time_full_s=18.611000
# cut_tail_seconds=5.000000
# cut_time_s=13.611000
# note=NO_ZUPT; cut last N seconds to remove end-peak region
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,jerk_mag,jerk_isolated,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.0,31190.0,0.0259999999999998,0.6832939425424981,0.16764898590256502,0.6897539419992832,-0.17100498562036237,-138.69278847387335,89.4101328114386,-166.40303902401757,-0.01467,0.021498,-0.083215,-0.018373736842105262,0.02717942105263158,-0.002207039473684197,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027,31217.0,0.027,0.6826211685917492,0.1691640417796327,0.6899781704087596,-0.1712950423059409,-149.91553456787454,89.37936629463789,-177.77650062916766,-0.01814,-0.026879,-0.08664,-0.02025746709788076,0.000917398406046193,-0.004066340950926582,-0.0018523066143751477,-0.025823929995281422,-0.0018282853470417513,0.9612870227262054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051,31241.0,0.023999999999999997,0.6816783596955207,0.1678930885907423,0.6909103645668955,-0.17253809104173193,-139.3616563605366,89.16258787809423,-167.22063487794048,-0.002212,-0.002269,-0.064783,-0.012892728359106768,0.002198637811035421,0.00635361057405825,0.00543054148802858,-0.024178093529444625,0.008464031588543149,0.5298067684593764,0,-4.445535874500354e-05,-0.000619774319886754,-4.3878848329002025e-05,0.000622913990726581,-5.334643049400424e-07,-7.437291838641047e-06,-5.265461799480242e-07,0.0
0.078,31268.0,0.027000000000000003,0.6809839783321116,0.16915099461786914,0.6916019779942628,-0.17127599455025486,-154.75345226155898,89.12257043027304,-182.61215519991066,0.007528,-0.025555,-0.081621,-0.003817713170023747,-0.009783524298428646,0.0025716827710806503,0.014263580730748538,-0.035557044588569495,0.004603998786240015,0.5523400310337533,0,0.00010236886111002025,-0.001269800126555015,0.00018484701577146516,0.0012872607212075224,2.483679769876833e-07,-3.294654686560493e-05,1.3765240805252282e-06,1.681867774961769e-05
0.104,31294.0,0.025999999999999995,0.6819018447742684,0.16838796166875813,0.6906898427737995,-0.17205496083401536,-143.42059098138006,89.22841000065452,-171.28043524274003,0.020983,-0.024275,-0.07,0.007437142635031655,-0.014483529321293376,0.007072284572530179,0.02510826091010206,-0.039609969979807355,0.008958255993357459,0.4757318377276414,0,0.0004727793214544054,-0.0021887927234530043,0.00030375171348265674,0.002259778523767176,7.725294350325214e-06,-7.790825391570916e-05,7.728307560828813e-06,5.028745650101326e-05
0.13,31320.0,0.02600000000000001,0.6810800332353443,0.1699520082933183,0.6910160337202012,-0.1724620084158013,-151.81046736069683,89.1696023045675,-179.83500144555043,0.045263,-0.051803,-0.089446,0.02564067760033996,-0.03136185733190239,-0.0012021931496074452,0.04261561517685767,-0.05558032218474566,0.0006727874262342713,0.9655367581218194,0,0.0011235498271918434,-0.003209187695139698,0.0005353529596610076,0.003442070985357023,2.8477573282726458e-05,-0.0001480819993574143,1.8636668311696452e-05,0.00010904169811895986
0.157,31347.0,0.026999999999999996,0.6820609520296319,0.16917698810152906,0.6900529514675426,-0.1732019878184448,-139.25815163205343,89.27492537896306,-167.27958089766653,0.001413,-0.002032,-0.087847,0.010477781210761062,-0.012355573647082407,-0.004262221382408676,0.026994763414957716,-0.03596392488792599,-0.002347417801754118,0.9354588468630473,0,0.002269126821641904,-0.004695447493840359,0.0005511145441780406,0.005244033842464308,7.427870804198204e-05,-0.0002547945744086451,3.33039796135236e-05,0.0002019776147235995
0.181,31371.0,0.023999999999999994,0.6808392347799613,0.16876305819609427,0.6912662383755995,-0.17357405985511556,-141.2223286391488,89.06950864052246,-169.24063240381278,0.015235,0.000904,-0.079195,0.0110187633076409,-0.0026290291557215517,-0.0011425052288947606,0.027126684743014034,-0.025847607655808215,0.0007608253753918182,0.4409948767219283,0,0.0029079427651490597,-0.0055398374147204435,0.0004925764618029018,0.006276030694447049,0.0001364035430834736,-0.0003776179933113747,4.582827168529491e-05,0.0003278344269427428
0.198,31388.0,0.017000000000000015,0.6819341783646812,0.16965704437499335,0.6901911805243581,-0.17268004516568047,-145.88267876215073,89.28751314853608,-173.9005902167555,-0.013527,-0.006771,-0.075711,-0.001066912684495533,-0.001970422938777567,0.0016124212748448918,0.014882047425940986,-0.02492279076716852,0.0034785955563002295,0.7398042948460654,0,0.003360868895755629,-0.0059635727541665785,0.0005041168351573244,0.006863947371023808,0.0001896884422011635,-0.00047539697974691446,5.430016470945684e-05,0.00043452694874834277
0.226,31416.0,0.027999999999999997,0.6810864587939554,0.17121111533135597,0.6905594651751689,-0.17301911654926305,-155.10650317154094,89.21855546786182,-183.28265843288494,0.02616,-0.036219,-0.078514,0.011914864860173267,-0.017735830929269874,0.0020989179339765407,0.027382094012429407,-0.03998475029016449,0.0038965406912162227,0.699205514400486,0,0.003761918708102136,-0.00663364572524741,0.0005991704462462864,0.007649594315917482,0.00028940746865517217,-0.0006517580384587103,6.974618664910739e-05,0.0006267174751370093
