raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"120011,0.664662,-0.056591,-0.074149,0.741299,0.015869,-0.184082,0.987061,-0.005326,0.004261,0.000000,-32.000000,-25.000000,9.000000"
"120036,0.664756,-0.055669,-0.073749,0.741324,0.016357,-0.182617,0.986938,0.006392,0.003196,-0.001065,0.000000,0.000000,0.000000"
"120058,0.664670,-0.056680,-0.073618,0.741338,0.013672,-0.185303,0.986450,-0.005326,0.003196,-0.001065,0.000000,0.000000,0.000000"
"120083,0.664736,-0.055998,-0.072872,0.741404,0.014038,-0.180786,0.989136,0.006392,0.003196,0.001065,0.000000,0.000000,0.000000"
"120105,0.664283,-0.056001,-0.072665,0.741830,0.015991,-0.187256,0.986328,0.009587,0.003196,0.000000,-33.000000,-26.000000,9.000000"
"120130,0.664282,-0.055922,-0.073698,0.741735,0.015259,-0.184204,0.985962,-0.018109,0.003196,0.001065,0.000000,0.000000,0.000000"
"120150,0.664338,-0.055408,-0.072873,0.741805,0.014160,-0.179077,0.989502,-0.002131,0.003196,0.000000,0.000000,0.000000,0.000000"
"120172,0.664400,-0.054797,-0.072033,0.741876,0.014526,-0.180908,0.988037,0.011718,0.002131,0.000000,0.000000,0.000000,0.000000"
"120198,0.663949,-0.054842,-0.071803,0.742300,0.017212,-0.186279,0.986572,0.003196,0.003196,0.001065,-34.000000,-28.000000,13.000000"
"120222,0.663908,-0.055253,-0.072725,0.742216,0.016357,-0.186768,0.986694,-0.007457,0.004261,0.000000,0.000000,0.000000,0.000000"
"120248,0.663945,-0.054795,-0.073591,0.742131,0.015137,-0.182251,0.987305,-0.001065,0.003196,0.000000,0.000000,0.000000,0.000000"
"120273,0.663858,-0.055759,-0.073666,0.742130,0.014526,-0.184814,0.986450,0.008522,0.003196,0.000000,0.000000,0.000000,0.000000"
"120299,0.663383,-0.055807,-0.073549,0.742562,0.015625,-0.186157,0.985596,-0.008522,0.003196,0.000000,-34.000000,-24.000000,7.000000"
"120324,0.663464,-0.054876,-0.073895,0.742525,0.015625,-0.183960,0.988281,0.005326,0.002131,0.001065,0.000000,0.000000,0.000000"
"120344,0.663378,-0.055888,-0.073779,0.742538,0.013550,-0.185059,0.985107,-0.005326,0.003196,-0.001065,0.000000,0.000000,0.000000"
"120369,0.663416,-0.055622,-0.072830,0.742618,0.014648,-0.183594,0.985474,-0.001065,0.004261,-0.001065,0.000000,0.000000,0.000000"
"120395,0.662951,-0.055674,-0.072596,0.743052,0.014648,-0.184204,0.986816,-0.001065,0.004261,0.000000,-33.000000,-24.000000,12.000000"
"120418,0.663034,-0.054693,-0.072677,0.743043,0.015625,-0.181152,0.988403,0.002131,0.003196,0.002131,0.000000,0.000000,0.000000"
"120443,0.662977,-0.055218,-0.073465,0.742977,0.015991,-0.186768,0.985718,0.006392,0.002131,0.001065,0.000000,0.000000,0.000000"
"120465,0.663007,-0.055044,-0.072537,0.743055,0.014648,-0.181763,0.987549,-0.010653,0.003196,-0.001065,0.000000,0.000000,0.000000"
"120490,0.662923,-0.056012,-0.072267,0.743084,0.013672,-0.181885,0.987183,0.003196,0.004261,0.000000,0.000000,0.000000,0.000000"
"120516,0.662473,-0.056036,-0.072099,0.743500,0.014160,-0.183716,0.986206,0.002131,0.003196,0.000000,-32.000000,-26.000000,8.000000"
"120545,0.662455,-0.056173,-0.073053,0.743412,0.016113,-0.187744,0.985107,0.003196,0.002131,0.000000,0.000000,0.000000,0.000000"
"120565,0.662544,-0.055235,-0.073232,0.743386,0.015747,-0.182251,0.987061,-0.007457,0.004261,0.000000,0.000000,0.000000,0.000000"
"120590,0.662546,-0.055317,-0.072208,0.743478,0.014771,-0.182617,0.987183,0.007457,0.004261,0.000000,0.000000,0.000000,0.000000"
"120616,0.662073,-0.055394,-0.072080,0.743905,0.014771,-0.182617,0.986206,-0.013848,0.004261,0.000000,-35.000000,-25.000000,9.000000"
"120641,0.662166,-0.054423,-0.072287,0.743874,0.016479,-0.179687,0.988159,0.007457,0.004261,-0.001065,0.000000,0.000000,0.000000"
"120666,0.662098,-0.055093,-0.072996,0.743816,0.014648,-0.190552,0.984131,0.001065,0.003196,0.001065,0.000000,0.000000,0.000000"
"120691,0.662080,-0.055194,-0.074029,0.743723,0.016968,-0.184937,0.986938,-0.015979,0.003196,0.001065,0.000000,0.000000,0.000000"
"120716,0.661632,-0.055201,-0.073860,0.744137,0.013550,-0.182495,0.987915,0.005326,0.003196,0.000000,-33.000000,-27.000000,7.000000"
"120741,0.661578,-0.055882,-0.073105,0.744209,0.014893,-0.183594,0.986816,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000"
"120761,0.661596,-0.055633,-0.074031,0.744120,0.017822,-0.186401,0.986938,0.006392,0.003196,0.000000,0.000000,0.000000,0.000000"
"120788,0.661502,-0.056646,-0.073878,0.744142,0.012939,-0.185791,0.985718,-0.005326,0.004261,0.001065,0.000000,0.000000,0.000000"
"120815,0.661046,-0.056726,-0.073770,0.744552,0.012695,-0.180542,0.987793,-0.015979,0.004261,0.001065,-34.000000,-28.000000,8.000000"
"120840,0.661070,-0.056396,-0.074692,0.744464,0.017334,-0.187622,0.985596,-0.003196,0.004261,0.001065,0.000000,0.000000,0.000000"
"120865,0.661169,-0.055404,-0.074649,0.744455,0.017578,-0.184204,0.987427,0.005326,0.004261,-0.001065,0.000000,0.000000,0.000000"
"120888,0.661080,-0.056368,-0.074974,0.744429,0.013916,-0.188721,0.983398,-0.005326,0.004261,0.000000,0.000000,0.000000,0.000000"
"120914,0.660632,-0.056380,-0.074795,0.744844,0.015259,-0.176147,0.991089,0.001065,0.003196,0.000000,-33.000000,-27.000000,8.000000"
"120938,0.660725,-0.055353,-0.074893,0.744829,0.018921,-0.184204,0.986450,0.019175,0.003196,0.001065,0.000000,0.000000,0.000000"
"120967,0.660710,-0.055566,-0.073953,0.744920,0.014282,-0.183716,0.987305,-0.010653,0.002131,0.001065,0.000000,0.000000,0.000000"
"120987,0.660717,-0.055609,-0.072953,0.745009,0.013672,-0.182983,0.987305,0.000000,0.004261,0.000000,0.000000,0.000000,0.000000"
"121011,0.660280,-0.055615,-0.072804,0.745410,0.016113,-0.185303,0.986938,0.006392,0.004261,0.000000,-32.000000,-28.000000,6.000000"
"121036,0.660242,-0.055994,-0.073703,0.745328,0.015137,-0.187500,0.983765,0.000000,0.003196,0.000000,0.000000,0.000000,0.000000"
"121060,0.660296,-0.055498,-0.072941,0.745391,0.013672,-0.182373,0.985352,-0.014914,0.004261,0.000000,0.000000,0.000000,0.000000"
"121084,0.660374,-0.054627,-0.073417,0.745340,0.015625,-0.182617,0.988037,0.013848,0.003196,0.000000,0.000000,0.000000,0.000000"
"121110,0.659930,-0.054658,-0.073237,0.745748,0.015381,-0.187012,0.986084,0.003196,0.003196,0.000000,-32.000000,-27.000000,9.000000"
"121136,0.659914,-0.054777,-0.074247,0.745654,0.015869,-0.182861,0.986450,-0.010653,0.003196,0.000000,0.000000,0.000000,0.000000"
"121161,0.659967,-0.054260,-0.073399,0.745729,0.015747,-0.179932,0.988525,0.002131,0.004261,0.001065,0.000000,0.000000,0.000000"
"121181,0.659903,-0.054982,-0.074034,0.745670,0.015381,-0.187744,0.985718,0.004261,0.004261,-0.001065,0.000000,0.000000,0.000000"
"121216,0.659446,-0.055074,-0.073859,0.746085,0.014526,-0.183105,0.986206,-0.013848,0.003196,0.000000,-33.000000,-26.000000,12.000000"
"121236,0.659389,-0.055645,-0.074580,0.746022,0.015381,-0.184937,0.985718,0.011718,0.003196,0.000000,0.000000,0.000000,0.000000"
"121260,0.659441,-0.055034,-0.075341,0.745944,0.016968,-0.185669,0.986450,0.003196,0.003196,0.000000,0.000000,0.000000,0.000000"
"121284,0.659353,-0.056024,-0.075513,0.745930,0.016968,-0.186279,0.986938,-0.002131,0.003196,-0.001065,0.000000,0.000000,0.000000"
"121306,0.658891,-0.056079,-0.075415,0.746345,0.015015,-0.183960,0.987061,-0.011718,0.004261,0.000000,-33.000000,-25.000000,6.000000"
