mass_kg,chord_m,span_m,wing_area_m2,Vstall_m_s
0.1,0.02,0.5,0.01,11.21851822268783
0.1,0.02,0.525,0.0105,10.9481527518955
0.1,0.02,0.55,0.011000000000000001,10.6964374321028
0.1,0.02,0.575,0.0115,10.461322183987981
0.1,0.02,0.6,0.012,10.241059153914815
0.1,0.02,0.625,0.0125,10.034147741100044
0.1,0.02,0.65,0.013000000000000001,9.839291371950402
0.1,0.02,0.675,0.013500000000000002,9.655363165687643
0.1,0.02,0.7,0.013999999999999999,9.481378407654017
0.1,0.02,0.725,0.014499999999999999,9.31647229051037
0.1,0.02,0.75,0.015,9.159881771900004
0.1,0.02,0.775,0.015500000000000002,9.010930678107773
0.1,0.02,0.8,0.016,8.8690173889494
0.1,0.02,0.825,0.0165,8.733604591419281
0.1,0.02,0.8500000000000001,0.017,8.604210703547793
0.1,0.02,0.875,0.0175,8.480402655965236
0.1,0.02,0.9,0.018000000000000002,8.361789784250037
0.1,0.02,0.925,0.018500000000000003,8.248018635545927
0.1,0.02,0.95,0.019,8.1387685319864
0.1,0.02,0.9750000000000001,0.019500000000000003,8.033747763949178
0.1,0.02,1.0,0.02,7.93269031012742
0.1,0.02,1.025,0.020499999999999997,7.835353000368265
0.1,0.02,1.05,0.021,7.74151305233147
0.1,0.02,1.0750000000000002,0.021500000000000005,7.650965925119457
0.1,0.02,1.1,0.022000000000000002,7.56352344277751
0.1,0.02,1.125,0.0225,7.479012148458554
0.1,0.02,1.15,0.023,7.3972718564751645
0.1,0.02,1.175,0.0235,7.31815437472088
0.1,0.02,1.2000000000000002,0.024000000000000004,7.241522374265733
0.1,0.02,1.225,0.0245,7.167248386500032
0.1,0.02,1.25,0.025,7.09521391115952
0.1,0.02,1.275,0.0255,7.025308621028518
0.1,0.02,1.3,0.026000000000000002,6.957429651176418
0.1,0.02,1.3250000000000002,0.026500000000000003,6.8914809623098305
0.1,0.02,1.35,0.027000000000000003,6.827372769276543
0.1,0.02,1.375,0.0275,6.765021026985502
0.1,0.02,1.4,0.027999999999999997,6.704346967047865
0.1,0.02,1.425,0.0285,6.645276679329063
0.1,0.02,1.4500000000000002,0.029000000000000005,6.587740733356449
0.1,0.02,1.475,0.029500000000000002,6.531673835172543
0.1,0.02,1.5,0.03,6.477014515777541
0.1,0.02325,0.5,0.011625,10.40492650530916
0.1,0.02325,0.525,0.01220625,10.154168535555335
0.1,0.02325,0.55,0.0127875,9.920708166662164
0.1,0.02325,0.575,0.013368749999999999,9.702643995587877
0.1,0.02325,0.6,0.013949999999999999,9.49835492690204
0.1,0.02325,0.625,0.014531249999999999,9.306449186704244
0.1,0.02325,0.65,0.015112500000000001,9.12572423178166
0.1,0.02325,0.675,0.01569375,8.955134905238781
0.1,0.02325,0.7,0.016274999999999998,8.793767906099552
0.1,0.02325,0.725,0.01685625,8.640821144762969
0.1,0.02325,0.75,0.0174375,8.495586916389202
0.1,0.02325,0.775,0.01801875,8.357438084874246
0.1,0.02325,0.8,0.018600000000000002,8.22581666085825
0.1,0.02325,0.825,0.01918125,8.100224298461427
0.1,0.02325,0.8500000000000001,0.019762500000000002,7.980214341102149
0.1,0.02325,0.875,0.02034375,7.865385126557833
0.1,0.02325,0.9,0.020925,7.7553743222535365
0.1,0.02325,0.925,0.02150625,7.649854108514718
0.1,0.02325,0.95,0.0220875,7.548527063741959
0.1,0.02325,0.9750000000000001,0.02266875,7.4511226337390255
0.1,0.02325,1.0,0.02325,7.357394089651753
0.1,0.02325,1.025,0.02383125,7.2671158965638005
0.1,0.02325,1.05,0.0244125,7.180081428802253
0.1,0.02325,1.0750000000000002,0.024993750000000006,7.096100979227142
0.1,0.02325,1.1,0.025575,7.0150000188195785
0.1,0.02325,1.125,0.02615625,6.9366176702061075
0.1,0.02325,1.15,0.026737499999999997,6.860805364719126
0.1,0.02325,1.175,0.02731875,6.787425657471011
0.1,0.02325,1.2000000000000002,0.027900000000000005,6.716351178929085
0.1,0.02325,1.225,0.028481250000000003,6.647463704788745
0.1,0.02325,1.25,0.029062499999999998,6.5806533286866005
0.1,0.02325,1.275,0.029643749999999996,6.515817724580311
0.1,0.02325,1.3,0.030225000000000002,6.45286148753121
0.1,0.02325,1.3250000000000002,0.030806250000000004,6.3916955432275655
0.1,0.02325,1.35,0.0313875,6.332236617934693
0.1,0.02325,1.375,0.03196875,6.274406761697152
0.1,0.02325,1.4,0.032549999999999996,6.21813291858362
0.1,0.02325,1.425,0.03313125,6.163346538585715
