  
       XFOIL         Version 6.99
  
 Calculated polar for: Selig S-1223                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.8006   0.02374   0.01725  -0.2368   0.5712   0.0836
  -1.750   0.9349   0.01852   0.01002  -0.2599   0.5512   0.0509
  -1.500   0.9743   0.01818   0.00943  -0.2621   0.5388   0.0534
  -1.250   1.0122   0.01796   0.00907  -0.2641   0.5283   0.0567
  -1.000   1.0502   0.01781   0.00888  -0.2661   0.5186   0.0613
  -0.750   1.0893   0.01776   0.00878  -0.2685   0.5098   0.0689
  -0.500   1.1305   0.01771   0.00868  -0.2713   0.5017   0.0876
  -0.250   1.1710   0.01776   0.00900  -0.2740   0.4943   0.2729
   0.000   1.1999   0.01811   0.00927  -0.2740   0.4877   0.3024
   0.250   1.2281   0.01852   0.00964  -0.2739   0.4817   0.3384
   0.500   1.2577   0.01886   0.00990  -0.2741   0.4766   0.3623
   0.750   1.2879   0.01908   0.01008  -0.2745   0.4712   0.3760
   1.000   1.3186   0.01931   0.01025  -0.2750   0.4662   0.3894
   1.250   1.3490   0.01955   0.01042  -0.2754   0.4618   0.4031
   1.500   1.3793   0.01979   0.01067  -0.2758   0.4573   0.4187
   1.750   1.4101   0.02004   0.01088  -0.2763   0.4533   0.4378
   2.000   1.4412   0.02031   0.01119  -0.2769   0.4491   0.4603
   2.250   1.4711   0.02057   0.01146  -0.2772   0.4453   0.4879
   2.500   1.4998   0.02083   0.01181  -0.2773   0.4418   0.5221
   2.750   1.5322   0.02112   0.01219  -0.2782   0.4381   0.5684
   3.000   1.5608   0.02139   0.01253  -0.2782   0.4351   0.6269
   3.250   1.5878   0.02162   0.01296  -0.2779   0.4314   0.7077
   3.500   1.6065   0.02164   0.01316  -0.2757   0.4288   0.8519
   3.750   1.6297   0.02186   0.01339  -0.2746   0.4257   1.0000
   4.000   1.6569   0.02226   0.01374  -0.2745   0.4226   1.0000
   4.250   1.6894   0.02272   0.01407  -0.2754   0.4199   1.0000
   4.500   1.7148   0.02315   0.01456  -0.2749   0.4166   1.0000
   4.750   1.7419   0.02356   0.01494  -0.2747   0.4138   1.0000
   5.000   1.7717   0.02401   0.01531  -0.2751   0.4112   1.0000
   5.250   1.7957   0.02446   0.01586  -0.2744   0.4079   1.0000
   5.500   1.8223   0.02489   0.01624  -0.2741   0.4051   1.0000
   5.750   1.8476   0.02534   0.01669  -0.2736   0.4025   1.0000
   6.000   1.8724   0.02582   0.01726  -0.2730   0.3991   1.0000
   6.250   1.9003   0.02624   0.01763  -0.2731   0.3965   1.0000
   6.500   1.9244   0.02678   0.01826  -0.2724   0.3933   1.0000
   6.750   1.9466   0.02718   0.01869  -0.2712   0.3900   1.0000
   7.000   1.9725   0.02761   0.01909  -0.2709   0.3872   1.0000
   7.250   1.9960   0.02819   0.01982  -0.2701   0.3836   1.0000
   7.500   2.0200   0.02852   0.02010  -0.2693   0.3807   1.0000
   7.750   2.0409   0.02908   0.02081  -0.2680   0.3767   1.0000
   8.000   2.0651   0.02942   0.02113  -0.2674   0.3733   1.0000
   8.250   2.0831   0.02995   0.02178  -0.2655   0.3698   1.0000
   8.500   2.1082   0.03047   0.02237  -0.2650   0.3666   1.0000
   8.750   2.1290   0.03091   0.02286  -0.2638   0.3632   1.0000
   9.000   2.1466   0.03137   0.02341  -0.2618   0.3592   1.0000
   9.500   2.1786   0.03214   0.02433  -0.2573   0.3515   1.0000
   9.750   2.1961   0.03263   0.02490  -0.2554   0.3475   1.0000
  10.000   2.2123   0.03297   0.02529  -0.2532   0.3434   1.0000
  10.250   2.2167   0.03341   0.02588  -0.2487   0.3390   1.0000
  10.500   2.2430   0.03382   0.02627  -0.2486   0.3345   1.0000
  10.750   2.2352   0.03435   0.02702  -0.2418   0.3306   1.0000
  11.000   2.2458   0.03478   0.02750  -0.2387   0.3261   1.0000
  11.500   2.2608   0.03611   0.02907  -0.2315   0.3184   1.0000
  11.750   2.2647   0.03675   0.02982  -0.2273   0.3141   1.0000
  12.000   2.2646   0.03768   0.03094  -0.2227   0.3094   1.0000
  12.250   2.2752   0.03847   0.03179  -0.2200   0.3050   1.0000
  12.500   2.2655   0.03933   0.03284  -0.2137   0.3011   1.0000
  12.750   2.2769   0.04087   0.03455  -0.2118   0.2956   1.0000
  13.000   2.2669   0.04124   0.03495  -0.2056   0.2920   1.0000
  13.250   2.2648   0.04303   0.03698  -0.2017   0.2866   1.0000
  13.500   2.2628   0.04474   0.03885  -0.1981   0.2808   1.0000
  13.750   2.2662   0.04685   0.04112  -0.1957   0.2744   1.0000
  14.000   2.2505   0.04832   0.04272  -0.1900   0.2696   1.0000
  14.500   2.2415   0.05320   0.04789  -0.1843   0.2565   1.0000
  14.750   2.2316   0.05606   0.05088  -0.1814   0.2492   1.0000
  15.000   2.2234   0.05924   0.05416  -0.1791   0.2421   1.0000
  15.250   2.2140   0.06287   0.05787  -0.1772   0.2348   1.0000
  15.500   2.2026   0.06748   0.06263  -0.1762   0.2262   1.0000
  15.750   2.1824   0.07185   0.06708  -0.1741   0.2188   1.0000
  16.000   2.1668   0.07813   0.07344  -0.1747   0.2090   1.0000
