  
       XFOIL         Version 6.99
  
 Calculated polar for: Selig S-1223                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.030     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.8006   0.02374   0.01725  -0.2368   0.5712   0.0836
  -1.900   0.8065   0.02415   0.01768  -0.2358   0.5652   0.0937
  -1.800   0.8120   0.02456   0.01815  -0.2344   0.5600   0.1005
  -1.700   0.8168   0.02493   0.01855  -0.2329   0.5551   0.1084
  -1.600   0.9585   0.01831   0.00968  -0.2613   0.5438   0.0526
  -1.500   0.9743   0.01818   0.00943  -0.2621   0.5388   0.0534
  -1.400   0.9893   0.01806   0.00928  -0.2629   0.5345   0.0544
  -1.300   1.0042   0.01798   0.00916  -0.2636   0.5301   0.0559
  -1.200   1.0195   0.01791   0.00902  -0.2645   0.5262   0.0575
  -1.100   1.0343   0.01784   0.00896  -0.2652   0.5221   0.0591
  -1.000   1.0502   0.01781   0.00888  -0.2661   0.5186   0.0613
  -0.900   1.0650   0.01777   0.00884  -0.2669   0.5147   0.0639
  -0.800   1.0812   0.01776   0.00880  -0.2679   0.5115   0.0669
  -0.700   1.0966   0.01774   0.00878  -0.2688   0.5079   0.0711
  -0.600   1.1126   0.01773   0.00873  -0.2698   0.5046   0.0767
  -0.500   1.1305   0.01771   0.00868  -0.2713   0.5017   0.0876
  -0.400   1.1537   0.01748   0.00884  -0.2741   0.4979   0.2374
  -0.300   1.1652   0.01767   0.00895  -0.2740   0.4954   0.2644
  -0.200   1.1767   0.01783   0.00906  -0.2740   0.4929   0.2797
  -0.100   1.1883   0.01796   0.00917  -0.2740   0.4901   0.2912
   0.000   1.1999   0.01811   0.00927  -0.2740   0.4877   0.3024
   0.100   1.2130   0.01831   0.00941  -0.2744   0.4856   0.3174
   0.200   1.2220   0.01844   0.00954  -0.2739   0.4830   0.3310
   0.300   1.2329   0.01859   0.00971  -0.2738   0.4806   0.3437
   0.400   1.2455   0.01874   0.00981  -0.2740   0.4786   0.3546
   0.500   1.2577   0.01886   0.00990  -0.2741   0.4766   0.3623
   0.600   1.2697   0.01894   0.00999  -0.2743   0.4742   0.3681
   0.700   1.2811   0.01903   0.01004  -0.2743   0.4720   0.3735
   0.800   1.2937   0.01913   0.01009  -0.2745   0.4702   0.3789
   0.900   1.3070   0.01924   0.01016  -0.2749   0.4685   0.3839
   1.000   1.3186   0.01931   0.01025  -0.2750   0.4662   0.3894
   1.100   1.3304   0.01940   0.01033  -0.2750   0.4643   0.3945
   1.200   1.3426   0.01949   0.01039  -0.2752   0.4625   0.3998
   1.300   1.3572   0.01962   0.01046  -0.2759   0.4610   0.4063
   1.400   1.3688   0.01971   0.01056  -0.2759   0.4592   0.4127
   1.500   1.3793   0.01979   0.01067  -0.2758   0.4573   0.4187
   1.600   1.3913   0.01988   0.01076  -0.2759   0.4555   0.4256
   1.700   1.4055   0.02000   0.01086  -0.2765   0.4540   0.4338
   1.800   1.4184   0.02012   0.01094  -0.2769   0.4525   0.4418
   1.900   1.4278   0.02020   0.01105  -0.2764   0.4508   0.4501
   2.000   1.4412   0.02031   0.01119  -0.2769   0.4491   0.4602
   2.100   1.4520   0.02040   0.01130  -0.2768   0.4474   0.4704
   2.200   1.4643   0.02051   0.01141  -0.2770   0.4460   0.4812
   2.300   1.4777   0.02063   0.01151  -0.2774   0.4447   0.4951
   2.400   1.4901   0.02075   0.01166  -0.2777   0.4433   0.5087
   2.500   1.4998   0.02083   0.01181  -0.2773   0.4418   0.5221
   2.600   1.5124   0.02095   0.01197  -0.2776   0.4402   0.5390
   2.700   1.5261   0.02107   0.01212  -0.2781   0.4387   0.5584
   2.800   1.5379   0.02118   0.01225  -0.2782   0.4376   0.5794
   2.900   1.5509   0.02130   0.01238  -0.2785   0.4363   0.6024
